"geoid","geolevel","year","level","value"
"30001","county",2019,"housing_score",91.92
"30003","county",2019,"housing_score",71.8
"30005","county",2019,"housing_score",87.92
"30007","county",2019,"housing_score",102.74
"30009","county",2019,"housing_score",95.46
"30011","county",2019,"housing_score",73.72
"30013","county",2019,"housing_score",114.15
"30015","county",2019,"housing_score",82.25
"30017","county",2019,"housing_score",102.78
"30019","county",2019,"housing_score",85.01
"30021","county",2019,"housing_score",99.48
"30023","county",2019,"housing_score",89.51
"30025","county",2019,"housing_score",96.71
"30027","county",2019,"housing_score",91.77
"30029","county",2019,"housing_score",111.47
"30031","county",2019,"housing_score",127.13
"30033","county",2019,"housing_score",61.63
"30035","county",2019,"housing_score",82.76
"30037","county",2019,"housing_score",61.38
"30039","county",2019,"housing_score",63.41
"30041","county",2019,"housing_score",104.18
"30043","county",2019,"housing_score",107.48
"30045","county",2019,"housing_score",64.75
"30047","county",2019,"housing_score",96.52
"30049","county",2019,"housing_score",118.14
"30051","county",2019,"housing_score",83.11
"30053","county",2019,"housing_score",87.85
"30055","county",2019,"housing_score",76.3
"30057","county",2019,"housing_score",86.62
"30059","county",2019,"housing_score",82.54
"30061","county",2019,"housing_score",85.16
"30063","county",2019,"housing_score",120.17
"30065","county",2019,"housing_score",85.1
"30067","county",2019,"housing_score",107.57
"30069","county",2019,"housing_score",69.91
"30071","county",2019,"housing_score",81.79
"30073","county",2019,"housing_score",87.74
"30075","county",2019,"housing_score",77.8
"30077","county",2019,"housing_score",87.16
"30079","county",2019,"housing_score",72.47
"30081","county",2019,"housing_score",110.11
"30083","county",2019,"housing_score",105.47
"30085","county",2019,"housing_score",79.02
"30087","county",2019,"housing_score",83.44
"30089","county",2019,"housing_score",84.28
"30091","county",2019,"housing_score",86.35
"30093","county",2019,"housing_score",103.58
"30095","county",2019,"housing_score",104.69
"30097","county",2019,"housing_score",84.77
"30099","county",2019,"housing_score",101.71
"30101","county",2019,"housing_score",91.65
"30103","county",2019,"housing_score",60.16
"30105","county",2019,"housing_score",79.79
"30107","county",2019,"housing_score",83.22
"30109","county",2019,"housing_score",82.69
"30111","county",2019,"housing_score",121.31
"30001","county",2019,"housing_rnk",34.4949
"30003","county",2019,"housing_rnk",6.7775
"30005","county",2019,"housing_rnk",26.2468
"30007","county",2019,"housing_rnk",57.3849
"30009","county",2019,"housing_rnk",41.7519
"30011","county",2019,"housing_rnk",8.2801
"30013","county",2019,"housing_rnk",78.165
"30015","county",2019,"housing_rnk",17.1355
"30017","county",2019,"housing_rnk",57.5128
"30019","county",2019,"housing_rnk",21.2916
"30021","county",2019,"housing_rnk",50.3836
"30023","county",2019,"housing_rnk",29.156
"30025","county",2019,"housing_rnk",44.2455
"30027","county",2019,"housing_rnk",34.0153
"30029","county",2019,"housing_rnk",74.1688
"30031","county",2019,"housing_rnk",91.4642
"30033","county",2019,"housing_rnk",2.3977
"30035","county",2019,"housing_rnk",17.9668
"30037","county",2019,"housing_rnk",2.3018
"30039","county",2019,"housing_rnk",2.8453
"30041","county",2019,"housing_rnk",60.2302
"30043","county",2019,"housing_rnk",66.3363
"30045","county",2019,"housing_rnk",3.3248
"30047","county",2019,"housing_rnk",43.766
"30049","county",2019,"housing_rnk",83.1522
"30051","county",2019,"housing_rnk",18.5422
"30053","county",2019,"housing_rnk",26.1189
"30055","county",2019,"housing_rnk",10.2302
"30057","county",2019,"housing_rnk",23.945
"30059","county",2019,"housing_rnk",17.5831
