"geoid","geolevel","year","state","level","value"
47001,"county",2019,"TN","housing_score",104.51
47001,"county",2019,"TN","housing_score",104.51
47003,"county",2019,"TN","housing_score",110.12
47003,"county",2019,"TN","housing_score",110.12
47005,"county",2019,"TN","housing_score",78.31
47005,"county",2019,"TN","housing_score",78.31
47007,"county",2019,"TN","housing_score",91.37
47007,"county",2019,"TN","housing_score",91.37
47009,"county",2019,"TN","housing_score",109.37
47009,"county",2019,"TN","housing_score",109.37
47011,"county",2019,"TN","housing_score",113.47
47011,"county",2019,"TN","housing_score",113.47
47013,"county",2019,"TN","housing_score",92.84
47013,"county",2019,"TN","housing_score",92.84
47015,"county",2019,"TN","housing_score",99.97
47015,"county",2019,"TN","housing_score",99.97
47017,"county",2019,"TN","housing_score",91.86
47017,"county",2019,"TN","housing_score",91.86
47019,"county",2019,"TN","housing_score",94.72
47019,"county",2019,"TN","housing_score",94.72
47021,"county",2019,"TN","housing_score",117.49
47021,"county",2019,"TN","housing_score",117.49
47023,"county",2019,"TN","housing_score",102.86
47023,"county",2019,"TN","housing_score",102.86
47025,"county",2019,"TN","housing_score",93.28
47025,"county",2019,"TN","housing_score",93.28
47027,"county",2019,"TN","housing_score",68.42
47027,"county",2019,"TN","housing_score",68.42
47029,"county",2019,"TN","housing_score",87.07
47029,"county",2019,"TN","housing_score",87.07
47031,"county",2019,"TN","housing_score",103.7
47031,"county",2019,"TN","housing_score",103.7
47033,"county",2019,"TN","housing_score",96.91
47033,"county",2019,"TN","housing_score",96.91
47035,"county",2019,"TN","housing_score",99.67
47035,"county",2019,"TN","housing_score",99.67
47037,"county",2019,"TN","housing_score",130.5
47037,"county",2019,"TN","housing_score",130.5
47039,"county",2019,"TN","housing_score",81.8
47039,"county",2019,"TN","housing_score",81.8
47041,"county",2019,"TN","housing_score",98.49
47041,"county",2019,"TN","housing_score",98.49
47043,"county",2019,"TN","housing_score",107.13
47043,"county",2019,"TN","housing_score",107.13
47045,"county",2019,"TN","housing_score",104.7
47045,"county",2019,"TN","housing_score",104.7
47047,"county",2019,"TN","housing_score",112.39
47047,"county",2019,"TN","housing_score",112.39
47049,"county",2019,"TN","housing_score",85.07
47049,"county",2019,"TN","housing_score",85.07
47051,"county",2019,"TN","housing_score",100.36
47051,"county",2019,"TN","housing_score",100.36
47053,"county",2019,"TN","housing_score",103.86
