"geoid","geolevel","year","level","value"
"05001480100","tract",2019,"housing_score",58.53
"05001480200","tract",2019,"housing_score",71.39
"05001480300","tract",2019,"housing_score",88.05
"05001480400","tract",2019,"housing_score",74.32
"05001480500","tract",2019,"housing_score",87.12
"05001480600","tract",2019,"housing_score",91.71
"05001480700","tract",2019,"housing_score",57.48
"05001480800","tract",2019,"housing_score",71.3
"05003960100","tract",2019,"housing_score",67.66
"05003960200","tract",2019,"housing_score",91.47
"05003960300","tract",2019,"housing_score",80.36
"05003960400","tract",2019,"housing_score",61.17
"05003960500","tract",2019,"housing_score",74.38
"05003960600","tract",2019,"housing_score",83.84
"05003960700","tract",2019,"housing_score",81.18
"05005950100","tract",2019,"housing_score",88.25
"05005950200","tract",2019,"housing_score",93.54
"05005950300","tract",2019,"housing_score",91.36
"05005950400","tract",2019,"housing_score",85.04
"05005950500","tract",2019,"housing_score",83.06
"05005950600","tract",2019,"housing_score",80.29
"05005950700","tract",2019,"housing_score",77.96
"05005950800","tract",2019,"housing_score",91.47
"05005950900","tract",2019,"housing_score",91.98
"05007020101","tract",2019,"housing_score",96.12
"05007020102","tract",2019,"housing_score",107
"05007020201","tract",2019,"housing_score",87.03
"05007020203","tract",2019,"housing_score",108.44
"05007020205","tract",2019,"housing_score",104.47
"05007020206","tract",2019,"housing_score",103.26
"05007020301","tract",2019,"housing_score",88.81
"05007020302","tract",2019,"housing_score",98.94
"05007020304","tract",2019,"housing_score",99.14
"05007020305","tract",2019,"housing_score",112.82
"05007020401","tract",2019,"housing_score",98
"05007020402","tract",2019,"housing_score",108.99
"05007020404","tract",2019,"housing_score",103.92
"05007020405","tract",2019,"housing_score",111.93
"05007020501","tract",2019,"housing_score",111.56
"05007020503","tract",2019,"housing_score",84.69
"05007020504","tract",2019,"housing_score",100.39
"05007020603","tract",2019,"housing_score",109.89
"05007020604","tract",2019,"housing_score",101.95
"05007020605","tract",2019,"housing_score",100.97
"05007020606","tract",2019,"housing_score",121.25
"05007020701","tract",2019,"housing_score",111.89
"05007020703","tract",2019,"housing_score",111.52
"05007020704","tract",2019,"housing_score",107.71
"05007020801","tract",2019,"housing_score",106.21
"05007020803","tract",2019,"housing_score",95.64
"05007020805","tract",2019,"housing_score",105.18
"05007020806","tract",2019,"housing_score",113.85
"05007020901","tract",2019,"housing_score",116.63
"05007020902","tract",2019,"housing_score",100.92
"05007021001","tract",2019,"housing_score",88.85
"05007021002","tract",2019,"housing_score",94.18
"05007021101","tract",2019,"housing_score",93.64
"05007021102","tract",2019,"housing_score",101.47
"05007021201","tract",2019,"housing_score",100.55
"05007021202","tract",2019,"housing_score",92.49
"05007021301","tract",2019,"housing_score",90.32
