"geoid","geolevel","year","state","level","value"
4001942600,"tract",2019,"AZ","housing_score",15.02
4001942600,"tract",2019,"AZ","housing_score",15.02
4001942700,"tract",2019,"AZ","housing_score",13.95
4001942700,"tract",2019,"AZ","housing_score",13.95
4001944000,"tract",2019,"AZ","housing_score",21.3
4001944000,"tract",2019,"AZ","housing_score",21.3
4001944100,"tract",2019,"AZ","housing_score",-1.72
4001944100,"tract",2019,"AZ","housing_score",-1.72
4001944201,"tract",2019,"AZ","housing_score",35.53
4001944201,"tract",2019,"AZ","housing_score",35.53
4001944202,"tract",2019,"AZ","housing_score",16.17
4001944202,"tract",2019,"AZ","housing_score",16.17
4001944300,"tract",2019,"AZ","housing_score",12.36
4001944300,"tract",2019,"AZ","housing_score",12.36
4001944901,"tract",2019,"AZ","housing_score",-5.27
4001944901,"tract",2019,"AZ","housing_score",-5.27
4001944902,"tract",2019,"AZ","housing_score",-6.03
4001944902,"tract",2019,"AZ","housing_score",-6.03
4001945001,"tract",2019,"AZ","housing_score",46.41
4001945001,"tract",2019,"AZ","housing_score",46.41
4001945002,"tract",2019,"AZ","housing_score",6.74
4001945002,"tract",2019,"AZ","housing_score",6.74
4001945100,"tract",2019,"AZ","housing_score",41.27
4001945100,"tract",2019,"AZ","housing_score",41.27
4001970200,"tract",2019,"AZ","housing_score",64.25
4001970200,"tract",2019,"AZ","housing_score",64.25
4001970300,"tract",2019,"AZ","housing_score",73.06
4001970300,"tract",2019,"AZ","housing_score",73.06
4001970501,"tract",2019,"AZ","housing_score",94.26
4001970501,"tract",2019,"AZ","housing_score",94.26
4001970502,"tract",2019,"AZ","housing_score",67.7
4001970502,"tract",2019,"AZ","housing_score",67.7
4003000100,"tract",2019,"AZ","housing_score",52.3
4003000100,"tract",2019,"AZ","housing_score",52.3
4003000201,"tract",2019,"AZ","housing_score",92.32
4003000201,"tract",2019,"AZ","housing_score",92.32
4003000202,"tract",2019,"AZ","housing_score",76.33
4003000202,"tract",2019,"AZ","housing_score",76.33
4003000203,"tract",2019,"AZ","housing_score",78.92
4003000203,"tract",2019,"AZ","housing_score",78.92
4003000301,"tract",2019,"AZ","housing_score",76.19
4003000301,"tract",2019,"AZ","housing_score",76.19
4003000302,"tract",2019,"AZ","housing_score",90.43
4003000302,"tract",2019,"AZ","housing_score",90.43
4003000303,"tract",2019,"AZ","housing_score",96.51
4003000303,"tract",2019,"AZ","housing_score",96.51
4003000400,"tract",2019,"AZ","housing_score",77.12
4003000400,"tract",2019,"AZ","housing_score",77.12
4003000500,"tract",2019,"AZ","housing_score",NA
4003000500,"tract",2019,"AZ","housing_score",NA
4003000600,"tract",2019,"AZ","housing_score",78.18
4003000600,"tract",2019,"AZ","housing_score",78.18
4003000700,"tract",2019,"AZ","housing_score",96.59
4003000700,"tract",2019,"AZ","housing_score",96.59
4003000800,"tract",2019,"AZ","housing_score",85.8
4003000800,"tract",2019,"AZ","housing_score",85.8
4003000901,"tract",2019,"AZ","housing_score",69.41
4003000901,"tract",2019,"AZ","housing_score",69.41
4003000902,"tract",2019,"AZ","housing_score",70.64
4003000902,"tract",2019,"AZ","housing_score",70.64
4003001000,"tract",2019,"AZ","housing_score",69.4
4003001000,"tract",2019,"AZ","housing_score",69.4
4003001100,"tract",2019,"AZ","housing_score",78.44
4003001100,"tract",2019,"AZ","housing_score",78.44
4003001200,"tract",2019,"AZ","housing_score",88.54
4003001200,"tract",2019,"AZ","housing_score",88.54
4003001300,"tract",2019,"AZ","housing_score",98.46
4003001300,"tract",2019,"AZ","housing_score",98.46
4003001401,"tract",2019,"AZ","housing_score",NA
4003001401,"tract",2019,"AZ","housing_score",NA
4003001402,"tract",2019,"AZ","housing_score",NA
4003001402,"tract",2019,"AZ","housing_score",NA
4003001501,"tract",2019,"AZ","housing_score",80.34
4003001501,"tract",2019,"AZ","housing_score",80.34
4003001502,"tract",2019,"AZ","housing_score",92.28
4003001502,"tract",2019,"AZ","housing_score",92.28
4003001601,"tract",2019,"AZ","housing_score",95.13
4003001601,"tract",2019,"AZ","housing_score",95.13
4003001602,"tract",2019,"AZ","housing_score",81.21
4003001602,"tract",2019,"AZ","housing_score",81.21
4003001701,"tract",2019,"AZ","housing_score",75.78
4003001701,"tract",2019,"AZ","housing_score",75.78
4003001702,"tract",2019,"AZ","housing_score",90.23
4003001702,"tract",2019,"AZ","housing_score",90.23
4003001703,"tract",2019,"AZ","housing_score",103.74
4003001703,"tract",2019,"AZ","housing_score",103.74
4003001800,"tract",2019,"AZ","housing_score",110.31
4003001800,"tract",2019,"AZ","housing_score",110.31
4003001900,"tract",2019,"AZ","housing_score",110.9
4003001900,"tract",2019,"AZ","housing_score",110.9
4003002001,"tract",2019,"AZ","housing_score",100.35
4003002001,"tract",2019,"AZ","housing_score",100.35
4003002002,"tract",2019,"AZ","housing_score",109.73
4003002002,"tract",2019,"AZ","housing_score",109.73
4003002100,"tract",2019,"AZ","housing_score",93.73
4003002100,"tract",2019,"AZ","housing_score",93.73
4005000100,"tract",2019,"AZ","housing_score",117.76
4005000100,"tract",2019,"AZ","housing_score",117.76
4005000200,"tract",2019,"AZ","housing_score",99.37
4005000200,"tract",2019,"AZ","housing_score",99.37
4005000300,"tract",2019,"AZ","housing_score",91.77
4005000300,"tract",2019,"AZ","housing_score",91.77
4005000400,"tract",2019,"AZ","housing_score",114.18
4005000400,"tract",2019,"AZ","housing_score",114.18
4005000500,"tract",2019,"AZ","housing_score",101.95
4005000500,"tract",2019,"AZ","housing_score",101.95
