"geoid","geolevel","year","state","level","value"
6001400100,"tract",2019,"CA","housing_score",141.29
6001400100,"tract",2019,"CA","housing_score",141.29
6001400200,"tract",2019,"CA","housing_score",128.61
6001400200,"tract",2019,"CA","housing_score",128.61
6001400300,"tract",2019,"CA","housing_score",117.17
6001400300,"tract",2019,"CA","housing_score",117.17
6001400400,"tract",2019,"CA","housing_score",113.83
6001400400,"tract",2019,"CA","housing_score",113.83
6001400500,"tract",2019,"CA","housing_score",114.55
6001400500,"tract",2019,"CA","housing_score",114.55
6001400600,"tract",2019,"CA","housing_score",111.59
6001400600,"tract",2019,"CA","housing_score",111.59
6001400700,"tract",2019,"CA","housing_score",110.21
6001400700,"tract",2019,"CA","housing_score",110.21
6001400800,"tract",2019,"CA","housing_score",104.56
6001400800,"tract",2019,"CA","housing_score",104.56
6001400900,"tract",2019,"CA","housing_score",109.62
6001400900,"tract",2019,"CA","housing_score",109.62
6001401000,"tract",2019,"CA","housing_score",107.32
6001401000,"tract",2019,"CA","housing_score",107.32
6001401100,"tract",2019,"CA","housing_score",112.09
6001401100,"tract",2019,"CA","housing_score",112.09
6001401200,"tract",2019,"CA","housing_score",109.97
6001401200,"tract",2019,"CA","housing_score",109.97
6001401300,"tract",2019,"CA","housing_score",99.21
6001401300,"tract",2019,"CA","housing_score",99.21
6001401400,"tract",2019,"CA","housing_score",101.6
6001401400,"tract",2019,"CA","housing_score",101.6
6001401500,"tract",2019,"CA","housing_score",101.05
6001401500,"tract",2019,"CA","housing_score",101.05
6001401600,"tract",2019,"CA","housing_score",103.57
6001401600,"tract",2019,"CA","housing_score",103.57
6001401700,"tract",2019,"CA","housing_score",112.49
6001401700,"tract",2019,"CA","housing_score",112.49
6001401800,"tract",2019,"CA","housing_score",97.67
6001401800,"tract",2019,"CA","housing_score",97.67
6001402200,"tract",2019,"CA","housing_score",103.04
6001402200,"tract",2019,"CA","housing_score",103.04
6001402400,"tract",2019,"CA","housing_score",93.96
6001402400,"tract",2019,"CA","housing_score",93.96
6001402500,"tract",2019,"CA","housing_score",88.16
6001402500,"tract",2019,"CA","housing_score",88.16
6001402600,"tract",2019,"CA","housing_score",88.74
6001402600,"tract",2019,"CA","housing_score",88.74
6001402700,"tract",2019,"CA","housing_score",102.76
6001402700,"tract",2019,"CA","housing_score",102.76
6001402800,"tract",2019,"CA","housing_score",80.5
6001402800,"tract",2019,"CA","housing_score",80.5
6001402900,"tract",2019,"CA","housing_score",NA
6001402900,"tract",2019,"CA","housing_score",NA
