"geoid","geolevel","year","level","value"
"08001007801","tract",2019,"housing_score",90.14
"08001007802","tract",2019,"housing_score",97.68
"08001007900","tract",2019,"housing_score",109.04
"08001008000","tract",2019,"housing_score",110.4
"08001008100","tract",2019,"housing_score",74.64
"08001008200","tract",2019,"housing_score",119.05
"08001008308","tract",2019,"housing_score",93.77
"08001008309","tract",2019,"housing_score",103.85
"08001008353","tract",2019,"housing_score",124.77
"08001008401","tract",2019,"housing_score",119.96
"08001008402","tract",2019,"housing_score",124.14
"08001008505","tract",2019,"housing_score",122.78
"08001008506","tract",2019,"housing_score",97.44
"08001008507","tract",2019,"housing_score",124.38
"08001008508","tract",2019,"housing_score",119.85
"08001008523","tract",2019,"housing_score",131.81
"08001008524","tract",2019,"housing_score",135.57
"08001008526","tract",2019,"housing_score",126.5
"08001008529","tract",2019,"housing_score",106.95
"08001008533","tract",2019,"housing_score",118.58
"08001008534","tract",2019,"housing_score",129.47
"08001008535","tract",2019,"housing_score",123.44
"08001008536","tract",2019,"housing_score",135.3
"08001008537","tract",2019,"housing_score",137.71
"08001008538","tract",2019,"housing_score",139.97
"08001008539","tract",2019,"housing_score",138.12
"08001008540","tract",2019,"housing_score",139.38
"08001008541","tract",2019,"housing_score",146.38
"08001008542","tract",2019,"housing_score",133.4
"08001008543","tract",2019,"housing_score",124.56
"08001008544","tract",2019,"housing_score",136.68
"08001008545","tract",2019,"housing_score",135.68
"08001008546","tract",2019,"housing_score",129.52
"08001008547","tract",2019,"housing_score",121.92
"08001008548","tract",2019,"housing_score",121.23
"08001008549","tract",2019,"housing_score",130.75
"08001008550","tract",2019,"housing_score",132.5
"08001008551","tract",2019,"housing_score",137.76
"08001008603","tract",2019,"housing_score",96.71
"08001008604","tract",2019,"housing_score",123.96
"08001008605","tract",2019,"housing_score",111.33
"08001008606","tract",2019,"housing_score",107.39
"08001008705","tract",2019,"housing_score",107.95
"08001008706","tract",2019,"housing_score",101.24
"08001008709","tract",2019,"housing_score",103.71
"08001008801","tract",2019,"housing_score",110.51
"08001008802","tract",2019,"housing_score",103.07
"08001008901","tract",2019,"housing_score",108.91
"08001009001","tract",2019,"housing_score",115.84
"08001009002","tract",2019,"housing_score",116.54
"08001009101","tract",2019,"housing_score",124.79
"08001009103","tract",2019,"housing_score",93.05
"08001009104","tract",2019,"housing_score",119.18
"08001009202","tract",2019,"housing_score",113.23
"08001009203","tract",2019,"housing_score",91.23
"08001009204","tract",2019,"housing_score",119.93
"08001009206","tract",2019,"housing_score",120.67
"08001009207","tract",2019,"housing_score",115.22
"08001009304","tract",2019,"housing_score",108.89
"08001009306","tract",2019,"housing_score",118.94
"08001009307","tract",2019,"housing_score",110.28
"08001009308","tract",2019,"housing_score",116.32
"08001009309","tract",2019,"housing_score",116.77
"08001009310","tract",2019,"housing_score",113.03
"08001009316","tract",2019,"housing_score",93.07
"08001009318","tract",2019,"housing_score",92.94
"08001009319","tract",2019,"housing_score",88.88
"08001009320","tract",2019,"housing_score",85.93
"08001009321","tract",2019,"housing_score",101.21
"08001009322","tract",2019,"housing_score",106.13
"08001009323","tract",2019,"housing_score",102.35
"08001009325","tract",2019,"housing_score",108.86
"08001009326","tract",2019,"housing_score",114.66
"08001009327","tract",2019,"housing_score",117.92
"08001009401","tract",2019,"housing_score",115.64
"08001009406","tract",2019,"housing_score",113.98
"08001009407","tract",2019,"housing_score",118.46
"08001009408","tract",2019,"housing_score",122.24
"08001009409","tract",2019,"housing_score",125.28
"08001009410","tract",2019,"housing_score",133.03
"08001009411","tract",2019,"housing_score",122.67
"08001009501","tract",2019,"housing_score",104.61
"08001009502","tract",2019,"housing_score",122.23
"08001009553","tract",2019,"housing_score",114.64
"08001009603","tract",2019,"housing_score",98.75
"08001009604","tract",2019,"housing_score",99.99
"08001009606","tract",2019,"housing_score",96.29
"08001009607","tract",2019,"housing_score",106.61
"08001009608","tract",2019,"housing_score",123.65
"08001009751","tract",2019,"housing_score",91.24
"08001009752","tract",2019,"housing_score",110.9
"08001015000","tract",2019,"housing_score",83.73
"08001060000","tract",2019,"housing_score",129.06
"08001060100","tract",2019,"housing_score",121.05
"08001060200","tract",2019,"housing_score",108.91
"08001061200","tract",2019,"housing_score",124.94
"08001988700","tract",2019,"housing_score",NA
"08003960000","tract",2019,"housing_score",78.31
"08003960100","tract",2019,"housing_score",102.24
"08003960200","tract",2019,"housing_score",98.66
"08003960300","tract",2019,"housing_score",93.89
"08005004951","tract",2019,"housing_score",85.18
"08005004952","tract",2019,"housing_score",100.21
"08005005551","tract",2019,"housing_score",109.33
"08005005552","tract",2019,"housing_score",85.44
"08005005553","tract",2019,"housing_score",111.7
"08005005611","tract",2019,"housing_score",118.99
"08005005612","tract",2019,"housing_score",117.42
"08005005614","tract",2019,"housing_score",123.73
"08005005619","tract",2019,"housing_score",120.35
"08005005620","tract",2019,"housing_score",93.01
"08005005621","tract",2019,"housing_score",127.99
"08005005622","tract",2019,"housing_score",126.41
"08005005623","tract",2019,"housing_score",124.77
"08005005624","tract",2019,"housing_score",127.93
"08005005625","tract",2019,"housing_score",123.07
"08005005626","tract",2019,"housing_score",114.62
"08005005627","tract",2019,"housing_score",127.21
"08005005628","tract",2019,"housing_score",126.07
"08005005629","tract",2019,"housing_score",142.95
"08005005630","tract",2019,"housing_score",125.76
"08005005631","tract",2019,"housing_score",129.2
"08005005632","tract",2019,"housing_score",127.91
"08005005633","tract",2019,"housing_score",125.52
"08005005634","tract",2019,"housing_score",104.36
"08005005635","tract",2019,"housing_score",119.06
"08005005636","tract",2019,"housing_score",144.11
"08005005700","tract",2019,"housing_score",96.25
"08005005800","tract",2019,"housing_score",120.16
"08005005951","tract",2019,"housing_score",93.76
"08005005952","tract",2019,"housing_score",93.81
"08005006000","tract",2019,"housing_score",103.95
"08005006100","tract",2019,"housing_score",99.9
"08005006200","tract",2019,"housing_score",112.06
"08005006300","tract",2019,"housing_score",113.14
"08005006400","tract",2019,"housing_score",101.4
"08005006501","tract",2019,"housing_score",75.68
"08005006502","tract",2019,"housing_score",107.1
"08005006601","tract",2019,"housing_score",104.32
"08005006603","tract",2019,"housing_score",110.45
"08005006604","tract",2019,"housing_score",93.18
"08005006704","tract",2019,"housing_score",151.88
"08005006705","tract",2019,"housing_score",148.17
"08005006706","tract",2019,"housing_score",122.35
"08005006707","tract",2019,"housing_score",122.94
"08005006708","tract",2019,"housing_score",126.09
"08005006709","tract",2019,"housing_score",128.2
"08005006711","tract",2019,"housing_score",131.48
"08005006712","tract",2019,"housing_score",131.76
"08005006713","tract",2019,"housing_score",91.42
"08005006808","tract",2019,"housing_score",144.08
"08005006815","tract",2019,"housing_score",108.64
"08005006854","tract",2019,"housing_score",108.64
"08005006855","tract",2019,"housing_score",129.06
"08005006856","tract",2019,"housing_score",107.96
"08005006857","tract",2019,"housing_score",130.66
"08005006858","tract",2019,"housing_score",94.58
"08005007101","tract",2019,"housing_score",116.68
"08005007103","tract",2019,"housing_score",138.02
"08005007104","tract",2019,"housing_score",128.4
"08005007105","tract",2019,"housing_score",129.74
"08005007106","tract",2019,"housing_score",140.54
"08005007107","tract",2019,"housing_score",145.02
"08005007201","tract",2019,"housing_score",95.46
"08005007202","tract",2019,"housing_score",104.39
"08005007301","tract",2019,"housing_score",97.77
"08005007302","tract",2019,"housing_score",96.5
"08005007400","tract",2019,"housing_score",117.25
"08005007500","tract",2019,"housing_score",106.39
"08005007600","tract",2019,"housing_score",102.07
"08005007702","tract",2019,"housing_score",102.99
"08005007703","tract",2019,"housing_score",108.21
"08005007704","tract",2019,"housing_score",98.84
"08005015100","tract",2019,"housing_score",125.81
"08005080000","tract",2019,"housing_score",102.75
"08005080100","tract",2019,"housing_score",88.35
"08005080200","tract",2019,"housing_score",113.71
"08005080300","tract",2019,"housing_score",117.07
"08005080400","tract",2019,"housing_score",118.75
"08005080500","tract",2019,"housing_score",100.8
"08005080600","tract",2019,"housing_score",99.3
"08005080700","tract",2019,"housing_score",111.83
"08005080800","tract",2019,"housing_score",100.57
"08005080900","tract",2019,"housing_score",122.3
"08005081000","tract",2019,"housing_score",99.98
"08005081100","tract",2019,"housing_score",97.21
"08005081200","tract",2019,"housing_score",108.55
"08005081300","tract",2019,"housing_score",114.25
"08005081400","tract",2019,"housing_score",126.94
"08005081500","tract",2019,"housing_score",77.48
"08005081600","tract",2019,"housing_score",121.21
"08005081700","tract",2019,"housing_score",140.78
"08005081800","tract",2019,"housing_score",113.37
"08005081900","tract",2019,"housing_score",103.17
"08005082000","tract",2019,"housing_score",95.48
"08005082100","tract",2019,"housing_score",113.37
"08005082200","tract",2019,"housing_score",111.21
"08005082300","tract",2019,"housing_score",113.32
"08005082400","tract",2019,"housing_score",114.95
"08005082500","tract",2019,"housing_score",126.3
"08005082600","tract",2019,"housing_score",103.21
"08005082700","tract",2019,"housing_score",122.9
"08005082800","tract",2019,"housing_score",120.35
"08005082900","tract",2019,"housing_score",121.88
"08005083000","tract",2019,"housing_score",135.32
"08005083100","tract",2019,"housing_score",124.68
"08005083200","tract",2019,"housing_score",132.91
"08005083300","tract",2019,"housing_score",123.07
"08005083400","tract",2019,"housing_score",127.66
"08005083500","tract",2019,"housing_score",115.55
"08005083600","tract",2019,"housing_score",106.59
"08005083700","tract",2019,"housing_score",126.75
"08005083800","tract",2019,"housing_score",114.31
"08005083900","tract",2019,"housing_score",103.88
"08005084000","tract",2019,"housing_score",124.8
"08005084100","tract",2019,"housing_score",119.97
"08005084200","tract",2019,"housing_score",123.68
"08005084300","tract",2019,"housing_score",128.2
"08005084400","tract",2019,"housing_score",130.46
"08005084500","tract",2019,"housing_score",107.04
"08005084600","tract",2019,"housing_score",119.31
"08005084700","tract",2019,"housing_score",123.51
"08005084800","tract",2019,"housing_score",132.7
"08005084900","tract",2019,"housing_score",141.14
"08005085000","tract",2019,"housing_score",120.79
"08005085100","tract",2019,"housing_score",144.68
"08005085200","tract",2019,"housing_score",139.23
"08005085300","tract",2019,"housing_score",124.12
"08005085400","tract",2019,"housing_score",137.66
"08005085500","tract",2019,"housing_score",137.48
"08005085600","tract",2019,"housing_score",142.56
"08005085700","tract",2019,"housing_score",119.86
"08005085800","tract",2019,"housing_score",126.08
"08005085900","tract",2019,"housing_score",138.79
"08005086000","tract",2019,"housing_score",132.19
"08005086100","tract",2019,"housing_score",132.15
"08005086200","tract",2019,"housing_score",134.04
"08005086300","tract",2019,"housing_score",113.67
"08005086400","tract",2019,"housing_score",148.68
"08005086500","tract",2019,"housing_score",123.18
"08005086600","tract",2019,"housing_score",119.49
"08005086700","tract",2019,"housing_score",141.75
"08005086800","tract",2019,"housing_score",102.59
"08005086900","tract",2019,"housing_score",101.43
"08005087000","tract",2019,"housing_score",99.82
"08005087100","tract",2019,"housing_score",94.51
"08005087200","tract",2019,"housing_score",92.56
"08005087300","tract",2019,"housing_score",99.25
"08007940400","tract",2019,"housing_score",71.51
"08007974200","tract",2019,"housing_score",94.34
