"geoid","geolevel","year","level","value"
"33001965100","tract",2019,"housing_score",93.87
"33001965200","tract",2019,"housing_score",80.21
"33001965300","tract",2019,"housing_score",87.7
"33001965400","tract",2019,"housing_score",107.07
"33001965598","tract",2019,"housing_score",96.18
"33001965600","tract",2019,"housing_score",104.36
"33001965700","tract",2019,"housing_score",106.28
"33001965800","tract",2019,"housing_score",101.32
"33001965900","tract",2019,"housing_score",101.31
"33001966000","tract",2019,"housing_score",99.58
"33001966100","tract",2019,"housing_score",96.3
"33001966200","tract",2019,"housing_score",85.68
"33001966401","tract",2019,"housing_score",64.35
"33001966402","tract",2019,"housing_score",113.99
"33001966500","tract",2019,"housing_score",101.93
"33003955100","tract",2019,"housing_score",75.65
"33003955300","tract",2019,"housing_score",90.44
"33003955400","tract",2019,"housing_score",92.31
"33003955500","tract",2019,"housing_score",87.87
"33003955600","tract",2019,"housing_score",83.23
"33003955800","tract",2019,"housing_score",84.18
"33003955900","tract",2019,"housing_score",85.04
"33003956000","tract",2019,"housing_score",101.84
"33003956100","tract",2019,"housing_score",93.44
"33003956300","tract",2019,"housing_score",88.46
"33003956400","tract",2019,"housing_score",82.12
"33005970100","tract",2019,"housing_score",94.72
"33005970200","tract",2019,"housing_score",97.35
"33005970400","tract",2019,"housing_score",90.48
"33005970500","tract",2019,"housing_score",99.97
"33005970600","tract",2019,"housing_score",112.42
"33005970700","tract",2019,"housing_score",100.89
"33005970800","tract",2019,"housing_score",101.51
"33005970900","tract",2019,"housing_score",103.78
"33005971000","tract",2019,"housing_score",101.78
"33005971100","tract",2019,"housing_score",97.96
"33005971300","tract",2019,"housing_score",98.16
"33005971401","tract",2019,"housing_score",NA
"33005971402","tract",2019,"housing_score",100.18
"33005971500","tract",2019,"housing_score",104.71
"33005971600","tract",2019,"housing_score",96.97
"33005971700","tract",2019,"housing_score",92.28
"33007950100","tract",2019,"housing_score",44.88
"33007950200","tract",2019,"housing_score",73.6
"33007950300","tract",2019,"housing_score",64.46
"33007950400","tract",2019,"housing_score",65.45
"33007950500","tract",2019,"housing_score",93.73
"33007950600","tract",2019,"housing_score",NA
"33007950700","tract",2019,"housing_score",84.42
"33007950800","tract",2019,"housing_score",80
"33007950900","tract",2019,"housing_score",88.9
"33007951000","tract",2019,"housing_score",78.32
"33007951100","tract",2019,"housing_score",79.25
"33009960100","tract",2019,"housing_score",85.54
"33009960200","tract",2019,"housing_score",96.73
"33009960300","tract",2019,"housing_score",88.94
"33009960400","tract",2019,"housing_score",69.24
"33009960500","tract",2019,"housing_score",76.13
"33009960600","tract",2019,"housing_score",97.48
"33009960700","tract",2019,"housing_score",97.7
"33009960800","tract",2019,"housing_score",92.44
"33009960900","tract",2019,"housing_score",89.48
"33009961000","tract",2019,"housing_score",102.66
"33009961100","tract",2019,"housing_score",83.44
"33009961200","tract",2019,"housing_score",84.41
"33009961300","tract",2019,"housing_score",86.62
"33009961400","tract",2019,"housing_score",96.45
"33009961500","tract",2019,"housing_score",101.23
"33009961601","tract",2019,"housing_score",122.03
"33009961602","tract",2019,"housing_score",NA
"33009961700","tract",2019,"housing_score",98.21
"33009961800","tract",2019,"housing_score",107.61
"33011000101","tract",2019,"housing_score",111.71
"33011000102","tract",2019,"housing_score",108.57
"33011000202","tract",2019,"housing_score",104.94
"33011000203","tract",2019,"housing_score",88.01
"33011000204","tract",2019,"housing_score",101.92
"33011000300","tract",2019,"housing_score",95.27
"33011000600","tract",2019,"housing_score",82.89
"33011000700","tract",2019,"housing_score",105.15
"33011000800","tract",2019,"housing_score",102.58
"33011000901","tract",2019,"housing_score",111.67
"33011000902","tract",2019,"housing_score",108.82
"33011001000","tract",2019,"housing_score",114.52
"33011001100","tract",2019,"housing_score",120.33
"33011001200","tract",2019,"housing_score",111.98
"33011001300","tract",2019,"housing_score",92.54
"33011001400","tract",2019,"housing_score",70.3
"33011001500","tract",2019,"housing_score",90.92
"33011001600","tract",2019,"housing_score",100.25
"33011001700","tract",2019,"housing_score",87.71
"33011001800","tract",2019,"housing_score",110.12
"33011001900","tract",2019,"housing_score",102.91
"33011002000","tract",2019,"housing_score",93.44
"33011002100","tract",2019,"housing_score",97.38
"33011002200","tract",2019,"housing_score",107.16
"33011002300","tract",2019,"housing_score",108.23
"33011002400","tract",2019,"housing_score",101.92
"33011002500","tract",2019,"housing_score",104.13
"33011002600","tract",2019,"housing_score",119.13
"33011002701","tract",2019,"housing_score",120.1
"33011002702","tract",2019,"housing_score",120.17
"33011002800","tract",2019,"housing_score",116.04
"33011002901","tract",2019,"housing_score",122.76
"33011002902","tract",2019,"housing_score",128.84
"33011002903","tract",2019,"housing_score",144.9
"33011010100","tract",2019,"housing_score",117.94
"33011010200","tract",2019,"housing_score",108.47
"33011010301","tract",2019,"housing_score",119.15
"33011010302","tract",2019,"housing_score",118.27
"33011010400","tract",2019,"housing_score",113.76
"33011010500","tract",2019,"housing_score",86.72
"33011010600","tract",2019,"housing_score",95.49
"33011010700","tract",2019,"housing_score",78.1
"33011010800","tract",2019,"housing_score",99.57
"33011010900","tract",2019,"housing_score",115.96
"33011011000","tract",2019,"housing_score",117.32
"33011011101","tract",2019,"housing_score",85.17
"33011011102","tract",2019,"housing_score",75.3
"33011011200","tract",2019,"housing_score",122.53
"33011011300","tract",2019,"housing_score",129.2
"33011011401","tract",2019,"housing_score",119.25
"33011011402","tract",2019,"housing_score",120.14
"33011011500","tract",2019,"housing_score",99.52
"33011012100","tract",2019,"housing_score",131.84
"33011012200","tract",2019,"housing_score",114.27
"33011012300","tract",2019,"housing_score",125.85
"33011013100","tract",2019,"housing_score",127.02
"33011014100","tract",2019,"housing_score",102.73
"33011014201","tract",2019,"housing_score",130.51
"33011014202","tract",2019,"housing_score",125.16
"33011014300","tract",2019,"housing_score",130.09
"33011015100","tract",2019,"housing_score",129.35
"33011015200","tract",2019,"housing_score",134.22
"33011016100","tract",2019,"housing_score",113.89
"33011016201","tract",2019,"housing_score",101.39
"33011016202","tract",2019,"housing_score",126.03
"33011017100","tract",2019,"housing_score",135.41
"33011018000","tract",2019,"housing_score",133.7
"33011018501","tract",2019,"housing_score",99.75
"33011018502","tract",2019,"housing_score",119.8
"33011019000","tract",2019,"housing_score",115.09
"33011019501","tract",2019,"housing_score",114.77
"33011019502","tract",2019,"housing_score",122.78
"33011020000","tract",2019,"housing_score",126.54
"33011021000","tract",2019,"housing_score",119.91
"33011021500","tract",2019,"housing_score",104.42
"33011022000","tract",2019,"housing_score",104.14
"33011022500","tract",2019,"housing_score",114.62
"33011023000","tract",2019,"housing_score",102.98
"33011024000","tract",2019,"housing_score",105.97
"33011025000","tract",2019,"housing_score",101.69
"33011025500","tract",2019,"housing_score",106.62
"33011200100","tract",2019,"housing_score",130.86
"33011200200","tract",2019,"housing_score",125.39
"33011200300","tract",2019,"housing_score",121.27
"33011200400","tract",2019,"housing_score",79.3
"33011980101","tract",2019,"housing_score",NA
"33013003001","tract",2019,"housing_score",120.88
"33013003006","tract",2019,"housing_score",115.28
"33013003100","tract",2019,"housing_score",104.19
"33013003200","tract",2019,"housing_score",115.79
"33013030000","tract",2019,"housing_score",121.04
"33013031001","tract",2019,"housing_score",126.9
"33013031002","tract",2019,"housing_score",122.59
"33013032100","tract",2019,"housing_score",119.31
"33013032200","tract",2019,"housing_score",95.62
"33013032300","tract",2019,"housing_score",87.94
"33013032400","tract",2019,"housing_score",90.65
"33013032500","tract",2019,"housing_score",115.56
"33013032600","tract",2019,"housing_score",NA
"33013032701","tract",2019,"housing_score",105.92
"33013032706","tract",2019,"housing_score",110.05
"33013032800","tract",2019,"housing_score",124.22
"33013032900","tract",2019,"housing_score",95.98
"33013033000","tract",2019,"housing_score",117.76
"33013034000","tract",2019,"housing_score",108.03
"33013035000","tract",2019,"housing_score",105.7
"33013036000","tract",2019,"housing_score",109.21
"33013037000","tract",2019,"housing_score",112.04
"33013038000","tract",2019,"housing_score",113.98
"33013038500","tract",2019,"housing_score",103.74
"33013039000","tract",2019,"housing_score",116.02
"33013040000","tract",2019,"housing_score",104.74
"33013040500","tract",2019,"housing_score",104.61
"33013041000","tract",2019,"housing_score",103.31
"33013041500","tract",2019,"housing_score",102.41
"33013042500","tract",2019,"housing_score",111.99
"33013043001","tract",2019,"housing_score",99.11
"33013043002","tract",2019,"housing_score",96.85
"33013044000","tract",2019,"housing_score",104.32
"33013044100","tract",2019,"housing_score",96.83
"33013044200","tract",2019,"housing_score",118.78
"33013044300","tract",2019,"housing_score",99.19
"33015003301","tract",2019,"housing_score",132.27
"33015003302","tract",2019,"housing_score",113.58
"33015003400","tract",2019,"housing_score",109.96
"33015003500","tract",2019,"housing_score",100.16
"33015003601","tract",2019,"housing_score",122.41
"33015003602","tract",2019,"housing_score",132.79
"33015003701","tract",2019,"housing_score",116.21
"33015003703","tract",2019,"housing_score",126.85
"33015003801","tract",2019,"housing_score",131.6
"33015003802","tract",2019,"housing_score",130.76
"33015003901","tract",2019,"housing_score",114.84
"33015003902","tract",2019,"housing_score",127.89
"33015004000","tract",2019,"housing_score",131.23
"33015050000","tract",2019,"housing_score",122.44
"33015051000","tract",2019,"housing_score",133.99
"33015052000","tract",2019,"housing_score",130.96
"33015053000","tract",2019,"housing_score",123.49
"33015054000","tract",2019,"housing_score",124.68
"33015055001","tract",2019,"housing_score",120.46
"33015055002","tract",2019,"housing_score",111.68
"33015056000","tract",2019,"housing_score",116.15
"33015057000","tract",2019,"housing_score",113.41
"33015058000","tract",2019,"housing_score",118.73
"33015059000","tract",2019,"housing_score",121.34
"33015060000","tract",2019,"housing_score",128.43
"33015061001","tract",2019,"housing_score",116.92
"33015062000","tract",2019,"housing_score",123.04
"33015062500","tract",2019,"housing_score",119.01
"33015063001","tract",2019,"housing_score",97.61
"33015063002","tract",2019,"housing_score",95.91
"33015064000","tract",2019,"housing_score",129.07
"33015065001","tract",2019,"housing_score",120.78
"33015065005","tract",2019,"housing_score",103.54
"33015065006","tract",2019,"housing_score",91.85
"33015065007","tract",2019,"housing_score",92.84
"33015065008","tract",2019,"housing_score",75.48
"33015066000","tract",2019,"housing_score",118.35
"33015067000","tract",2019,"housing_score",126.96
"33015067501","tract",2019,"housing_score",119.05
"33015067502","tract",2019,"housing_score",104.78
"33015069100","tract",2019,"housing_score",102.58
"33015069200","tract",2019,"housing_score",109.6
"33015069300","tract",2019,"housing_score",113.28
"33015069700","tract",2019,"housing_score",114.31
"33015071000","tract",2019,"housing_score",114.76
"33015100100","tract",2019,"housing_score",127.86
"33015100200","tract",2019,"housing_score",117.34
"33015100301","tract",2019,"housing_score",119.16
"33015100302","tract",2019,"housing_score",110.76
"33015100400","tract",2019,"housing_score",117.75
"33015101100","tract",2019,"housing_score",124.97
"33015102100","tract",2019,"housing_score",125.65
"33015103100","tract",2019,"housing_score",133.27
"33015104101","tract",2019,"housing_score",111.37
"33015104102","tract",2019,"housing_score",121.64
"33015105100","tract",2019,"housing_score",122.65
"33015106101","tract",2019,"housing_score",136.71
"33015106102","tract",2019,"housing_score",133.6
"33015106200","tract",2019,"housing_score",88.1
"33015106400","tract",2019,"housing_score",110.79
"33015107100","tract",2019,"housing_score",108.01
"33015107200","tract",2019,"housing_score",109.01
"33015107400","tract",2019,"housing_score",116.03
"33015107500","tract",2019,"housing_score",123.19
"33015980011","tract",2019,"housing_score",NA
"33015990000","tract",2019,"housing_score",NA
"33017080100","tract",2019,"housing_score",116.65
"33017080202","tract",2019,"housing_score",111.28
"33017080203","tract",2019,"housing_score",NA
"33017080204","tract",2019,"housing_score",NA
"33017080500","tract",2019,"housing_score",127.32
"33017081100","tract",2019,"housing_score",104.77
"33017081200","tract",2019,"housing_score",109.84
"33017081300","tract",2019,"housing_score",96.06
"33017081400","tract",2019,"housing_score",101.01
"33017081500","tract",2019,"housing_score",101.91
"33017081600","tract",2019,"housing_score",115.36
"33017082000","tract",2019,"housing_score",109.29
"33017083001","tract",2019,"housing_score",102.75
"33017083002","tract",2019,"housing_score",106.18
"33017084100","tract",2019,"housing_score",110.15
"33017084200","tract",2019,"housing_score",98
"33017084300","tract",2019,"housing_score",100.12
"33017084400","tract",2019,"housing_score",110.09
"33017084500","tract",2019,"housing_score",105.6
"33017084600","tract",2019,"housing_score",111.58
"33017085000","tract",2019,"housing_score",122.34
"33017086000","tract",2019,"housing_score",115.64
"33017087000","tract",2019,"housing_score",106.74
"33017088000","tract",2019,"housing_score",108.49
"33017088500","tract",2019,"housing_score",108.27
"33019975100","tract",2019,"housing_score",102.69
"33019975200","tract",2019,"housing_score",102.63
"33019975300","tract",2019,"housing_score",92.62
"33019975400","tract",2019,"housing_score",101.11
"33019975500","tract",2019,"housing_score",82.46
"33019975600","tract",2019,"housing_score",94.96
"33019975700","tract",2019,"housing_score",90.2
"33019975800","tract",2019,"housing_score",106.04
"33019975901","tract",2019,"housing_score",88.22
"33019975902","tract",2019,"housing_score",90.35
"33001965100","tract",2019,"housing_rnk",35.6423
"33001965200","tract",2019,"housing_rnk",14.9973
"33001965300","tract",2019,"housing_rnk",24.7601
"33001965400","tract",2019,"housing_rnk",62.9341
"33001965598","tract",2019,"housing_rnk",40.0716
"33001965600","tract",2019,"housing_rnk",57.2793
"33001965700","tract",2019,"housing_rnk",61.3166
"33001965800","tract",2019,"housing_rnk",50.7656
"33001965900","tract",2019,"housing_rnk",50.7443
"33001966000","tract",2019,"housing_rnk",47.1146
"33001966100","tract",2019,"housing_rnk",40.3292
"33001966200","tract",2019,"housing_rnk",21.7233
"33001966401","tract",2019,"housing_rnk",4.2651
"33001966402","tract",2019,"housing_rnk",75.8017
"33001966500","tract",2019,"housing_rnk",52.0519
"33003955100","tract",2019,"housing_rnk",10.7803
"33003955300","tract",2019,"housing_rnk",29.2743
"33003955400","tract",2019,"housing_rnk",32.6253
"33003955500","tract",2019,"housing_rnk",25.0417
"33003955600","tract",2019,"housing_rnk",18.4431
"33003955800","tract",2019,"housing_rnk",19.6629
"33003955900","tract",2019,"housing_rnk",20.8148
"33003956000","tract",2019,"housing_rnk",51.8651
"33003956100","tract",2019,"housing_rnk",34.7989
"33003956300","tract",2019,"housing_rnk",25.9587
"33003956400","tract",2019,"housing_rnk",17.0874
"33005970100","tract",2019,"housing_rnk",37.2357
"33005970200","tract",2019,"housing_rnk",42.5424
"33005970400","tract",2019,"housing_rnk",29.3338
