"geoid","geolevel","year","state","level","value"
56001962700,"tract",2019,"WY","housing_score",109.82
56001962700,"tract",2019,"WY","housing_score",109.82
56001962800,"tract",2019,"WY","housing_score",88.82
56001962800,"tract",2019,"WY","housing_score",88.82
56001962900,"tract",2019,"WY","housing_score",76.43
56001962900,"tract",2019,"WY","housing_score",76.43
56001963000,"tract",2019,"WY","housing_score",75.2
56001963000,"tract",2019,"WY","housing_score",75.2
56001963100,"tract",2019,"WY","housing_score",111.09
56001963100,"tract",2019,"WY","housing_score",111.09
56001963400,"tract",2019,"WY","housing_score",91.03
56001963400,"tract",2019,"WY","housing_score",91.03
56001963500,"tract",2019,"WY","housing_score",NA
56001963500,"tract",2019,"WY","housing_score",NA
56001963600,"tract",2019,"WY","housing_score",104.79
56001963600,"tract",2019,"WY","housing_score",104.79
56001963700,"tract",2019,"WY","housing_score",99.96
56001963700,"tract",2019,"WY","housing_score",99.96
56001963900,"tract",2019,"WY","housing_score",64.62
56001963900,"tract",2019,"WY","housing_score",64.62
56003962600,"tract",2019,"WY","housing_score",79.75
56003962600,"tract",2019,"WY","housing_score",79.75
56003962700,"tract",2019,"WY","housing_score",89.1
56003962700,"tract",2019,"WY","housing_score",89.1
56003962800,"tract",2019,"WY","housing_score",86.76
56003962800,"tract",2019,"WY","housing_score",86.76
56005000100,"tract",2019,"WY","housing_score",116.35
56005000100,"tract",2019,"WY","housing_score",116.35
56005000200,"tract",2019,"WY","housing_score",113.77
56005000200,"tract",2019,"WY","housing_score",113.77
56005000300,"tract",2019,"WY","housing_score",103.47
56005000300,"tract",2019,"WY","housing_score",103.47
56005000400,"tract",2019,"WY","housing_score",89.02
56005000400,"tract",2019,"WY","housing_score",89.02
56005000500,"tract",2019,"WY","housing_score",122.7
56005000500,"tract",2019,"WY","housing_score",122.7
56005000600,"tract",2019,"WY","housing_score",98.32
56005000600,"tract",2019,"WY","housing_score",98.32
56005000700,"tract",2019,"WY","housing_score",107.71
56005000700,"tract",2019,"WY","housing_score",107.71
56007967600,"tract",2019,"WY","housing_score",74.9
56007967600,"tract",2019,"WY","housing_score",74.9
56007967700,"tract",2019,"WY","housing_score",101.79
56007967700,"tract",2019,"WY","housing_score",101.79
56007967800,"tract",2019,"WY","housing_score",96.22
56007967800,"tract",2019,"WY","housing_score",96.22
56007968000,"tract",2019,"WY","housing_score",85.95
56007968000,"tract",2019,"WY","housing_score",85.95
56007968100,"tract",2019,"WY","housing_score",57.54
56007968100,"tract",2019,"WY","housing_score",57.54
56009956400,"tract",2019,"WY","housing_score",99.33
56009956400,"tract",2019,"WY","housing_score",99.33
56009956500,"tract",2019,"WY","housing_score",107.57
56009956500,"tract",2019,"WY","housing_score",107.57
56009956600,"tract",2019,"WY","housing_score",84.74
56009956600,"tract",2019,"WY","housing_score",84.74
56009956700,"tract",2019,"WY","housing_score",93.49
56009956700,"tract",2019,"WY","housing_score",93.49
56011950200,"tract",2019,"WY","housing_score",92.82
56011950200,"tract",2019,"WY","housing_score",92.82
56011950300,"tract",2019,"WY","housing_score",96.76
56011950300,"tract",2019,"WY","housing_score",96.76
56013000100,"tract",2019,"WY","housing_score",94.63
56013000100,"tract",2019,"WY","housing_score",94.63
56013000200,"tract",2019,"WY","housing_score",105.2
56013000200,"tract",2019,"WY","housing_score",105.2
56013000300,"tract",2019,"WY","housing_score",83.74
56013000300,"tract",2019,"WY","housing_score",83.74
56013000400,"tract",2019,"WY","housing_score",68.31
56013000400,"tract",2019,"WY","housing_score",68.31
56013940100,"tract",2019,"WY","housing_score",61.13
56013940100,"tract",2019,"WY","housing_score",61.13
56013940201,"tract",2019,"WY","housing_score",100.36
56013940201,"tract",2019,"WY","housing_score",100.36
56013940202,"tract",2019,"WY","housing_score",74.63
56013940202,"tract",2019,"WY","housing_score",74.63
56013940300,"tract",2019,"WY","housing_score",83.06
56013940300,"tract",2019,"WY","housing_score",83.06
56013940400,"tract",2019,"WY","housing_score",97.9
56013940400,"tract",2019,"WY","housing_score",97.9
56013940500,"tract",2019,"WY","housing_score",91.16
56013940500,"tract",2019,"WY","housing_score",91.16
56015957700,"tract",2019,"WY","housing_score",84.4
56015957700,"tract",2019,"WY","housing_score",84.4
56015957800,"tract",2019,"WY","housing_score",93.84
56015957800,"tract",2019,"WY","housing_score",93.84
56015957900,"tract",2019,"WY","housing_score",104.22
56015957900,"tract",2019,"WY","housing_score",104.22
56015958000,"tract",2019,"WY","housing_score",79.71
56015958000,"tract",2019,"WY","housing_score",79.71
56017967800,"tract",2019,"WY","housing_score",88.39
56017967800,"tract",2019,"WY","housing_score",88.39
56017967900,"tract",2019,"WY","housing_score",78.78
56017967900,"tract",2019,"WY","housing_score",78.78
56019955100,"tract",2019,"WY","housing_score",74.42
56019955100,"tract",2019,"WY","housing_score",74.42
56019955200,"tract",2019,"WY","housing_score",107.38
56019955200,"tract",2019,"WY","housing_score",107.38
56021000200,"tract",2019,"WY","housing_score",101.31
56021000200,"tract",2019,"WY","housing_score",101.31
56021000300,"tract",2019,"WY","housing_score",118.21
56021000300,"tract",2019,"WY","housing_score",118.21
56021000401,"tract",2019,"WY","housing_score",94.09
56021000401,"tract",2019,"WY","housing_score",94.09
56021000402,"tract",2019,"WY","housing_score",88.86
56021000402,"tract",2019,"WY","housing_score",88.86
56021000501,"tract",2019,"WY","housing_score",115.64
56021000501,"tract",2019,"WY","housing_score",115.64
56021000600,"tract",2019,"WY","housing_score",106.69
56021000600,"tract",2019,"WY","housing_score",106.69
56021000700,"tract",2019,"WY","housing_score",79.66
56021000700,"tract",2019,"WY","housing_score",79.66
56021000800,"tract",2019,"WY","housing_score",109.55
56021000800,"tract",2019,"WY","housing_score",109.55
56021000900,"tract",2019,"WY","housing_score",100.17
56021000900,"tract",2019,"WY","housing_score",100.17
56021001000,"tract",2019,"WY","housing_score",100.64
56021001000,"tract",2019,"WY","housing_score",100.64
56021001100,"tract",2019,"WY","housing_score",85.42
56021001100,"tract",2019,"WY","housing_score",85.42
56021001200,"tract",2019,"WY","housing_score",105.33
56021001200,"tract",2019,"WY","housing_score",105.33
56021001300,"tract",2019,"WY","housing_score",125.14
56021001300,"tract",2019,"WY","housing_score",125.14
56021001401,"tract",2019,"WY","housing_score",115.3
56021001401,"tract",2019,"WY","housing_score",115.3
56021001402,"tract",2019,"WY","housing_score",112.11
56021001402,"tract",2019,"WY","housing_score",112.11
56021001501,"tract",2019,"WY","housing_score",109.75
56021001501,"tract",2019,"WY","housing_score",109.75
56021001502,"tract",2019,"WY","housing_score",97.68
56021001502,"tract",2019,"WY","housing_score",97.68
56021001901,"tract",2019,"WY","housing_score",124.17
56021001901,"tract",2019,"WY","housing_score",124.17
56021001902,"tract",2019,"WY","housing_score",114.03
56021001902,"tract",2019,"WY","housing_score",114.03
56021002000,"tract",2019,"WY","housing_score",122.75
56021002000,"tract",2019,"WY","housing_score",122.75
56021980801,"tract",2019,"WY","housing_score",NA
56021980801,"tract",2019,"WY","housing_score",NA
56023978000,"tract",2019,"WY","housing_score",102.02
56023978000,"tract",2019,"WY","housing_score",102.02
56023978100,"tract",2019,"WY","housing_score",107.29
56023978100,"tract",2019,"WY","housing_score",107.29
56023978200,"tract",2019,"WY","housing_score",69.22
56023978200,"tract",2019,"WY","housing_score",69.22
56023978400,"tract",2019,"WY","housing_score",97.2
56023978400,"tract",2019,"WY","housing_score",97.2
56025000200,"tract",2019,"WY","housing_score",78.56
56025000200,"tract",2019,"WY","housing_score",78.56
56025000300,"tract",2019,"WY","housing_score",94.81
56025000300,"tract",2019,"WY","housing_score",94.81
56025000400,"tract",2019,"WY","housing_score",100.95
56025000400,"tract",2019,"WY","housing_score",100.95
56025000501,"tract",2019,"WY","housing_score",88.61
56025000501,"tract",2019,"WY","housing_score",88.61
56025000502,"tract",2019,"WY","housing_score",94.21
56025000502,"tract",2019,"WY","housing_score",94.21
56025000600,"tract",2019,"WY","housing_score",110.6
56025000600,"tract",2019,"WY","housing_score",110.6
56025000700,"tract",2019,"WY","housing_score",92.09
56025000700,"tract",2019,"WY","housing_score",92.09
56025000800,"tract",2019,"WY","housing_score",101.19
56025000800,"tract",2019,"WY","housing_score",101.19
56025000901,"tract",2019,"WY","housing_score",106.81
56025000901,"tract",2019,"WY","housing_score",106.81
56025000902,"tract",2019,"WY","housing_score",105.49
56025000902,"tract",2019,"WY","housing_score",105.49
56025001000,"tract",2019,"WY","housing_score",111.69
56025001000,"tract",2019,"WY","housing_score",111.69
56025001100,"tract",2019,"WY","housing_score",91.5
56025001100,"tract",2019,"WY","housing_score",91.5
56025001200,"tract",2019,"WY","housing_score",86.45
56025001200,"tract",2019,"WY","housing_score",86.45
56025001401,"tract",2019,"WY","housing_score",114.83
56025001401,"tract",2019,"WY","housing_score",114.83
56025001602,"tract",2019,"WY","housing_score",111.28
56025001602,"tract",2019,"WY","housing_score",111.28
56025001603,"tract",2019,"WY","housing_score",126.65
56025001603,"tract",2019,"WY","housing_score",126.65
56025001700,"tract",2019,"WY","housing_score",115.23
56025001700,"tract",2019,"WY","housing_score",115.23
56025001800,"tract",2019,"WY","housing_score",98.59
56025001800,"tract",2019,"WY","housing_score",98.59
56027957200,"tract",2019,"WY","housing_score",71.18
56027957200,"tract",2019,"WY","housing_score",71.18
56029965100,"tract",2019,"WY","housing_score",109.51
56029965100,"tract",2019,"WY","housing_score",109.51
56029965200,"tract",2019,"WY","housing_score",101.45
56029965200,"tract",2019,"WY","housing_score",101.45
56029965300,"tract",2019,"WY","housing_score",92.06
56029965300,"tract",2019,"WY","housing_score",92.06
56029965400,"tract",2019,"WY","housing_score",97.5
56029965400,"tract",2019,"WY","housing_score",97.5
56029965500,"tract",2019,"WY","housing_score",105.26
56029965500,"tract",2019,"WY","housing_score",105.26
56031959100,"tract",2019,"WY","housing_score",74.34
56031959100,"tract",2019,"WY","housing_score",74.34
56031959400,"tract",2019,"WY","housing_score",99.35
56031959400,"tract",2019,"WY","housing_score",99.35
56033000100,"tract",2019,"WY","housing_score",99.8
56033000100,"tract",2019,"WY","housing_score",99.8
56033000200,"tract",2019,"WY","housing_score",100.62
56033000200,"tract",2019,"WY","housing_score",100.62
56033000300,"tract",2019,"WY","housing_score",95.72
56033000300,"tract",2019,"WY","housing_score",95.72
56033000400,"tract",2019,"WY","housing_score",97.66
56033000400,"tract",2019,"WY","housing_score",97.66
56033000500,"tract",2019,"WY","housing_score",101.9
56033000500,"tract",2019,"WY","housing_score",101.9
56033000600,"tract",2019,"WY","housing_score",105.86
56033000600,"tract",2019,"WY","housing_score",105.86
56035000101,"tract",2019,"WY","housing_score",81.2
56035000101,"tract",2019,"WY","housing_score",81.2
56035000102,"tract",2019,"WY","housing_score",94.51
56035000102,"tract",2019,"WY","housing_score",94.51
56037970500,"tract",2019,"WY","housing_score",84.85
56037970500,"tract",2019,"WY","housing_score",84.85
56037970601,"tract",2019,"WY","housing_score",91.26
56037970601,"tract",2019,"WY","housing_score",91.26
56037970602,"tract",2019,"WY","housing_score",118.16
56037970602,"tract",2019,"WY","housing_score",118.16
56037970700,"tract",2019,"WY","housing_score",106.23
56037970700,"tract",2019,"WY","housing_score",106.23
56037970800,"tract",2019,"WY","housing_score",69.1
56037970800,"tract",2019,"WY","housing_score",69.1
56037970901,"tract",2019,"WY","housing_score",110.51
56037970901,"tract",2019,"WY","housing_score",110.51
56037970902,"tract",2019,"WY","housing_score",109.38
56037970902,"tract",2019,"WY","housing_score",109.38
56037970903,"tract",2019,"WY","housing_score",78.51
56037970903,"tract",2019,"WY","housing_score",78.51
56037971000,"tract",2019,"WY","housing_score",92
56037971000,"tract",2019,"WY","housing_score",92
56037971100,"tract",2019,"WY","housing_score",99.12
56037971100,"tract",2019,"WY","housing_score",99.12
