"geoid","geolevel","year","level","value"
"55001","zcta",2019,"housing_score",116.32
"55003","zcta",2019,"housing_score",NA
"55005","zcta",2019,"housing_score",117.57
"55006","zcta",2019,"housing_score",103.34
"55007","zcta",2019,"housing_score",90.97
"55008","zcta",2019,"housing_score",114.17
"55009","zcta",2019,"housing_score",114.98
"55011","zcta",2019,"housing_score",125.34
"55012","zcta",2019,"housing_score",108.92
"55013","zcta",2019,"housing_score",118.15
"55014","zcta",2019,"housing_score",124.91
"55016","zcta",2019,"housing_score",130.74
"55017","zcta",2019,"housing_score",110.01
"55018","zcta",2019,"housing_score",111.79
"55019","zcta",2019,"housing_score",115.11
"55020","zcta",2019,"housing_score",128.39
"55021","zcta",2019,"housing_score",116.48
"55024","zcta",2019,"housing_score",130.92
"55025","zcta",2019,"housing_score",122.93
"55026","zcta",2019,"housing_score",108.06
"55027","zcta",2019,"housing_score",111.29
"55029","zcta",2019,"housing_score",NA
"55030","zcta",2019,"housing_score",93.25
"55031","zcta",2019,"housing_score",113.38
"55032","zcta",2019,"housing_score",116.36
"55033","zcta",2019,"housing_score",120.38
"55036","zcta",2019,"housing_score",NA
"55037","zcta",2019,"housing_score",84.25
"55038","zcta",2019,"housing_score",129.75
"55040","zcta",2019,"housing_score",118.53
"55041","zcta",2019,"housing_score",108.45
"55042","zcta",2019,"housing_score",124.35
"55043","zcta",2019,"housing_score",114.42
"55044","zcta",2019,"housing_score",140.33
"55045","zcta",2019,"housing_score",117.42
"55046","zcta",2019,"housing_score",122.77
"55047","zcta",2019,"housing_score",113.6
"55049","zcta",2019,"housing_score",109.2
"55051","zcta",2019,"housing_score",100.45
"55052","zcta",2019,"housing_score",100.5
"55053","zcta",2019,"housing_score",113.36
"55054","zcta",2019,"housing_score",123.3
"55055","zcta",2019,"housing_score",117.21
"55056","zcta",2019,"housing_score",117.54
"55057","zcta",2019,"housing_score",118.66
"55060","zcta",2019,"housing_score",116.64
"55063","zcta",2019,"housing_score",99.99
"55065","zcta",2019,"housing_score",113.96
"55066","zcta",2019,"housing_score",115.84
"55068","zcta",2019,"housing_score",127.19
"55069","zcta",2019,"housing_score",110.09
"55070","zcta",2019,"housing_score",120.41
"55071","zcta",2019,"housing_score",121.33
"55072","zcta",2019,"housing_score",83.94
"55073","zcta",2019,"housing_score",116.88
"55074","zcta",2019,"housing_score",115.52
"55075","zcta",2019,"housing_score",118.69
"55076","zcta",2019,"housing_score",120.53
"55077","zcta",2019,"housing_score",123.12
"55079","zcta",2019,"housing_score",117.42
"55080","zcta",2019,"housing_score",113.42
"55082","zcta",2019,"housing_score",131.72
"55084","zcta",2019,"housing_score",108.21
"55085","zcta",2019,"housing_score",112.08
"55087","zcta",2019,"housing_score",100.15
"55088","zcta",2019,"housing_score",122.2
"55089","zcta",2019,"housing_score",105.79
"55090","zcta",2019,"housing_score",92.65
"55092","zcta",2019,"housing_score",118.56
"55101","zcta",2019,"housing_score",112.4
"55102","zcta",2019,"housing_score",115.74
"55103","zcta",2019,"housing_score",112.99
"55104","zcta",2019,"housing_score",124.01
"55105","zcta",2019,"housing_score",128.21
"55106","zcta",2019,"housing_score",121
"55107","zcta",2019,"housing_score",116.6
"55108","zcta",2019,"housing_score",119.1
"55109","zcta",2019,"housing_score",120.61
"55110","zcta",2019,"housing_score",123.85
"55111","zcta",2019,"housing_score",NA
"55112","zcta",2019,"housing_score",122.67
"55113","zcta",2019,"housing_score",121.18
"55114","zcta",2019,"housing_score",121.77
"55115","zcta",2019,"housing_score",123.5
"55116","zcta",2019,"housing_score",124.49
"55117","zcta",2019,"housing_score",118.57
"55118","zcta",2019,"housing_score",118.84
"55119","zcta",2019,"housing_score",120.18
"55120","zcta",2019,"housing_score",121.36
"55121","zcta",2019,"housing_score",118.44
"55122","zcta",2019,"housing_score",126.7
"55123","zcta",2019,"housing_score",133.26
"55124","zcta",2019,"housing_score",132.91
"55125","zcta",2019,"housing_score",134.98
"55126","zcta",2019,"housing_score",123.73
"55127","zcta",2019,"housing_score",125.13
"55128","zcta",2019,"housing_score",121.05
"55129","zcta",2019,"housing_score",137.71
"55130","zcta",2019,"housing_score",118.73
"55150","zcta",2019,"housing_score",104.29
"55155","zcta",2019,"housing_score",NA
"55301","zcta",2019,"housing_score",127.65
"55302","zcta",2019,"housing_score",107.84
"55303","zcta",2019,"housing_score",131.03
"55304","zcta",2019,"housing_score",135.02
"55305","zcta",2019,"housing_score",122.59
"55306","zcta",2019,"housing_score",121.08
"55307","zcta",2019,"housing_score",99.14
"55308","zcta",2019,"housing_score",120.53
"55309","zcta",2019,"housing_score",123.87
"55310","zcta",2019,"housing_score",86.09
"55311","zcta",2019,"housing_score",138.41
"55312","zcta",2019,"housing_score",94.97
"55313","zcta",2019,"housing_score",120.99
"55314","zcta",2019,"housing_score",93.29
"55315","zcta",2019,"housing_score",135.99
"55316","zcta",2019,"housing_score",124.89
"55317","zcta",2019,"housing_score",134.48
"55318","zcta",2019,"housing_score",129.41
"55319","zcta",2019,"housing_score",110.41
"55320","zcta",2019,"housing_score",108.95
"55321","zcta",2019,"housing_score",110.51
"55322","zcta",2019,"housing_score",115.65
"55324","zcta",2019,"housing_score",100.7
"55325","zcta",2019,"housing_score",107.28
"55327","zcta",2019,"housing_score",121.57
"55328","zcta",2019,"housing_score",123.16
"55329","zcta",2019,"housing_score",99.43
"55330","zcta",2019,"housing_score",126.98
"55331","zcta",2019,"housing_score",132.19
"55332","zcta",2019,"housing_score",87.87
"55333","zcta",2019,"housing_score",91.86
"55334","zcta",2019,"housing_score",98.74
"55335","zcta",2019,"housing_score",90.12
"55336","zcta",2019,"housing_score",109.4
"55337","zcta",2019,"housing_score",126.51
"55338","zcta",2019,"housing_score",111.89
"55339","zcta",2019,"housing_score",107.53
"55340","zcta",2019,"housing_score",133.08
"55341","zcta",2019,"housing_score",120.47
"55342","zcta",2019,"housing_score",92.33
"55343","zcta",2019,"housing_score",120.32
"55344","zcta",2019,"housing_score",120.47
"55345","zcta",2019,"housing_score",130.89
"55346","zcta",2019,"housing_score",131.13
"55347","zcta",2019,"housing_score",137.75
"55349","zcta",2019,"housing_score",108.59
"55350","zcta",2019,"housing_score",112.11
"55352","zcta",2019,"housing_score",118.74
"55353","zcta",2019,"housing_score",105.23
"55354","zcta",2019,"housing_score",103.02
"55355","zcta",2019,"housing_score",106.17
"55356","zcta",2019,"housing_score",128.29
"55357","zcta",2019,"housing_score",126.7
"55358","zcta",2019,"housing_score",108.1
"55359","zcta",2019,"housing_score",122.86
"55360","zcta",2019,"housing_score",117.88
"55362","zcta",2019,"housing_score",120.91
"55363","zcta",2019,"housing_score",117.1
"55364","zcta",2019,"housing_score",125.85
"55366","zcta",2019,"housing_score",95.31
"55367","zcta",2019,"housing_score",113
"55368","zcta",2019,"housing_score",113.58
"55369","zcta",2019,"housing_score",131.81
"55370","zcta",2019,"housing_score",104.59
"55371","zcta",2019,"housing_score",116.06
"55372","zcta",2019,"housing_score",132.6
"55373","zcta",2019,"housing_score",115.05
"55374","zcta",2019,"housing_score",130.74
"55375","zcta",2019,"housing_score",125.36
"55376","zcta",2019,"housing_score",126.21
"55378","zcta",2019,"housing_score",134.5
"55379","zcta",2019,"housing_score",132.08
"55381","zcta",2019,"housing_score",100.88
"55382","zcta",2019,"housing_score",101.73
"55384","zcta",2019,"housing_score",115.67
"55385","zcta",2019,"housing_score",98.32
"55386","zcta",2019,"housing_score",131.44
"55387","zcta",2019,"housing_score",125.66
"55388","zcta",2019,"housing_score",115.23
"55389","zcta",2019,"housing_score",100.46
"55390","zcta",2019,"housing_score",115.84
"55391","zcta",2019,"housing_score",131.37
"55395","zcta",2019,"housing_score",107.62
"55396","zcta",2019,"housing_score",98.21
"55397","zcta",2019,"housing_score",109.81
"55398","zcta",2019,"housing_score",124.5
"55401","zcta",2019,"housing_score",119.64
"55402","zcta",2019,"housing_score",NA
"55403","zcta",2019,"housing_score",110.12
"55404","zcta",2019,"housing_score",114.79
"55405","zcta",2019,"housing_score",125.11
"55406","zcta",2019,"housing_score",124.5
"55407","zcta",2019,"housing_score",123.76
"55408","zcta",2019,"housing_score",117.68
"55409","zcta",2019,"housing_score",122.75
"55410","zcta",2019,"housing_score",133.34
"55411","zcta",2019,"housing_score",119.32
"55412","zcta",2019,"housing_score",120.33
"55413","zcta",2019,"housing_score",119.9
"55414","zcta",2019,"housing_score",119.21
"55415","zcta",2019,"housing_score",NA
"55416","zcta",2019,"housing_score",128.33
"55417","zcta",2019,"housing_score",127.3
"55418","zcta",2019,"housing_score",122.82
"55419","zcta",2019,"housing_score",130.16
"55420","zcta",2019,"housing_score",116.1
"55421","zcta",2019,"housing_score",116.61
"55422","zcta",2019,"housing_score",124.37
"55423","zcta",2019,"housing_score",121.99
"55424","zcta",2019,"housing_score",137.83
"55425","zcta",2019,"housing_score",112.92
"55426","zcta",2019,"housing_score",123.33
"55427","zcta",2019,"housing_score",121.87
"55428","zcta",2019,"housing_score",120.97
"55429","zcta",2019,"housing_score",118.69
"55430","zcta",2019,"housing_score",118.71
"55431","zcta",2019,"housing_score",123.45
"55432","zcta",2019,"housing_score",119.54
"55433","zcta",2019,"housing_score",121.86
"55434","zcta",2019,"housing_score",119.94
"55435","zcta",2019,"housing_score",112.14
"55436","zcta",2019,"housing_score",127.95
"55437","zcta",2019,"housing_score",120.2
"55438","zcta",2019,"housing_score",123.26
"55439","zcta",2019,"housing_score",128.9
"55441","zcta",2019,"housing_score",124.67
"55442","zcta",2019,"housing_score",124.45
"55443","zcta",2019,"housing_score",127.39
"55444","zcta",2019,"housing_score",119.06
"55445","zcta",2019,"housing_score",130.15
"55446","zcta",2019,"housing_score",134.9
"55447","zcta",2019,"housing_score",126.16
"55448","zcta",2019,"housing_score",124.88
"55449","zcta",2019,"housing_score",132.96
"55450","zcta",2019,"housing_score",NA
"55454","zcta",2019,"housing_score",111.84
"55455","zcta",2019,"housing_score",NA
"55601","zcta",2019,"housing_score",NA
"55602","zcta",2019,"housing_score",30
"55603","zcta",2019,"housing_score",61.12
"55604","zcta",2019,"housing_score",81.83
"55605","zcta",2019,"housing_score",76.89
"55606","zcta",2019,"housing_score",37.3
"55607","zcta",2019,"housing_score",50.26
"55609","zcta",2019,"housing_score",115.36
"55612","zcta",2019,"housing_score",69.94
"55613","zcta",2019,"housing_score",46.79
"55614","zcta",2019,"housing_score",91.37
"55615","zcta",2019,"housing_score",83.8
"55616","zcta",2019,"housing_score",94.83
"55702","zcta",2019,"housing_score",95.58
"55703","zcta",2019,"housing_score",71.53
"55704","zcta",2019,"housing_score",82.08
"55705","zcta",2019,"housing_score",88.11
"55706","zcta",2019,"housing_score",83.03
"55707","zcta",2019,"housing_score",96.19
"55708","zcta",2019,"housing_score",81.52
"55709","zcta",2019,"housing_score",89.83
