"geoid","geolevel","year","level","value"
"03031","zcta",2019,"housing_score",129.49
"03032","zcta",2019,"housing_score",130.76
"03033","zcta",2019,"housing_score",131.16
"03034","zcta",2019,"housing_score",120.33
"03036","zcta",2019,"housing_score",131.48
"03037","zcta",2019,"housing_score",117.28
"03038","zcta",2019,"housing_score",129.8
"03042","zcta",2019,"housing_score",122.4
"03043","zcta",2019,"housing_score",110.33
"03044","zcta",2019,"housing_score",123.18
"03045","zcta",2019,"housing_score",122.66
"03046","zcta",2019,"housing_score",120
"03047","zcta",2019,"housing_score",108.42
"03048","zcta",2019,"housing_score",112.44
"03049","zcta",2019,"housing_score",130.08
"03051","zcta",2019,"housing_score",126.56
"03052","zcta",2019,"housing_score",123.18
"03053","zcta",2019,"housing_score",131.29
"03054","zcta",2019,"housing_score",128.78
"03055","zcta",2019,"housing_score",123.8
"03057","zcta",2019,"housing_score",124.09
"03060","zcta",2019,"housing_score",123.01
"03062","zcta",2019,"housing_score",128.44
"03063","zcta",2019,"housing_score",126.9
"03064","zcta",2019,"housing_score",121.27
"03070","zcta",2019,"housing_score",124.03
"03071","zcta",2019,"housing_score",116.38
"03076","zcta",2019,"housing_score",126.16
"03077","zcta",2019,"housing_score",121.79
"03079","zcta",2019,"housing_score",127.02
"03082","zcta",2019,"housing_score",114.37
"03084","zcta",2019,"housing_score",109.84
"03086","zcta",2019,"housing_score",116.23
"03087","zcta",2019,"housing_score",137.29
"03101","zcta",2019,"housing_score",120.49
"03102","zcta",2019,"housing_score",123.95
"03103","zcta",2019,"housing_score",122.76
"03104","zcta",2019,"housing_score",123.76
"03106","zcta",2019,"housing_score",124.24
"03109","zcta",2019,"housing_score",123.29
"03110","zcta",2019,"housing_score",137.89
"03215","zcta",2019,"housing_score",50.17
"03216","zcta",2019,"housing_score",112.1
"03217","zcta",2019,"housing_score",107.02
"03218","zcta",2019,"housing_score",108.13
"03220","zcta",2019,"housing_score",104.58
"03221","zcta",2019,"housing_score",104.88
"03222","zcta",2019,"housing_score",94.13
"03223","zcta",2019,"housing_score",98.59
"03224","zcta",2019,"housing_score",108.67
"03225","zcta",2019,"housing_score",105.64
"03226","zcta",2019,"housing_score",93.64
"03227","zcta",2019,"housing_score",98.31
"03229","zcta",2019,"housing_score",116.36
"03230","zcta",2019,"housing_score",94.13
"03231","zcta",2019,"housing_score",106.84
"03233","zcta",2019,"housing_score",103.05
"03234","zcta",2019,"housing_score",109.39
"03235","zcta",2019,"housing_score",108.7
"03237","zcta",2019,"housing_score",110.32
"03238","zcta",2019,"housing_score",90.69
"03240","zcta",2019,"housing_score",85.68
"03241","zcta",2019,"housing_score",74.91
"03242","zcta",2019,"housing_score",109.17
"03243","zcta",2019,"housing_score",103.72
"03244","zcta",2019,"housing_score",106.71
"03245","zcta",2019,"housing_score",88.19
"03246","zcta",2019,"housing_score",109.93
"03249","zcta",2019,"housing_score",105.65
"03251","zcta",2019,"housing_score",70.22
"03253","zcta",2019,"housing_score",94.91
"03254","zcta",2019,"housing_score",95.31
"03255","zcta",2019,"housing_score",98.37
"03256","zcta",2019,"housing_score",101.66
"03257","zcta",2019,"housing_score",111.65
"03258","zcta",2019,"housing_score",117.13
"03259","zcta",2019,"housing_score",77.79
"03260","zcta",2019,"housing_score",115.05
"03261","zcta",2019,"housing_score",113.88
"03262","zcta",2019,"housing_score",77.29
"03263","zcta",2019,"housing_score",113.83
"03264","zcta",2019,"housing_score",110.33
"03266","zcta",2019,"housing_score",91.6
"03268","zcta",2019,"housing_score",113.86
"03269","zcta",2019,"housing_score",110.71
"03273","zcta",2019,"housing_score",97.49
"03275","zcta",2019,"housing_score",114.56
"03276","zcta",2019,"housing_score",108.21
"03278","zcta",2019,"housing_score",110.11
"03279","zcta",2019,"housing_score",83.11
"03280","zcta",2019,"housing_score",88.35
"03281","zcta",2019,"housing_score",117.64
"03282","zcta",2019,"housing_score",92.81
"03284","zcta",2019,"housing_score",88.68
"03285","zcta",2019,"housing_score",93.59
"03287","zcta",2019,"housing_score",114.72
"03290","zcta",2019,"housing_score",117.18
"03291","zcta",2019,"housing_score",99.61
"03293","zcta",2019,"housing_score",80.2
"03301","zcta",2019,"housing_score",125.55
"03303","zcta",2019,"housing_score",117.22
"03304","zcta",2019,"housing_score",125.56
"03307","zcta",2019,"housing_score",107.81
"03431","zcta",2019,"housing_score",115.71
"03440","zcta",2019,"housing_score",107.27
"03441","zcta",2019,"housing_score",108.14
"03442","zcta",2019,"housing_score",112.48
"03443","zcta",2019,"housing_score",107.11
"03444","zcta",2019,"housing_score",99.04
"03445","zcta",2019,"housing_score",104.7
"03446","zcta",2019,"housing_score",107.66
"03447","zcta",2019,"housing_score",102.12
"03448","zcta",2019,"housing_score",104.83
"03449","zcta",2019,"housing_score",109.38
"03450","zcta",2019,"housing_score",92.46
"03451","zcta",2019,"housing_score",101.97
"03452","zcta",2019,"housing_score",107.77
"03455","zcta",2019,"housing_score",110.19
"03456","zcta",2019,"housing_score",89.3
"03457","zcta",2019,"housing_score",90.42
"03458","zcta",2019,"housing_score",109.24
"03461","zcta",2019,"housing_score",114.05
"03462","zcta",2019,"housing_score",111.79
"03464","zcta",2019,"housing_score",95.77
"03465","zcta",2019,"housing_score",104.1
"03466","zcta",2019,"housing_score",107.94
"03467","zcta",2019,"housing_score",103.65
"03470","zcta",2019,"housing_score",104.34
"03561","zcta",2019,"housing_score",99.02
"03570","zcta",2019,"housing_score",96.95
"03574","zcta",2019,"housing_score",101.03
"03575","zcta",2019,"housing_score",NA
"03576","zcta",2019,"housing_score",76.94
"03580","zcta",2019,"housing_score",98.03
"03581","zcta",2019,"housing_score",93.87
"03582","zcta",2019,"housing_score",85.8
"03583","zcta",2019,"housing_score",84.76
"03584","zcta",2019,"housing_score",98.49
"03585","zcta",2019,"housing_score",93.15
"03586","zcta",2019,"housing_score",101.57
"03588","zcta",2019,"housing_score",87.37
"03590","zcta",2019,"housing_score",61.09
"03592","zcta",2019,"housing_score",57.67
"03593","zcta",2019,"housing_score",88.21
"03595","zcta",2019,"housing_score",93.8
"03597","zcta",2019,"housing_score",45.47
"03598","zcta",2019,"housing_score",89.35
"03601","zcta",2019,"housing_score",84.38
"03602","zcta",2019,"housing_score",98.33
"03603","zcta",2019,"housing_score",96.72
"03604","zcta",2019,"housing_score",116.94
"03605","zcta",2019,"housing_score",80.22
"03607","zcta",2019,"housing_score",89.85
"03608","zcta",2019,"housing_score",101.46
"03609","zcta",2019,"housing_score",103.39
"03740","zcta",2019,"housing_score",90.78
"03741","zcta",2019,"housing_score",101.3
"03743","zcta",2019,"housing_score",109.48
"03745","zcta",2019,"housing_score",98.96
"03746","zcta",2019,"housing_score",90.23
"03748","zcta",2019,"housing_score",113.94
"03750","zcta",2019,"housing_score",123.43
"03751","zcta",2019,"housing_score",95.94
"03752","zcta",2019,"housing_score",100.43
"03753","zcta",2019,"housing_score",110.87
"03754","zcta",2019,"housing_score",NA
