"geoid","geolevel","year","level","value"
"07001","zcta",2019,"housing_score",124.37
"07002","zcta",2019,"housing_score",130.09
"07003","zcta",2019,"housing_score",136.58
"07004","zcta",2019,"housing_score",132.47
"07005","zcta",2019,"housing_score",133.35
"07006","zcta",2019,"housing_score",140.51
"07008","zcta",2019,"housing_score",126.93
"07009","zcta",2019,"housing_score",135.51
"07010","zcta",2019,"housing_score",124.07
"07011","zcta",2019,"housing_score",130.41
"07012","zcta",2019,"housing_score",130.33
"07013","zcta",2019,"housing_score",127.58
"07014","zcta",2019,"housing_score",127.49
"07016","zcta",2019,"housing_score",138.49
"07017","zcta",2019,"housing_score",128.12
"07018","zcta",2019,"housing_score",120.7
"07020","zcta",2019,"housing_score",137.35
"07021","zcta",2019,"housing_score",141.2
"07022","zcta",2019,"housing_score",133.39
"07023","zcta",2019,"housing_score",147.45
"07024","zcta",2019,"housing_score",117.39
"07026","zcta",2019,"housing_score",126.79
"07027","zcta",2019,"housing_score",129.31
"07028","zcta",2019,"housing_score",140.22
"07029","zcta",2019,"housing_score",125.96
"07030","zcta",2019,"housing_score",150.13
"07031","zcta",2019,"housing_score",129.6
"07032","zcta",2019,"housing_score",128.14
"07033","zcta",2019,"housing_score",124.66
"07034","zcta",2019,"housing_score",124.43
"07035","zcta",2019,"housing_score",129.55
"07036","zcta",2019,"housing_score",128.39
"07039","zcta",2019,"housing_score",149.44
"07040","zcta",2019,"housing_score",142.09
"07041","zcta",2019,"housing_score",138.6
"07042","zcta",2019,"housing_score",137.86
"07043","zcta",2019,"housing_score",146.12
"07044","zcta",2019,"housing_score",135.05
"07045","zcta",2019,"housing_score",142.19
"07046","zcta",2019,"housing_score",140.33
"07047","zcta",2019,"housing_score",130.04
"07050","zcta",2019,"housing_score",124.82
"07052","zcta",2019,"housing_score",137.22
"07054","zcta",2019,"housing_score",132.66
"07055","zcta",2019,"housing_score",128.2
"07057","zcta",2019,"housing_score",119.04
"07058","zcta",2019,"housing_score",138.51
"07059","zcta",2019,"housing_score",136.01
"07060","zcta",2019,"housing_score",131.95
"07062","zcta",2019,"housing_score",126.35
"07063","zcta",2019,"housing_score",129.78
"07064","zcta",2019,"housing_score",127.25
"07065","zcta",2019,"housing_score",130.51
"07066","zcta",2019,"housing_score",130.25
"07067","zcta",2019,"housing_score",134.57
"07068","zcta",2019,"housing_score",136.05
"07069","zcta",2019,"housing_score",134.91
"07070","zcta",2019,"housing_score",131.23
"07071","zcta",2019,"housing_score",127.09
"07072","zcta",2019,"housing_score",121.41
"07073","zcta",2019,"housing_score",116.52
"07074","zcta",2019,"housing_score",116.66
"07075","zcta",2019,"housing_score",135.07
"07076","zcta",2019,"housing_score",139.07
"07077","zcta",2019,"housing_score",120.25
"07078","zcta",2019,"housing_score",160.34
"07079","zcta",2019,"housing_score",142.2
"07080","zcta",2019,"housing_score",130.4
"07081","zcta",2019,"housing_score",132.7
"07082","zcta",2019,"housing_score",137.5
"07083","zcta",2019,"housing_score",136.93
"07086","zcta",2019,"housing_score",132.12
"07087","zcta",2019,"housing_score",126.98
"07088","zcta",2019,"housing_score",121.53
"07090","zcta",2019,"housing_score",144.87
"07092","zcta",2019,"housing_score",130.49
"07093","zcta",2019,"housing_score",122.22
"07094","zcta",2019,"housing_score",128.33
"07095","zcta",2019,"housing_score",126.56
"07102","zcta",2019,"housing_score",123.28
"07103","zcta",2019,"housing_score",122.74
"07104","zcta",2019,"housing_score",124.9
"07105","zcta",2019,"housing_score",122.12
"07106","zcta",2019,"housing_score",122.19
"07107","zcta",2019,"housing_score",123.42
"07108","zcta",2019,"housing_score",116.96
"07109","zcta",2019,"housing_score",130.78
"07110","zcta",2019,"housing_score",135.64
"07111","zcta",2019,"housing_score",123.88
"07112","zcta",2019,"housing_score",117.04
"07114","zcta",2019,"housing_score",NA
"07201","zcta",2019,"housing_score",117.51
"07202","zcta",2019,"housing_score",125.03
"07203","zcta",2019,"housing_score",127.34
"07204","zcta",2019,"housing_score",126.87
"07205","zcta",2019,"housing_score",130.28
"07206","zcta",2019,"housing_score",123
"07208","zcta",2019,"housing_score",127.92
"07302","zcta",2019,"housing_score",147.03
"07304","zcta",2019,"housing_score",125.68
"07305","zcta",2019,"housing_score",125.92
"07306","zcta",2019,"housing_score",124.64
"07307","zcta",2019,"housing_score",127.6
"07310","zcta",2019,"housing_score",150.43
"07311","zcta",2019,"housing_score",NA
"07401","zcta",2019,"housing_score",138.05
"07403","zcta",2019,"housing_score",133.73
"07405","zcta",2019,"housing_score",136.21
"07407","zcta",2019,"housing_score",131.36
"07410","zcta",2019,"housing_score",138.59
"07416","zcta",2019,"housing_score",118.04
"07417","zcta",2019,"housing_score",149.86
"07418","zcta",2019,"housing_score",128.07
"07419","zcta",2019,"housing_score",124.6
"07420","zcta",2019,"housing_score",129.75
"07421","zcta",2019,"housing_score",123.07
"07422","zcta",2019,"housing_score",121.39
"07423","zcta",2019,"housing_score",138.98
"07424","zcta",2019,"housing_score",131.29
"07430","zcta",2019,"housing_score",136.57
"07432","zcta",2019,"housing_score",133.95
"07435","zcta",2019,"housing_score",125.16
"07436","zcta",2019,"housing_score",135.69
"07438","zcta",2019,"housing_score",127.46
"07439","zcta",2019,"housing_score",120.51
"07440","zcta",2019,"housing_score",131.31
"07442","zcta",2019,"housing_score",131.49
"07444","zcta",2019,"housing_score",127.63
"07446","zcta",2019,"housing_score",138.71
"07450","zcta",2019,"housing_score",148.33
"07452","zcta",2019,"housing_score",139.28
"07456","zcta",2019,"housing_score",131.32
"07457","zcta",2019,"housing_score",127.7
"07458","zcta",2019,"housing_score",150.19
"07460","zcta",2019,"housing_score",115.06
"07461","zcta",2019,"housing_score",119.28
"07462","zcta",2019,"housing_score",120.15
"07463","zcta",2019,"housing_score",138.74
"07465","zcta",2019,"housing_score",125.71
"07470","zcta",2019,"housing_score",143.65
"07480","zcta",2019,"housing_score",126.21
"07481","zcta",2019,"housing_score",135.9
"07495","zcta",2019,"housing_score",NA
"07501","zcta",2019,"housing_score",126.28
"07502","zcta",2019,"housing_score",125.51
"07503","zcta",2019,"housing_score",127.39
"07504","zcta",2019,"housing_score",132.01
"07505","zcta",2019,"housing_score",105.94
"07506","zcta",2019,"housing_score",133.63
"07508","zcta",2019,"housing_score",131.44
"07512","zcta",2019,"housing_score",126.42
"07513","zcta",2019,"housing_score",134.18
"07514","zcta",2019,"housing_score",118.11
"07522","zcta",2019,"housing_score",126.85
"07524","zcta",2019,"housing_score",129.57
"07601","zcta",2019,"housing_score",129.81
"07603","zcta",2019,"housing_score",131.9
"07604","zcta",2019,"housing_score",125.94
"07605","zcta",2019,"housing_score",132.89
"07606","zcta",2019,"housing_score",127.79
"07607","zcta",2019,"housing_score",130.82
"07608","zcta",2019,"housing_score",NA
"07620","zcta",2019,"housing_score",147.37
"07621","zcta",2019,"housing_score",135.62
"07624","zcta",2019,"housing_score",139.93
"07626","zcta",2019,"housing_score",148.5
"07627","zcta",2019,"housing_score",142.12
"07628","zcta",2019,"housing_score",129.56
"07630","zcta",2019,"housing_score",135.92
"07631","zcta",2019,"housing_score",131.89
"07632","zcta",2019,"housing_score",144.71
"07640","zcta",2019,"housing_score",140.8
"07641","zcta",2019,"housing_score",152.15
"07642","zcta",2019,"housing_score",135.22
"07643","zcta",2019,"housing_score",124.54
"07644","zcta",2019,"housing_score",131.01
"07645","zcta",2019,"housing_score",136.68
"07646","zcta",2019,"housing_score",131.53
"07647","zcta",2019,"housing_score",133.95
"07648","zcta",2019,"housing_score",135.79
"07649","zcta",2019,"housing_score",135.34
"07650","zcta",2019,"housing_score",129.06
"07652","zcta",2019,"housing_score",135.51
"07656","zcta",2019,"housing_score",130.15
"07657","zcta",2019,"housing_score",132.42
"07660","zcta",2019,"housing_score",130.68
"07661","zcta",2019,"housing_score",139.09
"07662","zcta",2019,"housing_score",128.34
"07663","zcta",2019,"housing_score",129.97
"07666","zcta",2019,"housing_score",138.95
"07670","zcta",2019,"housing_score",143.44
"07675","zcta",2019,"housing_score",140.73
"07676","zcta",2019,"housing_score",129.16
