"geoid","geolevel","year","level","value"
"98001","zcta",2019,"housing_score",129.69
"98002","zcta",2019,"housing_score",116.17
"98003","zcta",2019,"housing_score",124.04
"98004","zcta",2019,"housing_score",144.9
"98005","zcta",2019,"housing_score",135.23
"98006","zcta",2019,"housing_score",145.15
"98007","zcta",2019,"housing_score",130.76
"98008","zcta",2019,"housing_score",135.13
"98010","zcta",2019,"housing_score",126.76
"98011","zcta",2019,"housing_score",137.48
"98012","zcta",2019,"housing_score",143.04
"98014","zcta",2019,"housing_score",128.09
"98019","zcta",2019,"housing_score",136.23
"98020","zcta",2019,"housing_score",125.79
"98021","zcta",2019,"housing_score",137.45
"98022","zcta",2019,"housing_score",118.25
"98023","zcta",2019,"housing_score",132.02
"98024","zcta",2019,"housing_score",135.29
"98026","zcta",2019,"housing_score",131.43
"98027","zcta",2019,"housing_score",137.94
"98028","zcta",2019,"housing_score",133.14
"98029","zcta",2019,"housing_score",143.49
"98030","zcta",2019,"housing_score",129.29
"98031","zcta",2019,"housing_score",128.9
"98032","zcta",2019,"housing_score",124.52
"98033","zcta",2019,"housing_score",143.14
"98034","zcta",2019,"housing_score",138.63
"98036","zcta",2019,"housing_score",132.42
"98037","zcta",2019,"housing_score",126.58
"98038","zcta",2019,"housing_score",138.47
"98039","zcta",2019,"housing_score",157.29
"98040","zcta",2019,"housing_score",149.83
"98042","zcta",2019,"housing_score",135.29
"98043","zcta",2019,"housing_score",127.14
"98045","zcta",2019,"housing_score",127.96
"98047","zcta",2019,"housing_score",122.04
"98050","zcta",2019,"housing_score",118.09
"98051","zcta",2019,"housing_score",128.23
"98052","zcta",2019,"housing_score",145.82
"98053","zcta",2019,"housing_score",140.73
"98055","zcta",2019,"housing_score",126.72
"98056","zcta",2019,"housing_score",134.07
"98057","zcta",2019,"housing_score",124.27
"98058","zcta",2019,"housing_score",133.85
"98059","zcta",2019,"housing_score",138.82
"98065","zcta",2019,"housing_score",142.89
"98068","zcta",2019,"housing_score",91.05
"98070","zcta",2019,"housing_score",111.45
"98072","zcta",2019,"housing_score",140.07
"98074","zcta",2019,"housing_score",148.68
"98075","zcta",2019,"housing_score",152.91
"98077","zcta",2019,"housing_score",146.82
"98087","zcta",2019,"housing_score",133.67
"98092","zcta",2019,"housing_score",132.73
"98101","zcta",2019,"housing_score",118.12
"98102","zcta",2019,"housing_score",131.26
"98103","zcta",2019,"housing_score",142.35
"98104","zcta",2019,"housing_score",109.34
"98105","zcta",2019,"housing_score",135
"98106","zcta",2019,"housing_score",128.72
"98107","zcta",2019,"housing_score",137.41
"98108","zcta",2019,"housing_score",120.92
"98109","zcta",2019,"housing_score",129.86
"98110","zcta",2019,"housing_score",133.15
"98112","zcta",2019,"housing_score",140.16
"98115","zcta",2019,"housing_score",142.43
"98116","zcta",2019,"housing_score",138.67
"98117","zcta",2019,"housing_score",142.01
"98118","zcta",2019,"housing_score",131.62
"98119","zcta",2019,"housing_score",135.21
"98121","zcta",2019,"housing_score",125.42
"98122","zcta",2019,"housing_score",134.38
"98125","zcta",2019,"housing_score",130.35
"98126","zcta",2019,"housing_score",129.37
"98133","zcta",2019,"housing_score",131.53
"98134","zcta",2019,"housing_score",NA
"98136","zcta",2019,"housing_score",134.4
"98144","zcta",2019,"housing_score",131.22
"98146","zcta",2019,"housing_score",126.05
"98148","zcta",2019,"housing_score",122.04
"98154","zcta",2019,"housing_score",NA
"98155","zcta",2019,"housing_score",135.11
"98158","zcta",2019,"housing_score",NA
"98164","zcta",2019,"housing_score",109.63
"98166","zcta",2019,"housing_score",128.17
"98168","zcta",2019,"housing_score",123.33
"98174","zcta",2019,"housing_score",NA
"98177","zcta",2019,"housing_score",134.95
"98178","zcta",2019,"housing_score",127.22
"98188","zcta",2019,"housing_score",118.46
"98195","zcta",2019,"housing_score",NA
"98198","zcta",2019,"housing_score",125.37
"98199","zcta",2019,"housing_score",140.18
"98201","zcta",2019,"housing_score",122.47
"98203","zcta",2019,"housing_score",127.57
"98204","zcta",2019,"housing_score",121.96
"98205","zcta",2019,"housing_score",129.72
"98207","zcta",2019,"housing_score",NA
"98208","zcta",2019,"housing_score",136.46
"98220","zcta",2019,"housing_score",110.02
"98221","zcta",2019,"housing_score",114.64
"98222","zcta",2019,"housing_score",NA
"98223","zcta",2019,"housing_score",125.95
"98224","zcta",2019,"housing_score",77.88
"98225","zcta",2019,"housing_score",120.64
"98226","zcta",2019,"housing_score",122
"98229","zcta",2019,"housing_score",122.69
"98230","zcta",2019,"housing_score",113.15
"98232","zcta",2019,"housing_score",114.22
"98233","zcta",2019,"housing_score",118.89
"98235","zcta",2019,"housing_score",NA
"98236","zcta",2019,"housing_score",106.07
"98237","zcta",2019,"housing_score",100.35
"98238","zcta",2019,"housing_score",NA
"98239","zcta",2019,"housing_score",108.76
"98240","zcta",2019,"housing_score",113.8
"98241","zcta",2019,"housing_score",95.37
"98243","zcta",2019,"housing_score",99.17
"98244","zcta",2019,"housing_score",99.19
"98245","zcta",2019,"housing_score",99.35
"98247","zcta",2019,"housing_score",115.48
"98248","zcta",2019,"housing_score",120.63
"98249","zcta",2019,"housing_score",104.03
"98250","zcta",2019,"housing_score",100.53
"98251","zcta",2019,"housing_score",105.71
"98252","zcta",2019,"housing_score",116.75
"98253","zcta",2019,"housing_score",97.07
"98255","zcta",2019,"housing_score",92.53
"98256","zcta",2019,"housing_score",74.82
