"geoid","geolevel","year","state","level","value"
9110,"county",2023,"CT","housing_score",135.6
9110,"county",2023,"CT","housing_score",135.6
9120,"county",2023,"CT","housing_score",137.29
9120,"county",2023,"CT","housing_score",137.29
9130,"county",2023,"CT","housing_score",127.3
9130,"county",2023,"CT","housing_score",127.3
9140,"county",2023,"CT","housing_score",129.92
9140,"county",2023,"CT","housing_score",129.92
9150,"county",2023,"CT","housing_score",122.47
9150,"county",2023,"CT","housing_score",122.47
9160,"county",2023,"CT","housing_score",119.74
9160,"county",2023,"CT","housing_score",119.74
9170,"county",2023,"CT","housing_score",133.67
9170,"county",2023,"CT","housing_score",133.67
9180,"county",2023,"CT","housing_score",124.34
9180,"county",2023,"CT","housing_score",124.34
9190,"county",2023,"CT","housing_score",151.36
9190,"county",2023,"CT","housing_score",151.36
9110,"county",2023,"CT","housing_rnk",95.3923
9110,"county",2023,"CT","housing_rnk",95.3923
9120,"county",2023,"CT","housing_rnk",96.0149
9120,"county",2023,"CT","housing_rnk",96.0149
9130,"county",2023,"CT","housing_rnk",91.6563
9130,"county",2023,"CT","housing_rnk",91.6563
9140,"county",2023,"CT","housing_rnk",93.0573
9140,"county",2023,"CT","housing_rnk",93.0573
9150,"county",2023,"CT","housing_rnk",87.3599
9150,"county",2023,"CT","housing_rnk",87.3599
9160,"county",2023,"CT","housing_rnk",84.9626
9160,"county",2023,"CT","housing_rnk",84.9626
9170,"county",2023,"CT","housing_rnk",94.8319
9170,"county",2023,"CT","housing_rnk",94.8319
9180,"county",2023,"CT","housing_rnk",89.2902
9180,"county",2023,"CT","housing_rnk",89.2902
9190,"county",2023,"CT","housing_rnk",99.2839
9190,"county",2023,"CT","housing_rnk",99.2839
9110,"county",2023,"CT","housing_state_rnk",75
9110,"county",2023,"CT","housing_state_rnk",50.1581
9120,"county",2023,"CT","housing_state_rnk",87.5
9120,"county",2023,"CT","housing_state_rnk",55.5028
9130,"county",2023,"CT","housing_state_rnk",37.5
9130,"county",2023,"CT","housing_state_rnk",23.9089
9140,"county",2023,"CT","housing_state_rnk",50
9140,"county",2023,"CT","housing_state_rnk",32.1948
9150,"county",2023,"CT","housing_state_rnk",12.5
9150,"county",2023,"CT","housing_state_rnk",8.6338
9160,"county",2023,"CT","housing_state_rnk",0
9160,"county",2023,"CT","housing_state_rnk",0
9170,"county",2023,"CT","housing_state_rnk",44.0544
9170,"county",2023,"CT","housing_state_rnk",62.5
9180,"county",2023,"CT","housing_state_rnk",25
9180,"county",2023,"CT","housing_state_rnk",14.5478
9190,"county",2023,"CT","housing_state_rnk",100
9190,"county",2023,"CT","housing_state_rnk",100
