"geoid","geolevel","year","level","value"
"19001","county",2023,"housing_score",99.45
"19003","county",2023,"housing_score",86.68
"19005","county",2023,"housing_score",94.58
"19007","county",2023,"housing_score",86.74
"19009","county",2023,"housing_score",88.72
"19011","county",2023,"housing_score",112.64
"19013","county",2023,"housing_score",115.79
"19015","county",2023,"housing_score",110.86
"19017","county",2023,"housing_score",111.73
"19019","county",2023,"housing_score",105.95
"19021","county",2023,"housing_score",106.7
"19023","county",2023,"housing_score",108.49
"19025","county",2023,"housing_score",89.52
"19027","county",2023,"housing_score",104.62
"19029","county",2023,"housing_score",97.61
"19031","county",2023,"housing_score",109.37
"19033","county",2023,"housing_score",104.67
"19035","county",2023,"housing_score",101.47
"19037","county",2023,"housing_score",99.18
"19039","county",2023,"housing_score",106.37
"19041","county",2023,"housing_score",100.82
"19043","county",2023,"housing_score",94.4
"19045","county",2023,"housing_score",106.29
"19047","county",2023,"housing_score",101.68
"19049","county",2023,"housing_score",132.38
"19051","county",2023,"housing_score",102.93
"19053","county",2023,"housing_score",89.6
"19055","county",2023,"housing_score",102.69
"19057","county",2023,"housing_score",105.91
"19059","county",2023,"housing_score",96.23
"19061","county",2023,"housing_score",116.51
"19063","county",2023,"housing_score",97.36
"19065","county",2023,"housing_score",100.67
"19067","county",2023,"housing_score",104.35
"19069","county",2023,"housing_score",97.33
"19071","county",2023,"housing_score",96.08
"19073","county",2023,"housing_score",104.56
"19075","county",2023,"housing_score",109.59
"19077","county",2023,"housing_score",103.05
"19079","county",2023,"housing_score",101.17
"19081","county",2023,"housing_score",102.18
"19083","county",2023,"housing_score",97.4
"19085","county",2023,"housing_score",108.36
"19087","county",2023,"housing_score",105.46
"19089","county",2023,"housing_score",92.28
"19091","county",2023,"housing_score",99.17
"19093","county",2023,"housing_score",96.67
"19095","county",2023,"housing_score",111.49
"19097","county",2023,"housing_score",103.5
"19099","county",2023,"housing_score",113.15
"19101","county",2023,"housing_score",101.75
"19103","county",2023,"housing_score",126.85
"19105","county",2023,"housing_score",105.96
"19107","county",2023,"housing_score",96.65
"19109","county",2023,"housing_score",98.1
"19111","county",2023,"housing_score",102.48
"19113","county",2023,"housing_score",120.56
"19115","county",2023,"housing_score",101.45
"19117","county",2023,"housing_score",94.77
"19119","county",2023,"housing_score",112.66
"19121","county",2023,"housing_score",119.7
"19123","county",2023,"housing_score",105.54
"19125","county",2023,"housing_score",113.68
"19127","county",2023,"housing_score",109.36
"19129","county",2023,"housing_score",113.89
"19131","county",2023,"housing_score",102.57
"19133","county",2023,"housing_score",96.54
"19135","county",2023,"housing_score",90.4
"19137","county",2023,"housing_score",97
"19139","county",2023,"housing_score",111.51
"19141","county",2023,"housing_score",102.41
"19143","county",2023,"housing_score",93.24
"19145","county",2023,"housing_score",94.78
"19147","county",2023,"housing_score",96.28
"19149","county",2023,"housing_score",111.43
"19151","county",2023,"housing_score",91.05
"19153","county",2023,"housing_score",129.71
"19155","county",2023,"housing_score",115.16
"19157","county",2023,"housing_score",106.25
"19159","county",2023,"housing_score",94.95
"19161","county",2023,"housing_score",89.04
"19163","county",2023,"housing_score",120.69
"19165","county",2023,"housing_score",108.25
"19167","county",2023,"housing_score",115.19
"19169","county",2023,"housing_score",120.05
"19171","county",2023,"housing_score",104.56
"19173","county",2023,"housing_score",91.9
"19175","county",2023,"housing_score",93.51
"19177","county",2023,"housing_score",89.39
"19179","county",2023,"housing_score",99.96
"19181","county",2023,"housing_score",120.94
"19183","county",2023,"housing_score",112.12
"19185","county",2023,"housing_score",87.82
"19187","county",2023,"housing_score",103.76
"19189","county",2023,"housing_score",98.77
"19191","county",2023,"housing_score",111.45
"19193","county",2023,"housing_score",115.9
"19195","county",2023,"housing_score",99.74
"19197","county",2023,"housing_score",97.66
"19001","county",2023,"housing_rnk",49.9689
"19003","county",2023,"housing_rnk",24.0971
"19005","county",2023,"housing_rnk",38.8854
"19007","county",2023,"housing_rnk",24.2217
"19009","county",2023,"housing_rnk",27.5841
"19011","county",2023,"housing_rnk",75.1868
"19013","county",2023,"housing_rnk",80.0125
"19015","county",2023,"housing_rnk",72.4159
"19017","county",2023,"housing_rnk",73.8792
"19019","county",2023,"housing_rnk",63.3562
"19021","county",2023,"housing_rnk",64.8506
"19023","county",2023,"housing_rnk",68.0262
"19025","county",2023,"housing_rnk",29.2341
"19027","county",2023,"housing_rnk",60.9278
"19029","county",2023,"housing_rnk",45.9527
"19031","county",2023,"housing_rnk",69.6762
"19033","county",2023,"housing_rnk",60.99
"19035","county",2023,"housing_rnk",54.3898
"19037","county",2023,"housing_rnk",49.3151
"19039","county",2023,"housing_rnk",64.259
"19041","county",2023,"housing_rnk",52.7086
"19043","county",2023,"housing_rnk",38.6364
"19045","county",2023,"housing_rnk",64.01
"19047","county",2023,"housing_rnk",54.7634
"19049","county",2023,"housing_rnk",94.1158
"19051","county",2023,"housing_rnk",57.1918
"19053","county",2023,"housing_rnk",29.4209
"19055","county",2023,"housing_rnk",56.6002
"19057","county",2023,"housing_rnk",63.2628
"19059","county",2023,"housing_rnk",42.8082
"19061","county",2023,"housing_rnk",80.7908
"19063","county",2023,"housing_rnk",45.4545
"19065","county",2023,"housing_rnk",52.3039
"19067","county",2023,"housing_rnk",60.3985
"19069","county",2023,"housing_rnk",45.3611
"19071","county",2023,"housing_rnk",42.6214
"19073","county",2023,"housing_rnk",60.7721
"19075","county",2023,"housing_rnk",69.9875
"19077","county",2023,"housing_rnk",57.5031
"19079","county",2023,"housing_rnk",53.4247
"19081","county",2023,"housing_rnk",55.6663
"19083","county",2023,"housing_rnk",45.5168
"19085","county",2023,"housing_rnk",67.8082
"19087","county",2023,"housing_rnk",62.142
"19089","county",2023,"housing_rnk",34.2777
"19091","county",2023,"housing_rnk",49.2528
"19093","county",2023,"housing_rnk",43.8667
"19095","county",2023,"housing_rnk",73.4745
"19097","county",2023,"housing_rnk",58.655
"19099","county",2023,"housing_rnk",76.0897
"19101","county",2023,"housing_rnk",54.8568
"19103","county",2023,"housing_rnk",91.1893
"19105","county",2023,"housing_rnk",63.3873
"19107","county",2023,"housing_rnk",43.7733
"19109","county",2023,"housing_rnk",46.7933
"19111","county",2023,"housing_rnk",56.1021
"19113","county",2023,"housing_rnk",85.6476
"19115","county",2023,"housing_rnk",54.2653
"19117","county",2023,"housing_rnk",39.4147
"19119","county",2023,"housing_rnk",75.2179
"19121","county",2023,"housing_rnk",84.9004
"19123","county",2023,"housing_rnk",62.3599
"19125","county",2023,"housing_rnk",76.868
"19127","county",2023,"housing_rnk",69.6451
"19129","county",2023,"housing_rnk",77.1793
"19131","county",2023,"housing_rnk",56.3512
"19133","county",2023,"housing_rnk",43.5243
"19135","county",2023,"housing_rnk",30.8531
"19137","county",2023,"housing_rnk",44.7696
"19139","county",2023,"housing_rnk",73.5679
"19141","county",2023,"housing_rnk",56.0087
"19143","county",2023,"housing_rnk",36.675
"19145","county",2023,"housing_rnk",39.477
"19147","county",2023,"housing_rnk",42.995
"19149","county",2023,"housing_rnk",73.2877
"19151","county",2023,"housing_rnk",32.1295
