"geoid","geolevel","year","level","value"
"21001","county",2023,"housing_score",89.89
"21003","county",2023,"housing_score",94.83
"21005","county",2023,"housing_score",110.64
"21007","county",2023,"housing_score",92.76
"21009","county",2023,"housing_score",105.06
"21011","county",2023,"housing_score",101.56
"21013","county",2023,"housing_score",79.51
"21015","county",2023,"housing_score",127.85
"21017","county",2023,"housing_score",111.49
"21019","county",2023,"housing_score",104.91
"21021","county",2023,"housing_score",108.92
"21023","county",2023,"housing_score",102.94
"21025","county",2023,"housing_score",74.87
"21027","county",2023,"housing_score",84.55
"21029","county",2023,"housing_score",117.66
"21031","county",2023,"housing_score",93.23
"21033","county",2023,"housing_score",95.94
"21035","county",2023,"housing_score",100.27
"21037","county",2023,"housing_score",120.34
"21039","county",2023,"housing_score",92.8
"21041","county",2023,"housing_score",92.54
"21043","county",2023,"housing_score",87.44
"21045","county",2023,"housing_score",83.83
"21047","county",2023,"housing_score",107.32
"21049","county",2023,"housing_score",113.81
"21051","county",2023,"housing_score",76.45
"21053","county",2023,"housing_score",83.07
"21055","county",2023,"housing_score",76.67
"21057","county",2023,"housing_score",78.39
"21059","county",2023,"housing_score",111.97
"21061","county",2023,"housing_score",85.88
"21063","county",2023,"housing_score",77.63
"21065","county",2023,"housing_score",84.35
"21067","county",2023,"housing_score",125.11
"21069","county",2023,"housing_score",93.47
"21071","county",2023,"housing_score",81.26
"21073","county",2023,"housing_score",114.06
"21075","county",2023,"housing_score",79.3
"21077","county",2023,"housing_score",98.92
"21079","county",2023,"housing_score",108.15
"21081","county",2023,"housing_score",102.3
"21083","county",2023,"housing_score",98.34
"21085","county",2023,"housing_score",89.97
"21087","county",2023,"housing_score",75.93
"21089","county",2023,"housing_score",98.14
"21091","county",2023,"housing_score",98.76
"21093","county",2023,"housing_score",114.64
"21095","county",2023,"housing_score",78.3
"21097","county",2023,"housing_score",106.72
"21099","county",2023,"housing_score",93.11
"21101","county",2023,"housing_score",106.97
"21103","county",2023,"housing_score",110.13
"21105","county",2023,"housing_score",84.18
"21107","county",2023,"housing_score",98.41
"21109","county",2023,"housing_score",84.68
"21111","county",2023,"housing_score",122.75
