"geoid","geolevel","year","state","level","value"
22001,"county",2023,"LA","housing_score",91.54
22001,"county",2023,"LA","housing_score",91.54
22003,"county",2023,"LA","housing_score",77.01
22003,"county",2023,"LA","housing_score",77.01
22005,"county",2023,"LA","housing_score",119.34
22005,"county",2023,"LA","housing_score",119.34
22007,"county",2023,"LA","housing_score",87.33
22007,"county",2023,"LA","housing_score",87.33
22009,"county",2023,"LA","housing_score",83.9
22009,"county",2023,"LA","housing_score",83.9
22011,"county",2023,"LA","housing_score",91.45
22011,"county",2023,"LA","housing_score",91.45
22013,"county",2023,"LA","housing_score",76.54
22013,"county",2023,"LA","housing_score",76.54
22015,"county",2023,"LA","housing_score",116.42
22015,"county",2023,"LA","housing_score",116.42
22017,"county",2023,"LA","housing_score",103.9
22017,"county",2023,"LA","housing_score",103.9
22019,"county",2023,"LA","housing_score",104.57
22019,"county",2023,"LA","housing_score",104.57
22021,"county",2023,"LA","housing_score",87.97
22021,"county",2023,"LA","housing_score",87.97
22023,"county",2023,"LA","housing_score",73.41
22023,"county",2023,"LA","housing_score",73.41
22025,"county",2023,"LA","housing_score",67.49
22025,"county",2023,"LA","housing_score",67.49
22027,"county",2023,"LA","housing_score",69.42
22027,"county",2023,"LA","housing_score",69.42
22029,"county",2023,"LA","housing_score",78.68
22029,"county",2023,"LA","housing_score",78.68
22031,"county",2023,"LA","housing_score",93.61
22031,"county",2023,"LA","housing_score",93.61
22033,"county",2023,"LA","housing_score",114.37
22033,"county",2023,"LA","housing_score",114.37
22035,"county",2023,"LA","housing_score",75.1
22035,"county",2023,"LA","housing_score",75.1
22037,"county",2023,"LA","housing_score",86.17
22037,"county",2023,"LA","housing_score",86.17
22039,"county",2023,"LA","housing_score",84.29
22039,"county",2023,"LA","housing_score",84.29
22041,"county",2023,"LA","housing_score",88.32
22041,"county",2023,"LA","housing_score",88.32
22043,"county",2023,"LA","housing_score",89.12
22043,"county",2023,"LA","housing_score",89.12
22045,"county",2023,"LA","housing_score",96.7
22045,"county",2023,"LA","housing_score",96.7
22047,"county",2023,"LA","housing_score",98.89
22047,"county",2023,"LA","housing_score",98.89
22049,"county",2023,"LA","housing_score",83.85
22049,"county",2023,"LA","housing_score",83.85
22051,"county",2023,"LA","housing_score",113.59
22051,"county",2023,"LA","housing_score",113.59
22053,"county",2023,"LA","housing_score",90.29
22053,"county",2023,"LA","housing_score",90.29
22055,"county",2023,"LA","housing_score",114.99
22055,"county",2023,"LA","housing_score",114.99
22057,"county",2023,"LA","housing_score",103.39
22057,"county",2023,"LA","housing_score",103.39
22059,"county",2023,"LA","housing_score",86.85
22059,"county",2023,"LA","housing_score",86.85
22061,"county",2023,"LA","housing_score",100.94
22061,"county",2023,"LA","housing_score",100.94
22063,"county",2023,"LA","housing_score",108.29
22063,"county",2023,"LA","housing_score",108.29
22065,"county",2023,"LA","housing_score",76.13
22065,"county",2023,"LA","housing_score",76.13
22067,"county",2023,"LA","housing_score",84.05
22067,"county",2023,"LA","housing_score",84.05
22069,"county",2023,"LA","housing_score",89.31
22069,"county",2023,"LA","housing_score",89.31
22071,"county",2023,"LA","housing_score",110.24
22071,"county",2023,"LA","housing_score",110.24
22073,"county",2023,"LA","housing_score",103.04
22073,"county",2023,"LA","housing_score",103.04
22075,"county",2023,"LA","housing_score",112.38
22075,"county",2023,"LA","housing_score",112.38
22077,"county",2023,"LA","housing_score",87.72
22077,"county",2023,"LA","housing_score",87.72
22079,"county",2023,"LA","housing_score",97
22079,"county",2023,"LA","housing_score",97
22081,"county",2023,"LA","housing_score",92.44
22081,"county",2023,"LA","housing_score",92.44
22083,"county",2023,"LA","housing_score",88.13
22083,"county",2023,"LA","housing_score",88.13
22085,"county",2023,"LA","housing_score",76.56
22085,"county",2023,"LA","housing_score",76.56
22087,"county",2023,"LA","housing_score",104.47
22087,"county",2023,"LA","housing_score",104.47
22089,"county",2023,"LA","housing_score",115.2
