"geoid","geolevel","year","level","value"
"27001","county",2023,"housing_score",81.86
"27003","county",2023,"housing_score",132.88
"27005","county",2023,"housing_score",104.9
"27007","county",2023,"housing_score",105.62
"27009","county",2023,"housing_score",118.57
"27011","county",2023,"housing_score",87.54
"27013","county",2023,"housing_score",120.67
"27015","county",2023,"housing_score",108.08
"27017","county",2023,"housing_score",114.65
"27019","county",2023,"housing_score",138.38
"27021","county",2023,"housing_score",90.5
"27023","county",2023,"housing_score",110.9
"27025","county",2023,"housing_score",125.65
"27027","county",2023,"housing_score",123.61
"27029","county",2023,"housing_score",88.73
"27031","county",2023,"housing_score",76.06
"27033","county",2023,"housing_score",99.6
"27035","county",2023,"housing_score",105.66
"27037","county",2023,"housing_score",137.37
"27039","county",2023,"housing_score",121.33
"27041","county",2023,"housing_score",112.61
"27043","county",2023,"housing_score",98.15
"27045","county",2023,"housing_score",105.51
"27047","county",2023,"housing_score",102.7
"27049","county",2023,"housing_score",118.21
"27051","county",2023,"housing_score",100.8
"27053","county",2023,"housing_score",142.36
"27055","county",2023,"housing_score",106.63
"27057","county",2023,"housing_score",99.57
"27059","county",2023,"housing_score",122.75
"27061","county",2023,"housing_score",95.15
"27063","county",2023,"housing_score",97.51
"27065","county",2023,"housing_score",104.79
"27067","county",2023,"housing_score",111.26
"27069","county",2023,"housing_score",86.3
"27071","county",2023,"housing_score",87.04
"27073","county",2023,"housing_score",95
"27075","county",2023,"housing_score",92.95
"27077","county",2023,"housing_score",79.06
"27079","county",2023,"housing_score",118.44
"27081","county",2023,"housing_score",95.04
"27083","county",2023,"housing_score",106.67
"27085","county",2023,"housing_score",114.92
"27087","county",2023,"housing_score",87.97
"27089","county",2023,"housing_score",91
"27091","county",2023,"housing_score",102.54
"27093","county",2023,"housing_score",109.78
"27095","county",2023,"housing_score",110.56
"27097","county",2023,"housing_score",107.07
"27099","county",2023,"housing_score",110.93
"27101","county",2023,"housing_score",96.83
"27103","county",2023,"housing_score",120.81
"27105","county",2023,"housing_score",103.73
"27107","county",2023,"housing_score",91.01
"27109","county",2023,"housing_score",125.48
"27111","county",2023,"housing_score",101.85
"27113","county",2023,"housing_score",109.86
"27115","county",2023,"housing_score",96.06
"27117","county",2023,"housing_score",100.75
"27119","county",2023,"housing_score",108.11
"27121","county",2023,"housing_score",103.34
"27123","county",2023,"housing_score",129.22
"27125","county",2023,"housing_score",96.34
"27127","county",2023,"housing_score",96.91
"27129","county",2023,"housing_score",99.4
"27131","county",2023,"housing_score",120.64
"27133","county",2023,"housing_score",108.6
"27135","county",2023,"housing_score",102.21
"27137","county",2023,"housing_score",107.09
"27139","county",2023,"housing_score",138.74
"27141","county",2023,"housing_score",131.22
"27143","county",2023,"housing_score",109.5
"27145","county",2023,"housing_score",117.7
"27147","county",2023,"housing_score",118.16
"27149","county",2023,"housing_score",106
"27151","county",2023,"housing_score",100.23
"27153","county",2023,"housing_score",96.62
"27155","county",2023,"housing_score",85.39
"27157","county",2023,"housing_score",110.54
"27159","county",2023,"housing_score",103.17
