"geoid","geolevel","year","level","value"
"29001","county",2023,"housing_score",95.08
"29003","county",2023,"housing_score",100.29
"29005","county",2023,"housing_score",85.15
"29007","county",2023,"housing_score",95.33
"29009","county",2023,"housing_score",89.55
"29011","county",2023,"housing_score",91.93
"29013","county",2023,"housing_score",92.92
"29015","county",2023,"housing_score",80.64
"29017","county",2023,"housing_score",85.87
"29019","county",2023,"housing_score",121.59
"29021","county",2023,"housing_score",104.17
"29023","county",2023,"housing_score",96.95
"29025","county",2023,"housing_score",91.51
"29027","county",2023,"housing_score",107.16
"29029","county",2023,"housing_score",90.8
"29031","county",2023,"housing_score",114.25
"29033","county",2023,"housing_score",85.27
"29035","county",2023,"housing_score",80.99
"29037","county",2023,"housing_score",121.87
"29039","county",2023,"housing_score",96.08
"29041","county",2023,"housing_score",84.41
"29043","county",2023,"housing_score",119.54
"29045","county",2023,"housing_score",68.02
"29047","county",2023,"housing_score",126.61
"29049","county",2023,"housing_score",111.33
"29051","county",2023,"housing_score",112.42
"29053","county",2023,"housing_score",104.05
"29055","county",2023,"housing_score",95.84
"29057","county",2023,"housing_score",84.48
"29059","county",2023,"housing_score",98.82
"29061","county",2023,"housing_score",89.44
"29063","county",2023,"housing_score",99.05
"29065","county",2023,"housing_score",92.16
"29067","county",2023,"housing_score",93.01
"29069","county",2023,"housing_score",84.4
"29071","county",2023,"housing_score",112.12
"29073","county",2023,"housing_score",90.49
"29075","county",2023,"housing_score",86.56
"29077","county",2023,"housing_score",118.16
"29079","county",2023,"housing_score",73.31
"29081","county",2023,"housing_score",79.12
"29083","county",2023,"housing_score",96.78
"29085","county",2023,"housing_score",83.52
"29087","county",2023,"housing_score",72.18
"29089","county",2023,"housing_score",101.5
"29091","county",2023,"housing_score",92.37
"29093","county",2023,"housing_score",89.8
"29095","county",2023,"housing_score",122.99
"29097","county",2023,"housing_score",111.28
"29099","county",2023,"housing_score",118.15
"29101","county",2023,"housing_score",111.79
"29103","county",2023,"housing_score",70.65
"29105","county",2023,"housing_score",104.32
"29107","county",2023,"housing_score",105.27
"29109","county",2023,"housing_score",103.97
"29111","county",2023,"housing_score",84.01
"29113","county",2023,"housing_score",116.98
"29115","county",2023,"housing_score",78.03
"29117","county",2023,"housing_score",90.49
"29119","county",2023,"housing_score",89.36
"29121","county",2023,"housing_score",84.55
"29123","county",2023,"housing_score",89.74
"29125","county",2023,"housing_score",90.4
"29127","county",2023,"housing_score",96.7
"29129","county",2023,"housing_score",69.45
"29131","county",2023,"housing_score",98.68
"29133","county",2023,"housing_score",91.08
"29135","county",2023,"housing_score",104.95
"29137","county",2023,"housing_score",78.53
"29139","county",2023,"housing_score",89.3
"29141","county",2023,"housing_score",88.3
"29143","county",2023,"housing_score",90.16
"29145","county",2023,"housing_score",102.85
"29147","county",2023,"housing_score",98.6
"29149","county",2023,"housing_score",76.48
"29151","county",2023,"housing_score",88.42
"29153","county",2023,"housing_score",73.73
"29155","county",2023,"housing_score",87.74
"29157","county",2023,"housing_score",104.16
"29159","county",2023,"housing_score",103.21
"29161","county",2023,"housing_score",105.92
"29163","county",2023,"housing_score",89.12
"29165","county",2023,"housing_score",128.48
"29167","county",2023,"housing_score",103.95
"29169","county",2023,"housing_score",110.94
"29171","county",2023,"housing_score",82.28
"29173","county",2023,"housing_score",84.88
"29175","county",2023,"housing_score",103.51
"29177","county",2023,"housing_score",107.31
"29179","county",2023,"housing_score",73.32
"29181","county",2023,"housing_score",84.27
"29183","county",2023,"housing_score",133.01
"29185","county",2023,"housing_score",84.37
"29186","county",2023,"housing_score",100.72
"29187","county",2023,"housing_score",104.39
"29189","county",2023,"housing_score",129.37
"29195","county",2023,"housing_score",102.57
"29197","county",2023,"housing_score",58.16
"29199","county",2023,"housing_score",68.63
"29201","county",2023,"housing_score",105.64
"29203","county",2023,"housing_score",78.96
"29205","county",2023,"housing_score",80.24
"29207","county",2023,"housing_score",96.81
"29209","county",2023,"housing_score",93.1
"29211","county",2023,"housing_score",66.53
"29213","county",2023,"housing_score",101.61
"29215","county",2023,"housing_score",92.59
"29217","county",2023,"housing_score",94.26
"29219","county",2023,"housing_score",114.56
"29221","county",2023,"housing_score",89.23
"29223","county",2023,"housing_score",77.36
"29225","county",2023,"housing_score",105.57
"29227","county",2023,"housing_score",61.97
"29229","county",2023,"housing_score",88.79
"29510","county",2023,"housing_score",108.58
"29001","county",2023,"housing_rnk",40.3487
"29003","county",2023,"housing_rnk",51.5255
"29005","county",2023,"housing_rnk",22.1357
"29007","county",2023,"housing_rnk",40.9714
"29009","county",2023,"housing_rnk",29.2964
"29011","county",2023,"housing_rnk",33.5928
"29013","county",2023,"housing_rnk",35.7098
"29015","county",2023,"housing_rnk",15.4421
"29017","county",2023,"housing_rnk",22.9763
"29019","county",2023,"housing_rnk",86.6127
"29021","county",2023,"housing_rnk",60.0249
"29023","county",2023,"housing_rnk",44.6451
"29025","county",2023,"housing_rnk",32.7522
"29027","county",2023,"housing_rnk",65.66
"29029","county",2023,"housing_rnk",31.6936
"29031","county",2023,"housing_rnk",77.6463
"29033","county",2023,"housing_rnk",22.3225
"29035","county",2023,"housing_rnk",15.9091
"29037","county",2023,"housing_rnk",86.8929
"29039","county",2023,"housing_rnk",42.6214
"29041","county",2023,"housing_rnk",20.8281
"29043","county",2023,"housing_rnk",84.807
"29045","county",2023,"housing_rnk",5.1059
"29047","county",2023,"housing_rnk",91.0336
"29049","county",2023,"housing_rnk",73.132
"29051","county",2023,"housing_rnk",74.9066
"29053","county",2023,"housing_rnk",59.7447
"29055","county",2023,"housing_rnk",41.8742
"29057","county",2023,"housing_rnk",21.0149
"29059","county",2023,"housing_rnk",48.4122
"29061","county",2023,"housing_rnk",29.0162
"29063","county",2023,"housing_rnk",48.8792
"29065","county",2023,"housing_rnk",33.9664
"29067","county",2023,"housing_rnk",36.0834
"29069","county",2023,"housing_rnk",20.797
"29071","county",2023,"housing_rnk",74.5953
"29073","county",2023,"housing_rnk",31.071
"29075","county",2023,"housing_rnk",23.9103
"29077","county",2023,"housing_rnk",82.7522
"29079","county",2023,"housing_rnk",8.2814
"29081","county",2023,"housing_rnk",13.7609
"29083","county",2023,"housing_rnk",44.2092
"29085","county",2023,"housing_rnk",19.4271
"29087","county",2023,"housing_rnk",7.5031
"29089","county",2023,"housing_rnk",54.4209
"29091","county",2023,"housing_rnk",34.4022
"29093","county",2023,"housing_rnk",29.7945
"29095","county",2023,"housing_rnk",88.0448
"29097","county",2023,"housing_rnk",73.1009
"29099","county",2023,"housing_rnk",82.721
"29101","county",2023,"housing_rnk",74.066
"29103","county",2023,"housing_rnk",6.6314
"29105","county",2023,"housing_rnk",60.3674
"29107","county",2023,"housing_rnk",61.8929
"29109","county",2023,"housing_rnk",59.589
"29111","county",2023,"housing_rnk",19.9875
"29113","county",2023,"housing_rnk",81.32
"29115","county",2023,"housing_rnk",12.2976
"29117","county",2023,"housing_rnk",31.071
"29119","county",2023,"housing_rnk",28.7671
"29121","county",2023,"housing_rnk",21.1083
"29123","county",2023,"housing_rnk",29.6077
"29125","county",2023,"housing_rnk",30.8531
"29127","county",2023,"housing_rnk",44.0224
"29129","county",2023,"housing_rnk",5.9776
"29131","county",2023,"housing_rnk",48.1631
"29133","county",2023,"housing_rnk",32.1918
"29135","county",2023,"housing_rnk",61.3948
"29137","county",2023,"housing_rnk",12.7646
"29139","county",2023,"housing_rnk",28.6115
"29141","county",2023,"housing_rnk",26.7746
"29143","county",2023,"housing_rnk",30.4795
"29145","county",2023,"housing_rnk",57.005
"29147","county",2023,"housing_rnk",47.8829
"29149","county",2023,"housing_rnk",10.7721
"29151","county",2023,"housing_rnk",27.0548
"29153","county",2023,"housing_rnk",8.5616
"29155","county",2023,"housing_rnk",25.8717
"29157","county",2023,"housing_rnk",59.9626
"29159","county",2023,"housing_rnk",57.8767
"29161","county",2023,"housing_rnk",63.2939
"29163","county",2023,"housing_rnk",28.3313
"29165","county",2023,"housing_rnk",92.4969
"29167","county",2023,"housing_rnk",59.5579
"29169","county",2023,"housing_rnk",72.6961
"29171","county",2023,"housing_rnk",17.9639
"29173","county",2023,"housing_rnk",21.731
"29175","county",2023,"housing_rnk",58.6862
"29177","county",2023,"housing_rnk",65.9402
"29179","county",2023,"housing_rnk",8.3126
"29181","county",2023,"housing_rnk",20.5479
"29183","county",2023,"housing_rnk",94.5205
"29185","county",2023,"housing_rnk",20.7036
"29186","county",2023,"housing_rnk",52.4284
"29187","county",2023,"housing_rnk",60.4608
"29189","county",2023,"housing_rnk",92.8082
"29195","county",2023,"housing_rnk",56.3512
"29197","county",2023,"housing_rnk",1.6812
"29199","county",2023,"housing_rnk",5.4795
"29201","county",2023,"housing_rnk",62.5467
"29203","county",2023,"housing_rnk",13.4496
"29205","county",2023,"housing_rnk",14.944
"29207","county",2023,"housing_rnk",44.3026
"29209","county",2023,"housing_rnk",36.2702
"29211","county",2023,"housing_rnk",4.2341
"29213","county",2023,"housing_rnk",54.67
"29215","county",2023,"housing_rnk",35.1494
"29217","county",2023,"housing_rnk",38.5118
"29219","county",2023,"housing_rnk",78.0822
"29221","county",2023,"housing_rnk",28.4247
"29223","county",2023,"housing_rnk",11.7995
"29225","county",2023,"housing_rnk",62.391
"29227","county",2023,"housing_rnk",2.7086
"29229","county",2023,"housing_rnk",27.8331
"29510","county",2023,"housing_rnk",68.1196
"29001","county",2023,"housing_state_rnk",53.5088
"29003","county",2023,"housing_state_rnk",64.0351
"29005","county",2023,"housing_state_rnk",26.3158
"29007","county",2023,"housing_state_rnk",54.386
"29009","county",2023,"housing_state_rnk",37.7193
"29011","county",2023,"housing_state_rnk",46.4912
"29013","county",2023,"housing_state_rnk",50
"29015","county",2023,"housing_state_rnk",15.7895
"29017","county",2023,"housing_state_rnk",28.0702
"29019","county",2023,"housing_state_rnk",94.7368
"29021","county",2023,"housing_state_rnk",74.5614
"29023","county",2023,"housing_state_rnk",59.6491
"29025","county",2023,"housing_state_rnk",45.614
"29027","county",2023,"housing_state_rnk",81.5789
"29029","county",2023,"housing_state_rnk",43.8596
"29031","county",2023,"housing_state_rnk",89.4737
"29033","county",2023,"housing_state_rnk",27.193
"29035","county",2023,"housing_state_rnk",16.6667
"29037","county",2023,"housing_state_rnk",95.614
"29039","county",2023,"housing_state_rnk",56.1404
"29041","county",2023,"housing_state_rnk",22.807
"29043","county",2023,"housing_state_rnk",93.8596
"29045","county",2023,"housing_state_rnk",2.6316
"29047","county",2023,"housing_state_rnk",97.3684
"29049","county",2023,"housing_state_rnk",85.9649
"29051","county",2023,"housing_state_rnk",88.5965
"29053","county",2023,"housing_state_rnk",72.807
"29055","county",2023,"housing_state_rnk",55.2632
"29057","county",2023,"housing_state_rnk",23.6842
"29059","county",2023,"housing_state_rnk",62.2807
"29061","county",2023,"housing_state_rnk",36.8421
"29063","county",2023,"housing_state_rnk",63.1579
"29065","county",2023,"housing_state_rnk",47.3684
"29067","county",2023,"housing_state_rnk",50.8772
"29069","county",2023,"housing_state_rnk",21.9298
"29071","county",2023,"housing_state_rnk",87.7193
"29073","county",2023,"housing_state_rnk",42.5439
"29075","county",2023,"housing_state_rnk",28.9474
"29077","county",2023,"housing_state_rnk",92.9825
"29079","county",2023,"housing_state_rnk",7.0175
"29081","county",2023,"housing_state_rnk",14.0351
"29083","county",2023,"housing_state_rnk",57.8947
"29085","county",2023,"housing_state_rnk",18.4211
"29087","county",2023,"housing_state_rnk",6.1404
"29089","county",2023,"housing_state_rnk",65.7895
"29091","county",2023,"housing_state_rnk",48.2456
"29093","county",2023,"housing_state_rnk",39.4737
"29095","county",2023,"housing_state_rnk",96.4912
"29097","county",2023,"housing_state_rnk",85.0877
"29099","county",2023,"housing_state_rnk",92.1053
"29101","county",2023,"housing_state_rnk",86.8421
"29103","county",2023,"housing_state_rnk",5.2632
"29105","county",2023,"housing_state_rnk",75.4386
"29107","county",2023,"housing_state_rnk",78.0702
"29109","county",2023,"housing_state_rnk",71.9298
"29111","county",2023,"housing_state_rnk",19.2982
"29113","county",2023,"housing_state_rnk",91.2281
"29115","county",2023,"housing_state_rnk",11.4035
"29117","county",2023,"housing_state_rnk",42.5439
"29119","county",2023,"housing_state_rnk",35.9649
"29121","county",2023,"housing_state_rnk",24.5614
"29123","county",2023,"housing_state_rnk",38.5965
"29125","county",2023,"housing_state_rnk",41.2281
