"geoid","geolevel","year","level","value"
"55001","county",2023,"housing_score",88.44
"55003","county",2023,"housing_score",91.62
"55005","county",2023,"housing_score",103.42
"55007","county",2023,"housing_score",81.82
"55009","county",2023,"housing_score",123.45
"55011","county",2023,"housing_score",100.62
"55013","county",2023,"housing_score",81.13
"55015","county",2023,"housing_score",119.69
"55017","county",2023,"housing_score",112.77
"55019","county",2023,"housing_score",100.23
"55021","county",2023,"housing_score",117.89
"55023","county",2023,"housing_score",93.06
"55025","county",2023,"housing_score",137.34
"55027","county",2023,"housing_score",118.12
"55029","county",2023,"housing_score",96.53
"55031","county",2023,"housing_score",105.77
"55033","county",2023,"housing_score",118.26
"55035","county",2023,"housing_score",120.09
"55037","county",2023,"housing_score",65.82
"55039","county",2023,"housing_score",114.18
"55041","county",2023,"housing_score",75.91
"55043","county",2023,"housing_score",106.96
"55045","county",2023,"housing_score",118.42
"55047","county",2023,"housing_score",103.49
"55049","county",2023,"housing_score",115.14
"55051","county",2023,"housing_score",76.63
"55053","county",2023,"housing_score",102.88
"55055","county",2023,"housing_score",120.34
"55057","county",2023,"housing_score",98.91
"55059","county",2023,"housing_score",123.13
"55061","county",2023,"housing_score",107.91
"55063","county",2023,"housing_score",120.8
"55065","county",2023,"housing_score",111.44
"55067","county",2023,"housing_score",89.34
"55069","county",2023,"housing_score",98.87
"55071","county",2023,"housing_score",106.56
"55073","county",2023,"housing_score",115.87
"55075","county",2023,"housing_score",90.45
"55077","county",2023,"housing_score",99.49
"55078","county",2023,"housing_score",82.57
"55079","county",2023,"housing_score",125.84
"55081","county",2023,"housing_score",109.09
"55083","county",2023,"housing_score",99.52
"55085","county",2023,"housing_score",92.72
"55087","county",2023,"housing_score",121.49
"55089","county",2023,"housing_score",128.44
"55091","county",2023,"housing_score",103.4
"55093","county",2023,"housing_score",123.81
"55095","county",2023,"housing_score",107.99
"55097","county",2023,"housing_score",114.76
"55099","county",2023,"housing_score",73.83
"55101","county",2023,"housing_score",123.32
"55103","county",2023,"housing_score",96.44
"55105","county",2023,"housing_score",119.73
"55107","county",2023,"housing_score",90.78
"55109","county",2023,"housing_score",132.75
"55111","county",2023,"housing_score",115.3
"55113","county",2023,"housing_score",86.01
"55115","county",2023,"housing_score",104.31
"55117","county",2023,"housing_score",116.69
"55119","county",2023,"housing_score",98.77
"55121","county",2023,"housing_score",113.76
"55123","county",2023,"housing_score",99.09
"55125","county",2023,"housing_score",85.29
"55127","county",2023,"housing_score",117.21
"55129","county",2023,"housing_score",88.9
"55131","county",2023,"housing_score",125.74
"55133","county",2023,"housing_score",133.19
"55135","county",2023,"housing_score",109.49
"55137","county",2023,"housing_score",97.78
"55139","county",2023,"housing_score",117.92
"55141","county",2023,"housing_score",107.83
"55001","county",2023,"housing_rnk",27.1793
"55003","county",2023,"housing_rnk",33.0635
"55005","county",2023,"housing_rnk",58.4371
"55007","county",2023,"housing_rnk",17.3101
"55009","county",2023,"housing_rnk",88.325
"55011","county",2023,"housing_rnk",52.0548
"55013","county",2023,"housing_rnk",16.1582
"55015","county",2023,"housing_rnk",84.8692
"55017","county",2023,"housing_rnk",75.467
"55019","county",2023,"housing_rnk",51.3699
"55021","county",2023,"housing_rnk",82.3786
"55023","county",2023,"housing_rnk",36.1768
"55025","county",2023,"housing_rnk",96.0772
"55027","county",2023,"housing_rnk",82.6899
"55029","county",2023,"housing_rnk",43.4932
"55031","county",2023,"housing_rnk",62.9514
"55033","county",2023,"housing_rnk",82.9078
"55035","county",2023,"housing_rnk",85.1494
"55037","county",2023,"housing_rnk",3.8605
"55039","county",2023,"housing_rnk",77.5529
"55041","county",2023,"housing_rnk",10.0249
"55043","county",2023,"housing_rnk",65.193
"55045","county",2023,"housing_rnk",83.3126
"55047","county",2023,"housing_rnk",58.6239
"55049","county",2023,"housing_rnk",78.8294
"55051","county",2023,"housing_rnk",11.0523
"55053","county",2023,"housing_rnk",57.0672
"55055","county",2023,"housing_rnk",85.4919
"55057","county",2023,"housing_rnk",48.599
"55059","county",2023,"housing_rnk",88.1071
"55061","county",2023,"housing_rnk",66.9054
"55063","county",2023,"housing_rnk",86.0212
"55065","county",2023,"housing_rnk",73.3811
"55067","county",2023,"housing_rnk",28.7049
"55069","county",2023,"housing_rnk",48.5056
"55071","county",2023,"housing_rnk",64.5081
"55073","county",2023,"housing_rnk",80.1681
"55075","county",2023,"housing_rnk",30.9776
"55077","county",2023,"housing_rnk",50.0623
"55078","county",2023,"housing_rnk",18.1196
"55079","county",2023,"housing_rnk",90.5666
"55081","county",2023,"housing_rnk",69.2092
"55083","county",2023,"housing_rnk",50.1868
"55085","county",2023,"housing_rnk",35.3985
"55087","county",2023,"housing_rnk",86.457
"55089","county",2023,"housing_rnk",92.4658
"55091","county",2023,"housing_rnk",58.406
"55093","county",2023,"housing_rnk",88.6675
"55095","county",2023,"housing_rnk",67.061
"55097","county",2023,"housing_rnk",78.3624
"55099","county",2023,"housing_rnk",8.7173
"55101","county",2023,"housing_rnk",88.2005
"55103","county",2023,"housing_rnk",43.2752
"55105","county",2023,"housing_rnk",84.9315
"55107","county",2023,"housing_rnk",31.6625
"55109","county",2023,"housing_rnk",94.3026
"55111","county",2023,"housing_rnk",79.203
"55113","county",2023,"housing_rnk",23.1631
"55115","county",2023,"housing_rnk",60.3362
"55117","county",2023,"housing_rnk",81.071
"55119","county",2023,"housing_rnk",48.2877
"55121","county",2023,"housing_rnk",76.9614
"55123","county",2023,"housing_rnk",48.9415
"55125","county",2023,"housing_rnk",22.3537
"55127","county",2023,"housing_rnk",81.6002
"55129","county",2023,"housing_rnk",28.0511
"55131","county",2023,"housing_rnk",90.4421
"55133","county",2023,"housing_rnk",94.6139
"55135","county",2023,"housing_rnk",69.7696
"55137","county",2023,"housing_rnk",46.3574
"55139","county",2023,"housing_rnk",82.4097
"55141","county",2023,"housing_rnk",66.7808
"55001","county",2023,"housing_state_rnk",12.6761
"55003","county",2023,"housing_state_rnk",19.7183
"55005","county",2023,"housing_state_rnk",42.2535
"55007","county",2023,"housing_state_rnk",7.0423
"55009","county",2023,"housing_state_rnk",90.1408
"55011","county",2023,"housing_state_rnk",38.0282
"55013","county",2023,"housing_state_rnk",5.6338
"55015","county",2023,"housing_state_rnk",78.8732
"55017","county",2023,"housing_state_rnk",59.1549
"55019","county",2023,"housing_state_rnk",36.6197
"55021","county",2023,"housing_state_rnk",71.831
"55023","county",2023,"housing_state_rnk",22.5352
"55025","county",2023,"housing_state_rnk",100
"55027","county",2023,"housing_state_rnk",74.6479
"55029","county",2023,"housing_state_rnk",25.3521
"55031","county",2023,"housing_state_rnk",46.4789
"55033","county",2023,"housing_state_rnk",76.0563
"55035","county",2023,"housing_state_rnk",81.6901
"55037","county",2023,"housing_state_rnk",0
"55039","county",2023,"housing_state_rnk",61.9718
"55041","county",2023,"housing_state_rnk",2.8169
"55043","county",2023,"housing_state_rnk",49.2958
"55045","county",2023,"housing_state_rnk",77.4648
