"geoid","geolevel","year","state","level","value"
25001010100,"tract",2023,"MA","housing_score",80.46
25001010100,"tract",2023,"MA","housing_score",80.46
25001010206,"tract",2023,"MA","housing_score",81.41
25001010206,"tract",2023,"MA","housing_score",81.41
25001010208,"tract",2023,"MA","housing_score",57.97
25001010208,"tract",2023,"MA","housing_score",57.97
25001010304,"tract",2023,"MA","housing_score",88.72
25001010304,"tract",2023,"MA","housing_score",88.72
25001010306,"tract",2023,"MA","housing_score",82.79
25001010306,"tract",2023,"MA","housing_score",82.79
25001010400,"tract",2023,"MA","housing_score",82.48
25001010400,"tract",2023,"MA","housing_score",82.48
25001010500,"tract",2023,"MA","housing_score",99.32
25001010500,"tract",2023,"MA","housing_score",99.32
25001010600,"tract",2023,"MA","housing_score",90.32
25001010600,"tract",2023,"MA","housing_score",90.32
25001010700,"tract",2023,"MA","housing_score",80.92
25001010700,"tract",2023,"MA","housing_score",80.92
25001010800,"tract",2023,"MA","housing_score",98.57
25001010800,"tract",2023,"MA","housing_score",98.57
25001010900,"tract",2023,"MA","housing_score",86.5
25001010900,"tract",2023,"MA","housing_score",86.5
25001011002,"tract",2023,"MA","housing_score",101.65
25001011002,"tract",2023,"MA","housing_score",101.65
25001011100,"tract",2023,"MA","housing_score",111.14
25001011100,"tract",2023,"MA","housing_score",111.14
25001011200,"tract",2023,"MA","housing_score",92.43
25001011200,"tract",2023,"MA","housing_score",92.43
25001011300,"tract",2023,"MA","housing_score",88.6
25001011300,"tract",2023,"MA","housing_score",88.6
25001011400,"tract",2023,"MA","housing_score",94.17
25001011400,"tract",2023,"MA","housing_score",94.17
25001011500,"tract",2023,"MA","housing_score",95.59
25001011500,"tract",2023,"MA","housing_score",95.59
25001011600,"tract",2023,"MA","housing_score",65.11
25001011600,"tract",2023,"MA","housing_score",65.11
25001011700,"tract",2023,"MA","housing_score",82.14
25001011700,"tract",2023,"MA","housing_score",82.14
25001011801,"tract",2023,"MA","housing_score",98.87
25001011801,"tract",2023,"MA","housing_score",98.87
25001011802,"tract",2023,"MA","housing_score",108.22
25001011802,"tract",2023,"MA","housing_score",108.22
25001012001,"tract",2023,"MA","housing_score",101.89
25001012001,"tract",2023,"MA","housing_score",101.89
25001012002,"tract",2023,"MA","housing_score",72.45
25001012002,"tract",2023,"MA","housing_score",72.45
25001012101,"tract",2023,"MA","housing_score",106.79
25001012101,"tract",2023,"MA","housing_score",106.79
25001012102,"tract",2023,"MA","housing_score",75.84
25001012102,"tract",2023,"MA","housing_score",75.84
25001012200,"tract",2023,"MA","housing_score",118.47
25001012200,"tract",2023,"MA","housing_score",118.47
25001012502,"tract",2023,"MA","housing_score",87.18
25001012502,"tract",2023,"MA","housing_score",87.18
25001012601,"tract",2023,"MA","housing_score",103.7
25001012601,"tract",2023,"MA","housing_score",103.7
25001012602,"tract",2023,"MA","housing_score",99.74
25001012602,"tract",2023,"MA","housing_score",99.74
25001012700,"tract",2023,"MA","housing_score",105.98
25001012700,"tract",2023,"MA","housing_score",105.98
25001012800,"tract",2023,"MA","housing_score",111.06
25001012800,"tract",2023,"MA","housing_score",111.06
25001012900,"tract",2023,"MA","housing_score",119.64
25001012900,"tract",2023,"MA","housing_score",119.64
25001013002,"tract",2023,"MA","housing_score",102.97
25001013002,"tract",2023,"MA","housing_score",102.97
25001013100,"tract",2023,"MA","housing_score",120.97
25001013100,"tract",2023,"MA","housing_score",120.97
25001013200,"tract",2023,"MA","housing_score",107.76
25001013200,"tract",2023,"MA","housing_score",107.76
25001013300,"tract",2023,"MA","housing_score",100.54
25001013300,"tract",2023,"MA","housing_score",100.54
25001013400,"tract",2023,"MA","housing_score",114.39
25001013400,"tract",2023,"MA","housing_score",114.39
25001013500,"tract",2023,"MA","housing_score",140.19
25001013500,"tract",2023,"MA","housing_score",140.19
25001013600,"tract",2023,"MA","housing_score",121.03
25001013600,"tract",2023,"MA","housing_score",121.03
25001013700,"tract",2023,"MA","housing_score",100.18
25001013700,"tract",2023,"MA","housing_score",100.18
25001013800,"tract",2023,"MA","housing_score",118.85
25001013800,"tract",2023,"MA","housing_score",118.85
25001013900,"tract",2023,"MA","housing_score",103.36
25001013900,"tract",2023,"MA","housing_score",103.36
25001014002,"tract",2023,"MA","housing_score",97.42
25001014002,"tract",2023,"MA","housing_score",97.42
25001014100,"tract",2023,"MA","housing_score",NA
25001014100,"tract",2023,"MA","housing_score",NA
25001014300,"tract",2023,"MA","housing_score",95.3
25001014300,"tract",2023,"MA","housing_score",95.3
25001014402,"tract",2023,"MA","housing_score",118.84
25001014402,"tract",2023,"MA","housing_score",118.84
25001014500,"tract",2023,"MA","housing_score",109.23
25001014500,"tract",2023,"MA","housing_score",109.23
25001014600,"tract",2023,"MA","housing_score",109.48
25001014600,"tract",2023,"MA","housing_score",109.48
25001014700,"tract",2023,"MA","housing_score",92.98
25001014700,"tract",2023,"MA","housing_score",92.98
25001014800,"tract",2023,"MA","housing_score",71.43
25001014800,"tract",2023,"MA","housing_score",71.43
25001014900,"tract",2023,"MA","housing_score",85.65
25001014900,"tract",2023,"MA","housing_score",85.65
25001015001,"tract",2023,"MA","housing_score",112.16
25001015001,"tract",2023,"MA","housing_score",112.16
25001015002,"tract",2023,"MA","housing_score",94.76
25001015002,"tract",2023,"MA","housing_score",94.76
25001015100,"tract",2023,"MA","housing_score",100.85
25001015100,"tract",2023,"MA","housing_score",100.85
25001015200,"tract",2023,"MA","housing_score",84.72
25001015200,"tract",2023,"MA","housing_score",84.72
25001015300,"tract",2023,"MA","housing_score",85.35
25001015300,"tract",2023,"MA","housing_score",85.35
25001990000,"tract",2023,"MA","housing_score",NA
25001990000,"tract",2023,"MA","housing_score",NA
25003900100,"tract",2023,"MA","housing_score",52.02
25003900100,"tract",2023,"MA","housing_score",52.02
25003900200,"tract",2023,"MA","housing_score",95.16
25003900200,"tract",2023,"MA","housing_score",95.16
25003900300,"tract",2023,"MA","housing_score",100.47
25003900300,"tract",2023,"MA","housing_score",100.47
25003900400,"tract",2023,"MA","housing_score",96.26
25003900400,"tract",2023,"MA","housing_score",96.26
25003900500,"tract",2023,"MA","housing_score",107.76
25003900500,"tract",2023,"MA","housing_score",107.76
25003900600,"tract",2023,"MA","housing_score",83.12
25003900600,"tract",2023,"MA","housing_score",83.12
25003900700,"tract",2023,"MA","housing_score",110.6
25003900700,"tract",2023,"MA","housing_score",110.6
25003900800,"tract",2023,"MA","housing_score",120.73
25003900800,"tract",2023,"MA","housing_score",120.73
25003900900,"tract",2023,"MA","housing_score",94.2
25003900900,"tract",2023,"MA","housing_score",94.2
25003901100,"tract",2023,"MA","housing_score",101.12
25003901100,"tract",2023,"MA","housing_score",101.12
25003911100,"tract",2023,"MA","housing_score",104.98
25003911100,"tract",2023,"MA","housing_score",104.98
25003912100,"tract",2023,"MA","housing_score",109.97
25003912100,"tract",2023,"MA","housing_score",109.97
25003913100,"tract",2023,"MA","housing_score",105.69
25003913100,"tract",2023,"MA","housing_score",105.69
25003914100,"tract",2023,"MA","housing_score",100.41
25003914100,"tract",2023,"MA","housing_score",100.41
25003920101,"tract",2023,"MA","housing_score",98.68
25003920101,"tract",2023,"MA","housing_score",98.68
25003920102,"tract",2023,"MA","housing_score",NA
25003920102,"tract",2023,"MA","housing_score",NA
25003921300,"tract",2023,"MA","housing_score",82.98
25003921300,"tract",2023,"MA","housing_score",82.98
25003921400,"tract",2023,"MA","housing_score",83.27
25003921400,"tract",2023,"MA","housing_score",83.27
25003921500,"tract",2023,"MA","housing_score",89.55
25003921500,"tract",2023,"MA","housing_score",89.55
25003922100,"tract",2023,"MA","housing_score",80.99
25003922100,"tract",2023,"MA","housing_score",80.99
25003922200,"tract",2023,"MA","housing_score",83.41
25003922200,"tract",2023,"MA","housing_score",83.41
25003922300,"tract",2023,"MA","housing_score",94.5
25003922300,"tract",2023,"MA","housing_score",94.5
25003923100,"tract",2023,"MA","housing_score",105.09
25003923100,"tract",2023,"MA","housing_score",105.09
25003924100,"tract",2023,"MA","housing_score",78.83
25003924100,"tract",2023,"MA","housing_score",78.83
25003925101,"tract",2023,"MA","housing_score",114.6
25003925101,"tract",2023,"MA","housing_score",114.6
25003925102,"tract",2023,"MA","housing_score",103.94
25003925102,"tract",2023,"MA","housing_score",103.94
25003926100,"tract",2023,"MA","housing_score",110.08
25003926100,"tract",2023,"MA","housing_score",110.08
25003931100,"tract",2023,"MA","housing_score",102.33
25003931100,"tract",2023,"MA","housing_score",102.33
25003931300,"tract",2023,"MA","housing_score",95.31
25003931300,"tract",2023,"MA","housing_score",95.31
25003931400,"tract",2023,"MA","housing_score",96.16
25003931400,"tract",2023,"MA","housing_score",96.16
25003932200,"tract",2023,"MA","housing_score",89.83
25003932200,"tract",2023,"MA","housing_score",89.83
25003932300,"tract",2023,"MA","housing_score",95.95
25003932300,"tract",2023,"MA","housing_score",95.95
25003933200,"tract",2023,"MA","housing_score",83.35
25003933200,"tract",2023,"MA","housing_score",83.35
25003933300,"tract",2023,"MA","housing_score",98.22
25003933300,"tract",2023,"MA","housing_score",98.22
