"geoid","geolevel","year","level","value"
"24001000100","tract",2023,"housing_score",77.13
"24001000200","tract",2023,"housing_score",100.75
"24001000500","tract",2023,"housing_score",68.68
"24001000600","tract",2023,"housing_score",86.65
"24001000700","tract",2023,"housing_score",75.16
"24001000800","tract",2023,"housing_score",87.84
"24001001000","tract",2023,"housing_score",77.04
"24001001100","tract",2023,"housing_score",65.84
"24001001200","tract",2023,"housing_score",100.39
"24001001300","tract",2023,"housing_score",NA
"24001001401","tract",2023,"housing_score",103.01
"24001001402","tract",2023,"housing_score",91.24
"24001001502","tract",2023,"housing_score",92.74
"24001001503","tract",2023,"housing_score",74.72
"24001001600","tract",2023,"housing_score",89.22
"24001001700","tract",2023,"housing_score",97.9
"24001001800","tract",2023,"housing_score",NA
"24001001900","tract",2023,"housing_score",93.07
"24001002000","tract",2023,"housing_score",104.02
"24001002100","tract",2023,"housing_score",80.9
"24001002200","tract",2023,"housing_score",82.77
"24001002300","tract",2023,"housing_score",77.62
"24003701101","tract",2023,"housing_score",132.52
"24003701103","tract",2023,"housing_score",111.85
"24003701104","tract",2023,"housing_score",123.92
"24003701201","tract",2023,"housing_score",123.1
"24003701202","tract",2023,"housing_score",131.3
"24003701301","tract",2023,"housing_score",145.07
"24003701302","tract",2023,"housing_score",124.58
"24003701400","tract",2023,"housing_score",126.56
"24003702100","tract",2023,"housing_score",129.5
"24003702204","tract",2023,"housing_score",128.94
"24003702205","tract",2023,"housing_score",125.73
"24003702206","tract",2023,"housing_score",130.7
"24003702208","tract",2023,"housing_score",131.62
"24003702209","tract",2023,"housing_score",133.48
"24003702300","tract",2023,"housing_score",146.34
"24003702402","tract",2023,"housing_score",113.72
"24003702500","tract",2023,"housing_score",118.18
"24003702601","tract",2023,"housing_score",128.68
"24003702602","tract",2023,"housing_score",134.13
"24003702702","tract",2023,"housing_score",134.23
"24003702703","tract",2023,"housing_score",114.73
"24003702704","tract",2023,"housing_score",83.79
"24003706102","tract",2023,"housing_score",101.68
"24003706103","tract",2023,"housing_score",100.62
"24003706302","tract",2023,"housing_score",110.39
"24003706303","tract",2023,"housing_score",105.81
"24003706304","tract",2023,"housing_score",88.38
"24003706402","tract",2023,"housing_score",110.98
"24003706403","tract",2023,"housing_score",117.75
"24003706404","tract",2023,"housing_score",111.73
"24003706500","tract",2023,"housing_score",99.01
"24003706600","tract",2023,"housing_score",119.62
"24003706700","tract",2023,"housing_score",NA
"24003707001","tract",2023,"housing_score",121.94
"24003707002","tract",2023,"housing_score",125.01
"24003708001","tract",2023,"housing_score",125.58
"24003708004","tract",2023,"housing_score",122.06
"24003730101","tract",2023,"housing_score",121.8
"24003730102","tract",2023,"housing_score",129.74
"24003730204","tract",2023,"housing_score",130.24
"24003730205","tract",2023,"housing_score",81.29
"24003730206","tract",2023,"housing_score",104.27
"24003730300","tract",2023,"housing_score",127.35
"24003730401","tract",2023,"housing_score",115.27
"24003730403","tract",2023,"housing_score",99.08
"24003730404","tract",2023,"housing_score",106.88
"24003730507","tract",2023,"housing_score",121.56
"24003730508","tract",2023,"housing_score",102.88
"24003730509","tract",2023,"housing_score",124.67
"24003730510","tract",2023,"housing_score",125.24
"24003730511","tract",2023,"housing_score",79.37
"24003730512","tract",2023,"housing_score",98.68
"24003730513","tract",2023,"housing_score",104.75
"24003730514","tract",2023,"housing_score",79.65
"24003730601","tract",2023,"housing_score",151.07
"24003730603","tract",2023,"housing_score",124.37
"24003730605","tract",2023,"housing_score",118.34
"24003730606","tract",2023,"housing_score",139.47
"24003730701","tract",2023,"housing_score",126.54
"24003730702","tract",2023,"housing_score",129.15
"24003730800","tract",2023,"housing_score",129.27
"24003730901","tract",2023,"housing_score",116.6
"24003730902","tract",2023,"housing_score",130.84
"24003731002","tract",2023,"housing_score",119.6
"24003731003","tract",2023,"housing_score",132.17
"24003731004","tract",2023,"housing_score",124.96
"24003731103","tract",2023,"housing_score",126.57
"24003731104","tract",2023,"housing_score",132.63
"24003731105","tract",2023,"housing_score",121.35
"24003731106","tract",2023,"housing_score",121.09
"24003731107","tract",2023,"housing_score",128.98
"24003731201","tract",2023,"housing_score",132.42
"24003731205","tract",2023,"housing_score",123.92
"24003731206","tract",2023,"housing_score",123.47
"24003731207","tract",2023,"housing_score",134.74
"24003731208","tract",2023,"housing_score",130.33
"24003731209","tract",2023,"housing_score",121
"24003731210","tract",2023,"housing_score",127.83
"24003731303","tract",2023,"housing_score",120.56
"24003731306","tract",2023,"housing_score",130.44
"24003731307","tract",2023,"housing_score",127.37
"24003731308","tract",2023,"housing_score",121.12
"24003731309","tract",2023,"housing_score",120.39
"24003731310","tract",2023,"housing_score",126.13
"24003731312","tract",2023,"housing_score",121.09
"24003731313","tract",2023,"housing_score",128.3
"24003740103","tract",2023,"housing_score",130.54
"24003740104","tract",2023,"housing_score",122.16
"24003740105","tract",2023,"housing_score",114.4
"24003740106","tract",2023,"housing_score",114.49
