"geoid","geolevel","year","state","level","value"
37001020100,"tract",2023,"NC","housing_score",98.94
37001020100,"tract",2023,"NC","housing_score",98.94
37001020200,"tract",2023,"NC","housing_score",83.57
37001020200,"tract",2023,"NC","housing_score",83.57
37001020301,"tract",2023,"NC","housing_score",91.49
37001020301,"tract",2023,"NC","housing_score",91.49
37001020302,"tract",2023,"NC","housing_score",89.38
37001020302,"tract",2023,"NC","housing_score",89.38
37001020400,"tract",2023,"NC","housing_score",87.54
37001020400,"tract",2023,"NC","housing_score",87.54
37001020501,"tract",2023,"NC","housing_score",101.67
37001020501,"tract",2023,"NC","housing_score",101.67
37001020502,"tract",2023,"NC","housing_score",93.94
37001020502,"tract",2023,"NC","housing_score",93.94
37001020601,"tract",2023,"NC","housing_score",113.3
37001020601,"tract",2023,"NC","housing_score",113.3
37001020602,"tract",2023,"NC","housing_score",88.8
37001020602,"tract",2023,"NC","housing_score",88.8
37001020701,"tract",2023,"NC","housing_score",94.41
37001020701,"tract",2023,"NC","housing_score",94.41
37001020702,"tract",2023,"NC","housing_score",82.42
37001020702,"tract",2023,"NC","housing_score",82.42
37001020801,"tract",2023,"NC","housing_score",91.93
37001020801,"tract",2023,"NC","housing_score",91.93
37001020802,"tract",2023,"NC","housing_score",91.75
37001020802,"tract",2023,"NC","housing_score",91.75
37001020901,"tract",2023,"NC","housing_score",94.68
37001020901,"tract",2023,"NC","housing_score",94.68
37001020902,"tract",2023,"NC","housing_score",117.91
37001020902,"tract",2023,"NC","housing_score",117.91
37001021000,"tract",2023,"NC","housing_score",86.36
37001021000,"tract",2023,"NC","housing_score",86.36
37001021101,"tract",2023,"NC","housing_score",89.95
37001021101,"tract",2023,"NC","housing_score",89.95
37001021102,"tract",2023,"NC","housing_score",96.09
37001021102,"tract",2023,"NC","housing_score",96.09
37001021201,"tract",2023,"NC","housing_score",92.58
37001021201,"tract",2023,"NC","housing_score",92.58
37001021204,"tract",2023,"NC","housing_score",106.68
37001021204,"tract",2023,"NC","housing_score",106.68
37001021205,"tract",2023,"NC","housing_score",111.17
37001021205,"tract",2023,"NC","housing_score",111.17
37001021206,"tract",2023,"NC","housing_score",109.91
37001021206,"tract",2023,"NC","housing_score",109.91
37001021207,"tract",2023,"NC","housing_score",101.57
37001021207,"tract",2023,"NC","housing_score",101.57
37001021300,"tract",2023,"NC","housing_score",109
37001021300,"tract",2023,"NC","housing_score",109
37001021400,"tract",2023,"NC","housing_score",96.85
37001021400,"tract",2023,"NC","housing_score",96.85
37001021500,"tract",2023,"NC","housing_score",102.56
37001021500,"tract",2023,"NC","housing_score",102.56
37001021600,"tract",2023,"NC","housing_score",111.18
37001021600,"tract",2023,"NC","housing_score",111.18
37001021701,"tract",2023,"NC","housing_score",114.62
37001021701,"tract",2023,"NC","housing_score",114.62
37001021702,"tract",2023,"NC","housing_score",118.84
37001021702,"tract",2023,"NC","housing_score",118.84
37001021703,"tract",2023,"NC","housing_score",107.76
37001021703,"tract",2023,"NC","housing_score",107.76
37001021801,"tract",2023,"NC","housing_score",111.07
37001021801,"tract",2023,"NC","housing_score",111.07
37001021802,"tract",2023,"NC","housing_score",105.17
37001021802,"tract",2023,"NC","housing_score",105.17
37001021803,"tract",2023,"NC","housing_score",94.06
37001021803,"tract",2023,"NC","housing_score",94.06
37001021901,"tract",2023,"NC","housing_score",109.48
37001021901,"tract",2023,"NC","housing_score",109.48
37001021902,"tract",2023,"NC","housing_score",96.52
37001021902,"tract",2023,"NC","housing_score",96.52
37001022001,"tract",2023,"NC","housing_score",100.67
37001022001,"tract",2023,"NC","housing_score",100.67
37001022002,"tract",2023,"NC","housing_score",106.16
37001022002,"tract",2023,"NC","housing_score",106.16
37003040100,"tract",2023,"NC","housing_score",83.35
37003040100,"tract",2023,"NC","housing_score",83.35
37003040200,"tract",2023,"NC","housing_score",88.48
37003040200,"tract",2023,"NC","housing_score",88.48
37003040300,"tract",2023,"NC","housing_score",80.97
37003040300,"tract",2023,"NC","housing_score",80.97
37003040400,"tract",2023,"NC","housing_score",91.93
37003040400,"tract",2023,"NC","housing_score",91.93
37003040500,"tract",2023,"NC","housing_score",96.3
37003040500,"tract",2023,"NC","housing_score",96.3
37003040600,"tract",2023,"NC","housing_score",89.31
37003040600,"tract",2023,"NC","housing_score",89.31
37003040700,"tract",2023,"NC","housing_score",99.95
37003040700,"tract",2023,"NC","housing_score",99.95
37005950100,"tract",2023,"NC","housing_score",86.95
37005950100,"tract",2023,"NC","housing_score",86.95
37005950200,"tract",2023,"NC","housing_score",97.08
37005950200,"tract",2023,"NC","housing_score",97.08
37005950300,"tract",2023,"NC","housing_score",72.06
37005950300,"tract",2023,"NC","housing_score",72.06
37007920100,"tract",2023,"NC","housing_score",92.13
37007920100,"tract",2023,"NC","housing_score",92.13
37007920200,"tract",2023,"NC","housing_score",79.12
37007920200,"tract",2023,"NC","housing_score",79.12
37007920301,"tract",2023,"NC","housing_score",84.05
37007920301,"tract",2023,"NC","housing_score",84.05
37007920302,"tract",2023,"NC","housing_score",109.67
37007920302,"tract",2023,"NC","housing_score",109.67
37007920400,"tract",2023,"NC","housing_score",64.21
37007920400,"tract",2023,"NC","housing_score",64.21
37007920501,"tract",2023,"NC","housing_score",69.27
37007920501,"tract",2023,"NC","housing_score",69.27
37007920502,"tract",2023,"NC","housing_score",77.64
37007920502,"tract",2023,"NC","housing_score",77.64
37007920600,"tract",2023,"NC","housing_score",59.74
37007920600,"tract",2023,"NC","housing_score",59.74
