"geoid","geolevel","year","state","level","value"
39001770100,"tract",2023,"OH","housing_score",89.62
39001770100,"tract",2023,"OH","housing_score",89.62
39001770200,"tract",2023,"OH","housing_score",86.53
39001770200,"tract",2023,"OH","housing_score",86.53
39001770301,"tract",2023,"OH","housing_score",93.72
39001770301,"tract",2023,"OH","housing_score",93.72
39001770302,"tract",2023,"OH","housing_score",104.71
39001770302,"tract",2023,"OH","housing_score",104.71
39001770400,"tract",2023,"OH","housing_score",87.45
39001770400,"tract",2023,"OH","housing_score",87.45
39001770500,"tract",2023,"OH","housing_score",63.78
39001770500,"tract",2023,"OH","housing_score",63.78
39001770600,"tract",2023,"OH","housing_score",77.84
39001770600,"tract",2023,"OH","housing_score",77.84
39003010100,"tract",2023,"OH","housing_score",101.31
39003010100,"tract",2023,"OH","housing_score",101.31
39003010200,"tract",2023,"OH","housing_score",103.9
39003010200,"tract",2023,"OH","housing_score",103.9
39003010300,"tract",2023,"OH","housing_score",111.12
39003010300,"tract",2023,"OH","housing_score",111.12
39003010600,"tract",2023,"OH","housing_score",96.94
39003010600,"tract",2023,"OH","housing_score",96.94
39003010801,"tract",2023,"OH","housing_score",99.94
39003010801,"tract",2023,"OH","housing_score",99.94
39003010802,"tract",2023,"OH","housing_score",113.4
39003010802,"tract",2023,"OH","housing_score",113.4
39003010900,"tract",2023,"OH","housing_score",97.91
39003010900,"tract",2023,"OH","housing_score",97.91
39003011000,"tract",2023,"OH","housing_score",101.05
39003011000,"tract",2023,"OH","housing_score",101.05
39003011200,"tract",2023,"OH","housing_score",NA
39003011200,"tract",2023,"OH","housing_score",NA
39003011301,"tract",2023,"OH","housing_score",92.95
39003011301,"tract",2023,"OH","housing_score",92.95
39003011302,"tract",2023,"OH","housing_score",115.67
39003011302,"tract",2023,"OH","housing_score",115.67
39003011400,"tract",2023,"OH","housing_score",106.29
39003011400,"tract",2023,"OH","housing_score",106.29
39003011500,"tract",2023,"OH","housing_score",104.66
39003011500,"tract",2023,"OH","housing_score",104.66
39003011600,"tract",2023,"OH","housing_score",87.7
39003011600,"tract",2023,"OH","housing_score",87.7
39003011800,"tract",2023,"OH","housing_score",105.1
39003011800,"tract",2023,"OH","housing_score",105.1
39003011900,"tract",2023,"OH","housing_score",93.93
39003011900,"tract",2023,"OH","housing_score",93.93
39003012000,"tract",2023,"OH","housing_score",124.65
39003012000,"tract",2023,"OH","housing_score",124.65
39003012100,"tract",2023,"OH","housing_score",107.1
39003012100,"tract",2023,"OH","housing_score",107.1
39003012200,"tract",2023,"OH","housing_score",93.67
39003012200,"tract",2023,"OH","housing_score",93.67
39003012300,"tract",2023,"OH","housing_score",89.28
39003012300,"tract",2023,"OH","housing_score",89.28
39003012400,"tract",2023,"OH","housing_score",78.2
39003012400,"tract",2023,"OH","housing_score",78.2
39003012600,"tract",2023,"OH","housing_score",92.34
39003012600,"tract",2023,"OH","housing_score",92.34
39003012700,"tract",2023,"OH","housing_score",59.12
39003012700,"tract",2023,"OH","housing_score",59.12
39003012900,"tract",2023,"OH","housing_score",60.52
39003012900,"tract",2023,"OH","housing_score",60.52
39003013000,"tract",2023,"OH","housing_score",82.12
39003013000,"tract",2023,"OH","housing_score",82.12
39003013100,"tract",2023,"OH","housing_score",107.41
39003013100,"tract",2023,"OH","housing_score",107.41
39003013200,"tract",2023,"OH","housing_score",96.23
39003013200,"tract",2023,"OH","housing_score",96.23
39003013300,"tract",2023,"OH","housing_score",59.04
39003013300,"tract",2023,"OH","housing_score",59.04
39003013400,"tract",2023,"OH","housing_score",67.92
39003013400,"tract",2023,"OH","housing_score",67.92
39003013600,"tract",2023,"OH","housing_score",66.35
39003013600,"tract",2023,"OH","housing_score",66.35
39003013700,"tract",2023,"OH","housing_score",56.14
39003013700,"tract",2023,"OH","housing_score",56.14
39003013800,"tract",2023,"OH","housing_score",59.89
39003013800,"tract",2023,"OH","housing_score",59.89
39003013900,"tract",2023,"OH","housing_score",104.33
39003013900,"tract",2023,"OH","housing_score",104.33
39003014000,"tract",2023,"OH","housing_score",101.78
39003014000,"tract",2023,"OH","housing_score",101.78
39003014100,"tract",2023,"OH","housing_score",35.34
39003014100,"tract",2023,"OH","housing_score",35.34
39005970101,"tract",2023,"OH","housing_score",101.83
39005970101,"tract",2023,"OH","housing_score",101.83
39005970102,"tract",2023,"OH","housing_score",90.83
39005970102,"tract",2023,"OH","housing_score",90.83
39005970200,"tract",2023,"OH","housing_score",97.66
39005970200,"tract",2023,"OH","housing_score",97.66
39005970300,"tract",2023,"OH","housing_score",93.51
39005970300,"tract",2023,"OH","housing_score",93.51
39005970400,"tract",2023,"OH","housing_score",82.47
39005970400,"tract",2023,"OH","housing_score",82.47
39005970500,"tract",2023,"OH","housing_score",94.87
39005970500,"tract",2023,"OH","housing_score",94.87
39005970600,"tract",2023,"OH","housing_score",105.56
39005970600,"tract",2023,"OH","housing_score",105.56
39005970700,"tract",2023,"OH","housing_score",101.51
39005970700,"tract",2023,"OH","housing_score",101.51
39005970800,"tract",2023,"OH","housing_score",98.9
39005970800,"tract",2023,"OH","housing_score",98.9
39005970900,"tract",2023,"OH","housing_score",99.74
39005970900,"tract",2023,"OH","housing_score",99.74
39005971000,"tract",2023,"OH","housing_score",96
39005971000,"tract",2023,"OH","housing_score",96
39005971100,"tract",2023,"OH","housing_score",94.84
39005971100,"tract",2023,"OH","housing_score",94.84
39007000101,"tract",2023,"OH","housing_score",NA
39007000101,"tract",2023,"OH","housing_score",NA
39007000102,"tract",2023,"OH","housing_score",89.85
39007000102,"tract",2023,"OH","housing_score",89.85
39007000103,"tract",2023,"OH","housing_score",78.16
39007000103,"tract",2023,"OH","housing_score",78.16
39007000200,"tract",2023,"OH","housing_score",98.46
39007000200,"tract",2023,"OH","housing_score",98.46
39007000300,"tract",2023,"OH","housing_score",96.82
39007000300,"tract",2023,"OH","housing_score",96.82
39007000400,"tract",2023,"OH","housing_score",74.74
39007000400,"tract",2023,"OH","housing_score",74.74
39007000500,"tract",2023,"OH","housing_score",96.1
39007000500,"tract",2023,"OH","housing_score",96.1
39007000601,"tract",2023,"OH","housing_score",77.83
39007000601,"tract",2023,"OH","housing_score",77.83
39007000602,"tract",2023,"OH","housing_score",98.98
39007000602,"tract",2023,"OH","housing_score",98.98
39007000603,"tract",2023,"OH","housing_score",91.11
39007000603,"tract",2023,"OH","housing_score",91.11
39007000701,"tract",2023,"OH","housing_score",71.56
39007000701,"tract",2023,"OH","housing_score",71.56
39007000702,"tract",2023,"OH","housing_score",98.7
39007000702,"tract",2023,"OH","housing_score",98.7
39007000703,"tract",2023,"OH","housing_score",70.64
39007000703,"tract",2023,"OH","housing_score",70.64
39007000704,"tract",2023,"OH","housing_score",75.43
39007000704,"tract",2023,"OH","housing_score",75.43
39007000801,"tract",2023,"OH","housing_score",72.22
39007000801,"tract",2023,"OH","housing_score",72.22
39007000802,"tract",2023,"OH","housing_score",95.71
39007000802,"tract",2023,"OH","housing_score",95.71
39007000900,"tract",2023,"OH","housing_score",89.79
39007000900,"tract",2023,"OH","housing_score",89.79
39007001001,"tract",2023,"OH","housing_score",103.29
39007001001,"tract",2023,"OH","housing_score",103.29
39007001002,"tract",2023,"OH","housing_score",91.2
39007001002,"tract",2023,"OH","housing_score",91.2
39007001101,"tract",2023,"OH","housing_score",97.34
39007001101,"tract",2023,"OH","housing_score",97.34
39007001102,"tract",2023,"OH","housing_score",95.99
39007001102,"tract",2023,"OH","housing_score",95.99
39007001201,"tract",2023,"OH","housing_score",96.18
39007001201,"tract",2023,"OH","housing_score",96.18
39007001202,"tract",2023,"OH","housing_score",95.66
39007001202,"tract",2023,"OH","housing_score",95.66
39007001301,"tract",2023,"OH","housing_score",84.08
39007001301,"tract",2023,"OH","housing_score",84.08
39007001303,"tract",2023,"OH","housing_score",93.43
39007001303,"tract",2023,"OH","housing_score",93.43
39007001304,"tract",2023,"OH","housing_score",61.67
39007001304,"tract",2023,"OH","housing_score",61.67
39007001401,"tract",2023,"OH","housing_score",80.61
39007001401,"tract",2023,"OH","housing_score",80.61
39007001402,"tract",2023,"OH","housing_score",95.88
39007001402,"tract",2023,"OH","housing_score",95.88
39007990000,"tract",2023,"OH","housing_score",NA
39007990000,"tract",2023,"OH","housing_score",NA
39009972600,"tract",2023,"OH","housing_score",80.61
39009972600,"tract",2023,"OH","housing_score",80.61
39009972700,"tract",2023,"OH","housing_score",79.85
39009972700,"tract",2023,"OH","housing_score",79.85
39009972800,"tract",2023,"OH","housing_score",77.9
39009972800,"tract",2023,"OH","housing_score",77.9
39009972900,"tract",2023,"OH","housing_score",82.79
39009972900,"tract",2023,"OH","housing_score",82.79
39009973000,"tract",2023,"OH","housing_score",95.54
39009973000,"tract",2023,"OH","housing_score",95.54
39009973101,"tract",2023,"OH","housing_score",NA
39009973101,"tract",2023,"OH","housing_score",NA
39009973200,"tract",2023,"OH","housing_score",82.34
39009973200,"tract",2023,"OH","housing_score",82.34
39009973300,"tract",2023,"OH","housing_score",101.54
39009973300,"tract",2023,"OH","housing_score",101.54
39009973400,"tract",2023,"OH","housing_score",87.32
39009973400,"tract",2023,"OH","housing_score",87.32
39009973500,"tract",2023,"OH","housing_score",84.77
39009973500,"tract",2023,"OH","housing_score",84.77
39009973600,"tract",2023,"OH","housing_score",85.49
39009973600,"tract",2023,"OH","housing_score",85.49
39009973700,"tract",2023,"OH","housing_score",85.46
39009973700,"tract",2023,"OH","housing_score",85.46
39009973800,"tract",2023,"OH","housing_score",96.21
39009973800,"tract",2023,"OH","housing_score",96.21
39009973901,"tract",2023,"OH","housing_score",NA
39009973901,"tract",2023,"OH","housing_score",NA
39009973902,"tract",2023,"OH","housing_score",94.46
39009973902,"tract",2023,"OH","housing_score",94.46
39011040100,"tract",2023,"OH","housing_score",96.75
39011040100,"tract",2023,"OH","housing_score",96.75
39011040200,"tract",2023,"OH","housing_score",104.14
39011040200,"tract",2023,"OH","housing_score",104.14
39011040300,"tract",2023,"OH","housing_score",85.84
39011040300,"tract",2023,"OH","housing_score",85.84
39011040400,"tract",2023,"OH","housing_score",97.15
39011040400,"tract",2023,"OH","housing_score",97.15
39011040500,"tract",2023,"OH","housing_score",111.63
39011040500,"tract",2023,"OH","housing_score",111.63
39011040600,"tract",2023,"OH","housing_score",93.58
39011040600,"tract",2023,"OH","housing_score",93.58
39011040900,"tract",2023,"OH","housing_score",100.76
39011040900,"tract",2023,"OH","housing_score",100.76
39011041000,"tract",2023,"OH","housing_score",106.9
39011041000,"tract",2023,"OH","housing_score",106.9
39011041100,"tract",2023,"OH","housing_score",103.24
39011041100,"tract",2023,"OH","housing_score",103.24
39011041201,"tract",2023,"OH","housing_score",92.51
39011041201,"tract",2023,"OH","housing_score",92.51
39011041202,"tract",2023,"OH","housing_score",97.13
39011041202,"tract",2023,"OH","housing_score",97.13
39013010100,"tract",2023,"OH","housing_score",90.13
39013010100,"tract",2023,"OH","housing_score",90.13
