"geoid","geolevel","year","level","value"
"44001030100","tract",2023,"housing_score",123.37
"44001030200","tract",2023,"housing_score",127.29
"44001030300","tract",2023,"housing_score",128.96
"44001030400","tract",2023,"housing_score",140.73
"44001030500","tract",2023,"housing_score",82.7
"44001030601","tract",2023,"housing_score",114.8
"44001030602","tract",2023,"housing_score",104.12
"44001030700","tract",2023,"housing_score",78.49
"44001030800","tract",2023,"housing_score",NA
"44001030901","tract",2023,"housing_score",121.77
"44001030902","tract",2023,"housing_score",118.53
"44003020101","tract",2023,"housing_score",107.7
"44003020102","tract",2023,"housing_score",95.72
"44003020200","tract",2023,"housing_score",96.84
"44003020300","tract",2023,"housing_score",101.94
"44003020400","tract",2023,"housing_score",94.64
"44003020500","tract",2023,"housing_score",103.76
"44003020601","tract",2023,"housing_score",122.52
"44003020602","tract",2023,"housing_score",99.08
"44003020603","tract",2023,"housing_score",107.3
"44003020604","tract",2023,"housing_score",103.7
"44003020701","tract",2023,"housing_score",114.79
"44003020702","tract",2023,"housing_score",123.46
"44003020703","tract",2023,"housing_score",119.75
"44003020800","tract",2023,"housing_score",122.51
"44003020901","tract",2023,"housing_score",106.58
"44003020903","tract",2023,"housing_score",136.39
"44003020904","tract",2023,"housing_score",131.29
"44003021001","tract",2023,"housing_score",111.8
"44003021002","tract",2023,"housing_score",106.75
"44003021100","tract",2023,"housing_score",98.22
"44003021200","tract",2023,"housing_score",113.35
"44003021300","tract",2023,"housing_score",111.81
"44003021401","tract",2023,"housing_score",118.13
"44003021402","tract",2023,"housing_score",115.43
"44003021501","tract",2023,"housing_score",107.75
"44003021502","tract",2023,"housing_score",113.48
"44003021600","tract",2023,"housing_score",120.11
"44003021700","tract",2023,"housing_score",112.83
"44003021800","tract",2023,"housing_score",108.51
"44003021901","tract",2023,"housing_score",112.64
"44003021902","tract",2023,"housing_score",103.54
"44003021903","tract",2023,"housing_score",116.16
"44003022000","tract",2023,"housing_score",93.49
"44003022100","tract",2023,"housing_score",115.1
"44003022201","tract",2023,"housing_score",130.49
"44003022202","tract",2023,"housing_score",100.11
"44003022300","tract",2023,"housing_score",83.92
"44003022400","tract",2023,"housing_score",104.23
"44003980000","tract",2023,"housing_score",NA
"44005040101","tract",2023,"housing_score",105.45
"44005040102","tract",2023,"housing_score",116.45
"44005040104","tract",2023,"housing_score",116.47
"44005040105","tract",2023,"housing_score",101.96
"44005040200","tract",2023,"housing_score",100.96
"44005040302","tract",2023,"housing_score",109.91
"44005040303","tract",2023,"housing_score",112.28
"44005040304","tract",2023,"housing_score",110.76
"44005040400","tract",2023,"housing_score",112.68
"44005040500","tract",2023,"housing_score",102.31
"44005040600","tract",2023,"housing_score",104.76
"44005040700","tract",2023,"housing_score",108.52
"44005040800","tract",2023,"housing_score",96.62
"44005040900","tract",2023,"housing_score",97.6
"44005041000","tract",2023,"housing_score",77.35
"44005041100","tract",2023,"housing_score",91.42
"44005041200","tract",2023,"housing_score",NA
"44005041300","tract",2023,"housing_score",116.95
"44005041400","tract",2023,"housing_score",100.01
"44005041601","tract",2023,"housing_score",103.91
"44005041602","tract",2023,"housing_score",98.52
"44005041701","tract",2023,"housing_score",94.44
"44005041702","tract",2023,"housing_score",112.18
"44005990000","tract",2023,"housing_score",NA
"44007000101","tract",2023,"housing_score",112.76
"44007000102","tract",2023,"housing_score",107.58
"44007000200","tract",2023,"housing_score",110.36
