"geoid","geolevel","year","level","value"
"48001950100","tract",2023,"housing_score",88.34
"48001950401","tract",2023,"housing_score",NA
"48001950402","tract",2023,"housing_score",NA
"48001950500","tract",2023,"housing_score",91.65
"48001950600","tract",2023,"housing_score",83.74
"48001950700","tract",2023,"housing_score",55.04
"48001950800","tract",2023,"housing_score",79.85
"48001950901","tract",2023,"housing_score",70.34
"48001950902","tract",2023,"housing_score",98.67
"48001951001","tract",2023,"housing_score",81.32
"48001951002","tract",2023,"housing_score",96.49
"48001951100","tract",2023,"housing_score",77.08
"48003950100","tract",2023,"housing_score",109.18
"48003950200","tract",2023,"housing_score",111.94
"48003950300","tract",2023,"housing_score",97.57
"48003950400","tract",2023,"housing_score",86.8
"48005000102","tract",2023,"housing_score",99.6
"48005000103","tract",2023,"housing_score",95.64
"48005000104","tract",2023,"housing_score",97.18
"48005000201","tract",2023,"housing_score",90.82
"48005000202","tract",2023,"housing_score",72.14
"48005000301","tract",2023,"housing_score",93.04
"48005000302","tract",2023,"housing_score",104.48
"48005000400","tract",2023,"housing_score",85.65
"48005000500","tract",2023,"housing_score",55.21
"48005000600","tract",2023,"housing_score",84.39
"48005000700","tract",2023,"housing_score",64.74
"48005000800","tract",2023,"housing_score",99.75
"48005000902","tract",2023,"housing_score",76.1
"48005000903","tract",2023,"housing_score",95.26
"48005000904","tract",2023,"housing_score",102.41
"48005001001","tract",2023,"housing_score",74.58
"48005001002","tract",2023,"housing_score",95.16
"48005001101","tract",2023,"housing_score",94.86
"48005001102","tract",2023,"housing_score",76.08
"48005001200","tract",2023,"housing_score",58.54
"48005001300","tract",2023,"housing_score",77.32
"48007950101","tract",2023,"housing_score",88.76
"48007950102","tract",2023,"housing_score",75.62
"48007950103","tract",2023,"housing_score",95.38
"48007950200","tract",2023,"housing_score",70.9
"48007950301","tract",2023,"housing_score",70.72
"48007950302","tract",2023,"housing_score",98.67
"48007950400","tract",2023,"housing_score",76.88
"48007950501","tract",2023,"housing_score",72.67
"48007950502","tract",2023,"housing_score",54.83
"48007950503","tract",2023,"housing_score",79.9
"48007990000","tract",2023,"housing_score",NA
"48009020100","tract",2023,"housing_score",101.79
"48009020200","tract",2023,"housing_score",83.54
"48009020300","tract",2023,"housing_score",75.75
"48011950100","tract",2023,"housing_score",89.86
"48013960101","tract",2023,"housing_score",94.22
"48013960102","tract",2023,"housing_score",76.46
"48013960203","tract",2023,"housing_score",101.98
"48013960204","tract",2023,"housing_score",90.12
"48013960205","tract",2023,"housing_score",91.28
"48013960206","tract",2023,"housing_score",88.78
"48013960300","tract",2023,"housing_score",74.96
"48013960401","tract",2023,"housing_score",84.53
"48013960403","tract",2023,"housing_score",84.57
"48013960404","tract",2023,"housing_score",97.35
"48013960500","tract",2023,"housing_score",83.94
"48013960601","tract",2023,"housing_score",88.05
"48013960602","tract",2023,"housing_score",96.95
"48015760100","tract",2023,"housing_score",68.65
"48015760201","tract",2023,"housing_score",91.32
"48015760202","tract",2023,"housing_score",93.89
"48015760301","tract",2023,"housing_score",98.27
"48015760302","tract",2023,"housing_score",102.18
"48015760400","tract",2023,"housing_score",83.86
"48015760501","tract",2023,"housing_score",101.68
"48015760502","tract",2023,"housing_score",96.39
"48017950101","tract",2023,"housing_score",77.49
"48017950102","tract",2023,"housing_score",63.61
"48019000101","tract",2023,"housing_score",87.38
"48019000103","tract",2023,"housing_score",86.73
"48019000104","tract",2023,"housing_score",107.41
"48019000200","tract",2023,"housing_score",67.13
"48019000301","tract",2023,"housing_score",91.35
"48019000302","tract",2023,"housing_score",102.42
"48019000400","tract",2023,"housing_score",93.29
"48021950101","tract",2023,"housing_score",92.27
"48021950102","tract",2023,"housing_score",96.25
"48021950201","tract",2023,"housing_score",101.1
"48021950202","tract",2023,"housing_score",109.12
"48021950301","tract",2023,"housing_score",113.63
"48021950302","tract",2023,"housing_score",99.28
"48021950303","tract",2023,"housing_score",100.85
"48021950401","tract",2023,"housing_score",95.34
"48021950402","tract",2023,"housing_score",117.68
"48021950403","tract",2023,"housing_score",114.38
"48021950503","tract",2023,"housing_score",102.93
"48021950504","tract",2023,"housing_score",99.22
"48021950505","tract",2023,"housing_score",96.17
"48021950506","tract",2023,"housing_score",102.7
"48021950601","tract",2023,"housing_score",85.16
"48021950602","tract",2023,"housing_score",102.27
"48021950700","tract",2023,"housing_score",97.48
"48021950803","tract",2023,"housing_score",87.86
"48021950804","tract",2023,"housing_score",103.77
"48021950805","tract",2023,"housing_score",99.88
"48021950806","tract",2023,"housing_score",99.57
"48023950301","tract",2023,"housing_score",47.92
"48023950302","tract",2023,"housing_score",56.16
"48025950100","tract",2023,"housing_score",59.42
"48025950201","tract",2023,"housing_score",NA
"48025950203","tract",2023,"housing_score",75.34
"48025950204","tract",2023,"housing_score",88.75
"48025950300","tract",2023,"housing_score",82
"48025950400","tract",2023,"housing_score",64.24
"48025950501","tract",2023,"housing_score",83.97
"48025950502","tract",2023,"housing_score",81
"48025950600","tract",2023,"housing_score",74.18
"48027020101","tract",2023,"housing_score",99.32
"48027020102","tract",2023,"housing_score",92.77
"48027020201","tract",2023,"housing_score",119.15
"48027020203","tract",2023,"housing_score",105.04
"48027020204","tract",2023,"housing_score",102.16
"48027020301","tract",2023,"housing_score",117.89
"48027020302","tract",2023,"housing_score",125.41
"48027020401","tract",2023,"housing_score",97.92
"48027020402","tract",2023,"housing_score",97.71
"48027020500","tract",2023,"housing_score",90.11
"48027020600","tract",2023,"housing_score",96.06
"48027020701","tract",2023,"housing_score",56.42
"48027020702","tract",2023,"housing_score",71.91
"48027020800","tract",2023,"housing_score",76.9
"48027020900","tract",2023,"housing_score",87.11
"48027021000","tract",2023,"housing_score",74.7
"48027021101","tract",2023,"housing_score",72.66
"48027021102","tract",2023,"housing_score",78.22
"48027021201","tract",2023,"housing_score",92.05
"48027021202","tract",2023,"housing_score",100.56
"48027021203","tract",2023,"housing_score",78.62
"48027021301","tract",2023,"housing_score",88.74
"48027021302","tract",2023,"housing_score",83.46
"48027021304","tract",2023,"housing_score",98.98
"48027021305","tract",2023,"housing_score",113.71
"48027021400","tract",2023,"housing_score",103.78
"48027021501","tract",2023,"housing_score",99.13
"48027021502","tract",2023,"housing_score",118.88
"48027021601","tract",2023,"housing_score",86.59
"48027021602","tract",2023,"housing_score",NA
"48027021701","tract",2023,"housing_score",118.43
"48027021702","tract",2023,"housing_score",100.7
"48027021801","tract",2023,"housing_score",113.29
"48027021802","tract",2023,"housing_score",110.31
"48027021901","tract",2023,"housing_score",85.72
"48027021905","tract",2023,"housing_score",122.17
"48027021906","tract",2023,"housing_score",129.97
"48027021907","tract",2023,"housing_score",111.11
"48027021908","tract",2023,"housing_score",106.29
"48027022001","tract",2023,"housing_score",65.96
"48027022002","tract",2023,"housing_score",100.55
"48027022101","tract",2023,"housing_score",81.22
"48027022103","tract",2023,"housing_score",86.95
"48027022104","tract",2023,"housing_score",72.42
"48027022105","tract",2023,"housing_score",89.66
"48027022200","tract",2023,"housing_score",75.48
"48027022300","tract",2023,"housing_score",57.65
"48027022401","tract",2023,"housing_score",95.84
"48027022402","tract",2023,"housing_score",131.81
"48027022403","tract",2023,"housing_score",109.52
"48027022405","tract",2023,"housing_score",95.56
"48027022406","tract",2023,"housing_score",117.68
"48027022407","tract",2023,"housing_score",115.71
"48027022501","tract",2023,"housing_score",90.21
"48027022503","tract",2023,"housing_score",93.81
"48027022504","tract",2023,"housing_score",121.35
"48027022600","tract",2023,"housing_score",52.32
"48027022801","tract",2023,"housing_score",42.88
"48027022900","tract",2023,"housing_score",41.28
"48027023001","tract",2023,"housing_score",121.18
"48027023002","tract",2023,"housing_score",91.65
"48027023103","tract",2023,"housing_score",90.46
"48027023104","tract",2023,"housing_score",78.98
"48027023109","tract",2023,"housing_score",96.39
"48027023110","tract",2023,"housing_score",72.61
"48027023111","tract",2023,"housing_score",104.69
"48027023112","tract",2023,"housing_score",103.71
"48027023113","tract",2023,"housing_score",106.29
"48027023114","tract",2023,"housing_score",106.57
"48027023115","tract",2023,"housing_score",108.74
"48027023116","tract",2023,"housing_score",103.99
"48027023117","tract",2023,"housing_score",110.99
"48027023118","tract",2023,"housing_score",125.17
"48027023201","tract",2023,"housing_score",NA
"48027023202","tract",2023,"housing_score",NA
"48027023203","tract",2023,"housing_score",NA
"48027023204","tract",2023,"housing_score",NA
"48027023301","tract",2023,"housing_score",105.8
"48027023302","tract",2023,"housing_score",111.28
"48027023402","tract",2023,"housing_score",96.57
"48027023404","tract",2023,"housing_score",99.48
"48027023405","tract",2023,"housing_score",114.52
"48027023406","tract",2023,"housing_score",116.25
"48027023500","tract",2023,"housing_score",60.35
"48027980001","tract",2023,"housing_score",NA
"48027980002","tract",2023,"housing_score",NA
"48027980003","tract",2023,"housing_score",NA
"48029110100","tract",2023,"housing_score",66.78
"48029110300","tract",2023,"housing_score",68.43
"48029110500","tract",2023,"housing_score",73.22
"48029110600","tract",2023,"housing_score",NA
"48029110700","tract",2023,"housing_score",75.11
"48029111000","tract",2023,"housing_score",61.51
"48029111100","tract",2023,"housing_score",82.79
"48029120100","tract",2023,"housing_score",NA
"48029120301","tract",2023,"housing_score",114.03
"48029120302","tract",2023,"housing_score",110.79
"48029120401","tract",2023,"housing_score",93.93
"48029120402","tract",2023,"housing_score",126.62
"48029120502","tract",2023,"housing_score",85.35
"48029120503","tract",2023,"housing_score",79.83
"48029120504","tract",2023,"housing_score",101.71
"48029120601","tract",2023,"housing_score",74.92
"48029120602","tract",2023,"housing_score",101.21
"48029120701","tract",2023,"housing_score",85.64
"48029120702","tract",2023,"housing_score",96.02
"48029120800","tract",2023,"housing_score",120.62
"48029120901","tract",2023,"housing_score",85.22
"48029120902","tract",2023,"housing_score",83.38
"48029121000","tract",2023,"housing_score",105.04
"48029121110","tract",2023,"housing_score",114.68
"48029121111","tract",2023,"housing_score",115.89
"48029121112","tract",2023,"housing_score",85.42
"48029121115","tract",2023,"housing_score",105.89
"48029121116","tract",2023,"housing_score",99.11
"48029121117","tract",2023,"housing_score",97.76
"48029121118","tract",2023,"housing_score",107.8
"48029121119","tract",2023,"housing_score",106.87
"48029121120","tract",2023,"housing_score",106.1
"48029121121","tract",2023,"housing_score",123.65
"48029121122","tract",2023,"housing_score",118.18
"48029121123","tract",2023,"housing_score",95.41
"48029121124","tract",2023,"housing_score",101.99
"48029121203","tract",2023,"housing_score",83.11
"48029121204","tract",2023,"housing_score",69.79
"48029121205","tract",2023,"housing_score",75.58
"48029121206","tract",2023,"housing_score",104.09
"48029121300","tract",2023,"housing_score",109.78
"48029121402","tract",2023,"housing_score",123.25
"48029121403","tract",2023,"housing_score",99.47
"48029121404","tract",2023,"housing_score",89.53
"48029121501","tract",2023,"housing_score",113.93
"48029121504","tract",2023,"housing_score",108.83
"48029121505","tract",2023,"housing_score",104.91
"48029121506","tract",2023,"housing_score",98.46
"48029121507","tract",2023,"housing_score",108.48
"48029121508","tract",2023,"housing_score",89.6
"48029121601","tract",2023,"housing_score",86.2
"48029121604","tract",2023,"housing_score",117.38
"48029121605","tract",2023,"housing_score",89.61
"48029121606","tract",2023,"housing_score",90.95
"48029121701","tract",2023,"housing_score",109.13
"48029121702","tract",2023,"housing_score",108.37
"48029121802","tract",2023,"housing_score",120.72
"48029121803","tract",2023,"housing_score",98.1
"48029121804","tract",2023,"housing_score",98.34
"48029121808","tract",2023,"housing_score",114.3
"48029121809","tract",2023,"housing_score",115.7
"48029121810","tract",2023,"housing_score",124.36
"48029121811","tract",2023,"housing_score",118.99
"48029121812","tract",2023,"housing_score",114.87
"48029121813","tract",2023,"housing_score",114.98
"48029121903","tract",2023,"housing_score",109.83
"48029121904","tract",2023,"housing_score",119.53
"48029121905","tract",2023,"housing_score",123.9
"48029121906","tract",2023,"housing_score",113.41
"48029121908","tract",2023,"housing_score",126.96
"48029121909","tract",2023,"housing_score",115.83
"48029121910","tract",2023,"housing_score",129.12
"48029121911","tract",2023,"housing_score",144.93
"48029121912","tract",2023,"housing_score",133.64
"48029130200","tract",2023,"housing_score",77.25
"48029130300","tract",2023,"housing_score",77.64
"48029130401","tract",2023,"housing_score",79.26
"48029130402","tract",2023,"housing_score",70.17
"48029130500","tract",2023,"housing_score",71.38
"48029130600","tract",2023,"housing_score",77.95
"48029130700","tract",2023,"housing_score",47.12
"48029130800","tract",2023,"housing_score",62.07
"48029130900","tract",2023,"housing_score",79.86
"48029131000","tract",2023,"housing_score",69.01
"48029131100","tract",2023,"housing_score",81.71
"48029131200","tract",2023,"housing_score",75.53
"48029131300","tract",2023,"housing_score",79.32
"48029131401","tract",2023,"housing_score",109.97
"48029131402","tract",2023,"housing_score",97.98
"48029131503","tract",2023,"housing_score",92.17
"48029131504","tract",2023,"housing_score",96.09
"48029131505","tract",2023,"housing_score",115.73
"48029131506","tract",2023,"housing_score",115.21
"48029131507","tract",2023,"housing_score",96.31
"48029131601","tract",2023,"housing_score",119.07
"48029131606","tract",2023,"housing_score",130.31
"48029131608","tract",2023,"housing_score",113.4
"48029131609","tract",2023,"housing_score",115.4
"48029131610","tract",2023,"housing_score",108.22
"48029131612","tract",2023,"housing_score",114.25
"48029131614","tract",2023,"housing_score",117.73
"48029131615","tract",2023,"housing_score",115.94
"48029131616","tract",2023,"housing_score",121.47
"48029131700","tract",2023,"housing_score",NA
"48029131801","tract",2023,"housing_score",108.98
"48029131802","tract",2023,"housing_score",116.7
"48029140100","tract",2023,"housing_score",83.79
"48029140200","tract",2023,"housing_score",78.6
"48029140300","tract",2023,"housing_score",75.78
"48029140400","tract",2023,"housing_score",87.39
"48029140500","tract",2023,"housing_score",83.7
"48029140600","tract",2023,"housing_score",74.79
"48029140700","tract",2023,"housing_score",98.53
"48029140800","tract",2023,"housing_score",96.32
"48029140900","tract",2023,"housing_score",94.61
"48029141000","tract",2023,"housing_score",75.93
"48029141101","tract",2023,"housing_score",81.76
"48029141102","tract",2023,"housing_score",90.97
"48029141200","tract",2023,"housing_score",87.52
"48029141300","tract",2023,"housing_score",89
"48029141402","tract",2023,"housing_score",124.32
"48029141403","tract",2023,"housing_score",86.76
"48029141404","tract",2023,"housing_score",88.56
"48029141600","tract",2023,"housing_score",115.03
"48029141700","tract",2023,"housing_score",104.37
"48029141800","tract",2023,"housing_score",84.29
"48029141900","tract",2023,"housing_score",99.97
"48029150100","tract",2023,"housing_score",70.54
"48029150300","tract",2023,"housing_score",58.78
"48029150400","tract",2023,"housing_score",63.15
"48029150501","tract",2023,"housing_score",80.59
"48029150502","tract",2023,"housing_score",66.84
"48029150600","tract",2023,"housing_score",86.56
"48029150700","tract",2023,"housing_score",74.06
"48029150800","tract",2023,"housing_score",62.89
"48029150900","tract",2023,"housing_score",80.38
"48029151000","tract",2023,"housing_score",68.13
"48029151100","tract",2023,"housing_score",78.59
"48029151200","tract",2023,"housing_score",88.65
"48029151301","tract",2023,"housing_score",86.32
"48029151302","tract",2023,"housing_score",94.11
"48029151400","tract",2023,"housing_score",91.14
"48029151500","tract",2023,"housing_score",77.09
"48029151600","tract",2023,"housing_score",99.53
"48029151700","tract",2023,"housing_score",104.07
"48029151900","tract",2023,"housing_score",107.17
"48029152000","tract",2023,"housing_score",96.85
"48029152100","tract",2023,"housing_score",80.41
"48029152201","tract",2023,"housing_score",90.41
"48029152202","tract",2023,"housing_score",89.91
"48029160100","tract",2023,"housing_score",67.35
"48029160200","tract",2023,"housing_score",76.27
"48029160300","tract",2023,"housing_score",86.06
"48029160400","tract",2023,"housing_score",83.76
"48029160501","tract",2023,"housing_score",51.76
"48029160502","tract",2023,"housing_score",78.3
"48029160600","tract",2023,"housing_score",73.41
"48029160701","tract",2023,"housing_score",90.29
"48029160702","tract",2023,"housing_score",56.14
"48029160901","tract",2023,"housing_score",76.14
"48029160902","tract",2023,"housing_score",71.43
"48029161000","tract",2023,"housing_score",60.68
"48029161100","tract",2023,"housing_score",89.02
"48029161200","tract",2023,"housing_score",96.85
"48029161302","tract",2023,"housing_score",93.99
"48029161303","tract",2023,"housing_score",93.99
"48029161304","tract",2023,"housing_score",90.54
"48029161400","tract",2023,"housing_score",NA
"48029161501","tract",2023,"housing_score",78.37
"48029161503","tract",2023,"housing_score",107.2
"48029161504","tract",2023,"housing_score",97.2
"48029161600","tract",2023,"housing_score",80.43
"48029161801","tract",2023,"housing_score",98.39
"48029161802","tract",2023,"housing_score",116.02
