"geoid","geolevel","year","state","level","value"
49001100100,"tract",2023,"UT","housing_score",110.06
49001100100,"tract",2023,"UT","housing_score",110.06
49001100200,"tract",2023,"UT","housing_score",106.77
49001100200,"tract",2023,"UT","housing_score",106.77
49003960100,"tract",2023,"UT","housing_score",116.67
49003960100,"tract",2023,"UT","housing_score",116.67
49003960200,"tract",2023,"UT","housing_score",113.1
49003960200,"tract",2023,"UT","housing_score",113.1
49003960301,"tract",2023,"UT","housing_score",117.73
49003960301,"tract",2023,"UT","housing_score",117.73
49003960302,"tract",2023,"UT","housing_score",111.25
49003960302,"tract",2023,"UT","housing_score",111.25
49003960400,"tract",2023,"UT","housing_score",112.17
49003960400,"tract",2023,"UT","housing_score",112.17
49003960500,"tract",2023,"UT","housing_score",116.35
49003960500,"tract",2023,"UT","housing_score",116.35
49003960601,"tract",2023,"UT","housing_score",111
49003960601,"tract",2023,"UT","housing_score",111
49003960602,"tract",2023,"UT","housing_score",119.71
49003960602,"tract",2023,"UT","housing_score",119.71
49003960701,"tract",2023,"UT","housing_score",106.61
49003960701,"tract",2023,"UT","housing_score",106.61
49003960702,"tract",2023,"UT","housing_score",103.9
49003960702,"tract",2023,"UT","housing_score",103.9
49003960801,"tract",2023,"UT","housing_score",126.18
49003960801,"tract",2023,"UT","housing_score",126.18
49003960802,"tract",2023,"UT","housing_score",124.49
49003960802,"tract",2023,"UT","housing_score",124.49
49005000101,"tract",2023,"UT","housing_score",115.47
49005000101,"tract",2023,"UT","housing_score",115.47
49005000102,"tract",2023,"UT","housing_score",101.41
49005000102,"tract",2023,"UT","housing_score",101.41
49005000201,"tract",2023,"UT","housing_score",122.11
49005000201,"tract",2023,"UT","housing_score",122.11
49005000202,"tract",2023,"UT","housing_score",125.71
49005000202,"tract",2023,"UT","housing_score",125.71
49005000301,"tract",2023,"UT","housing_score",116.23
49005000301,"tract",2023,"UT","housing_score",116.23
49005000302,"tract",2023,"UT","housing_score",114.55
49005000302,"tract",2023,"UT","housing_score",114.55
49005000401,"tract",2023,"UT","housing_score",96.21
49005000401,"tract",2023,"UT","housing_score",96.21
49005000402,"tract",2023,"UT","housing_score",126.8
49005000402,"tract",2023,"UT","housing_score",126.8
49005000403,"tract",2023,"UT","housing_score",122.81
49005000403,"tract",2023,"UT","housing_score",122.81
49005000501,"tract",2023,"UT","housing_score",95.71
49005000501,"tract",2023,"UT","housing_score",95.71
49005000502,"tract",2023,"UT","housing_score",95.68
49005000502,"tract",2023,"UT","housing_score",95.68
49005000601,"tract",2023,"UT","housing_score",71.64
49005000601,"tract",2023,"UT","housing_score",71.64
49005000602,"tract",2023,"UT","housing_score",98.14
49005000602,"tract",2023,"UT","housing_score",98.14
49005000701,"tract",2023,"UT","housing_score",112.98
49005000701,"tract",2023,"UT","housing_score",112.98
49005000702,"tract",2023,"UT","housing_score",NA
49005000702,"tract",2023,"UT","housing_score",NA
49005000800,"tract",2023,"UT","housing_score",94.5
49005000800,"tract",2023,"UT","housing_score",94.5
49005000900,"tract",2023,"UT","housing_score",94.99
49005000900,"tract",2023,"UT","housing_score",94.99
49005001001,"tract",2023,"UT","housing_score",111.43
49005001001,"tract",2023,"UT","housing_score",111.43
49005001002,"tract",2023,"UT","housing_score",100.57
49005001002,"tract",2023,"UT","housing_score",100.57
49005001101,"tract",2023,"UT","housing_score",113.92
49005001101,"tract",2023,"UT","housing_score",113.92
49005001102,"tract",2023,"UT","housing_score",121.83
49005001102,"tract",2023,"UT","housing_score",121.83
49005001201,"tract",2023,"UT","housing_score",125.02
49005001201,"tract",2023,"UT","housing_score",125.02
49005001202,"tract",2023,"UT","housing_score",127.52
49005001202,"tract",2023,"UT","housing_score",127.52
49005001300,"tract",2023,"UT","housing_score",127.96
49005001300,"tract",2023,"UT","housing_score",127.96
49005001401,"tract",2023,"UT","housing_score",118.77
49005001401,"tract",2023,"UT","housing_score",118.77
49005001402,"tract",2023,"UT","housing_score",123.94
49005001402,"tract",2023,"UT","housing_score",123.94
49005001500,"tract",2023,"UT","housing_score",128.23
49005001500,"tract",2023,"UT","housing_score",128.23
49005980100,"tract",2023,"UT","housing_score",53.47
49005980100,"tract",2023,"UT","housing_score",53.47
49007000100,"tract",2023,"UT","housing_score",108.42
49007000100,"tract",2023,"UT","housing_score",108.42
49007000200,"tract",2023,"UT","housing_score",100.45
49007000200,"tract",2023,"UT","housing_score",100.45
49007000300,"tract",2023,"UT","housing_score",77.51
49007000300,"tract",2023,"UT","housing_score",77.51
49007000500,"tract",2023,"UT","housing_score",87.69
49007000500,"tract",2023,"UT","housing_score",87.69
49007000600,"tract",2023,"UT","housing_score",82.79
49007000600,"tract",2023,"UT","housing_score",82.79
49009960100,"tract",2023,"UT","housing_score",54.76
49009960100,"tract",2023,"UT","housing_score",54.76
49011125102,"tract",2023,"UT","housing_score",131.11
49011125102,"tract",2023,"UT","housing_score",131.11
49011125103,"tract",2023,"UT","housing_score",125.97
49011125103,"tract",2023,"UT","housing_score",125.97
49011125104,"tract",2023,"UT","housing_score",137.7
49011125104,"tract",2023,"UT","housing_score",137.7
49011125201,"tract",2023,"UT","housing_score",87.48
49011125201,"tract",2023,"UT","housing_score",87.48
49011125301,"tract",2023,"UT","housing_score",117.55
49011125301,"tract",2023,"UT","housing_score",117.55
49011125304,"tract",2023,"UT","housing_score",126.12
49011125304,"tract",2023,"UT","housing_score",126.12
49011125305,"tract",2023,"UT","housing_score",127.23
49011125305,"tract",2023,"UT","housing_score",127.23
49011125306,"tract",2023,"UT","housing_score",139.47
49011125306,"tract",2023,"UT","housing_score",139.47
49011125307,"tract",2023,"UT","housing_score",132.33
49011125307,"tract",2023,"UT","housing_score",132.33
49011125407,"tract",2023,"UT","housing_score",135.12
49011125407,"tract",2023,"UT","housing_score",135.12
49011125408,"tract",2023,"UT","housing_score",138.85
49011125408,"tract",2023,"UT","housing_score",138.85
49011125409,"tract",2023,"UT","housing_score",130.46
49011125409,"tract",2023,"UT","housing_score",130.46
49011125410,"tract",2023,"UT","housing_score",130.41
49011125410,"tract",2023,"UT","housing_score",130.41
49011125411,"tract",2023,"UT","housing_score",133.18
49011125411,"tract",2023,"UT","housing_score",133.18
49011125412,"tract",2023,"UT","housing_score",130.76
49011125412,"tract",2023,"UT","housing_score",130.76
49011125413,"tract",2023,"UT","housing_score",140.45
49011125413,"tract",2023,"UT","housing_score",140.45
49011125414,"tract",2023,"UT","housing_score",132.41
49011125414,"tract",2023,"UT","housing_score",132.41
49011125415,"tract",2023,"UT","housing_score",131.91
49011125415,"tract",2023,"UT","housing_score",131.91
49011125501,"tract",2023,"UT","housing_score",117.74
49011125501,"tract",2023,"UT","housing_score",117.74
49011125502,"tract",2023,"UT","housing_score",118.84
49011125502,"tract",2023,"UT","housing_score",118.84
49011125503,"tract",2023,"UT","housing_score",137.19
49011125503,"tract",2023,"UT","housing_score",137.19
49011125600,"tract",2023,"UT","housing_score",122.83
49011125600,"tract",2023,"UT","housing_score",122.83
49011125701,"tract",2023,"UT","housing_score",99.73
49011125701,"tract",2023,"UT","housing_score",99.73
49011125702,"tract",2023,"UT","housing_score",106.32
49011125702,"tract",2023,"UT","housing_score",106.32
49011125801,"tract",2023,"UT","housing_score",105.47
49011125801,"tract",2023,"UT","housing_score",105.47
49011125804,"tract",2023,"UT","housing_score",133.75
49011125804,"tract",2023,"UT","housing_score",133.75
49011125805,"tract",2023,"UT","housing_score",118.89
49011125805,"tract",2023,"UT","housing_score",118.89
49011125807,"tract",2023,"UT","housing_score",98.11
49011125807,"tract",2023,"UT","housing_score",98.11
49011125809,"tract",2023,"UT","housing_score",99.61
49011125809,"tract",2023,"UT","housing_score",99.61
49011125810,"tract",2023,"UT","housing_score",97.45
49011125810,"tract",2023,"UT","housing_score",97.45
49011125905,"tract",2023,"UT","housing_score",116.42
49011125905,"tract",2023,"UT","housing_score",116.42
49011125906,"tract",2023,"UT","housing_score",123.39
49011125906,"tract",2023,"UT","housing_score",123.39
49011125907,"tract",2023,"UT","housing_score",119.5
49011125907,"tract",2023,"UT","housing_score",119.5
49011125908,"tract",2023,"UT","housing_score",125.32
49011125908,"tract",2023,"UT","housing_score",125.32
49011126001,"tract",2023,"UT","housing_score",106.85
49011126001,"tract",2023,"UT","housing_score",106.85
49011126002,"tract",2023,"UT","housing_score",137.62
49011126002,"tract",2023,"UT","housing_score",137.62
49011126101,"tract",2023,"UT","housing_score",121.61
49011126101,"tract",2023,"UT","housing_score",121.61
49011126105,"tract",2023,"UT","housing_score",134.37
49011126105,"tract",2023,"UT","housing_score",134.37
49011126106,"tract",2023,"UT","housing_score",137.24
49011126106,"tract",2023,"UT","housing_score",137.24
49011126107,"tract",2023,"UT","housing_score",139.45
49011126107,"tract",2023,"UT","housing_score",139.45
49011126108,"tract",2023,"UT","housing_score",147.08
49011126108,"tract",2023,"UT","housing_score",147.08
49011126203,"tract",2023,"UT","housing_score",128.15
49011126203,"tract",2023,"UT","housing_score",128.15
49011126204,"tract",2023,"UT","housing_score",123.58
49011126204,"tract",2023,"UT","housing_score",123.58
49011126205,"tract",2023,"UT","housing_score",116.75
49011126205,"tract",2023,"UT","housing_score",116.75
49011126206,"tract",2023,"UT","housing_score",139.27
49011126206,"tract",2023,"UT","housing_score",139.27
49011126303,"tract",2023,"UT","housing_score",132.29
49011126303,"tract",2023,"UT","housing_score",132.29
49011126304,"tract",2023,"UT","housing_score",127.51
49011126304,"tract",2023,"UT","housing_score",127.51
49011126305,"tract",2023,"UT","housing_score",121.97
49011126305,"tract",2023,"UT","housing_score",121.97
49011126306,"tract",2023,"UT","housing_score",110.4
49011126306,"tract",2023,"UT","housing_score",110.4
49011126402,"tract",2023,"UT","housing_score",131.96
49011126402,"tract",2023,"UT","housing_score",131.96
49011126404,"tract",2023,"UT","housing_score",126.27
49011126404,"tract",2023,"UT","housing_score",126.27
49011126405,"tract",2023,"UT","housing_score",132.54
49011126405,"tract",2023,"UT","housing_score",132.54
49011126406,"tract",2023,"UT","housing_score",110.88
49011126406,"tract",2023,"UT","housing_score",110.88
49011126500,"tract",2023,"UT","housing_score",117.07
49011126500,"tract",2023,"UT","housing_score",117.07
49011126600,"tract",2023,"UT","housing_score",108.08
49011126600,"tract",2023,"UT","housing_score",108.08
49011126700,"tract",2023,"UT","housing_score",100.23
49011126700,"tract",2023,"UT","housing_score",100.23
49011126801,"tract",2023,"UT","housing_score",129.6
49011126801,"tract",2023,"UT","housing_score",129.6
49011126802,"tract",2023,"UT","housing_score",132.53
49011126802,"tract",2023,"UT","housing_score",132.53
49011126901,"tract",2023,"UT","housing_score",102.38
49011126901,"tract",2023,"UT","housing_score",102.38
49011126902,"tract",2023,"UT","housing_score",117.32
49011126902,"tract",2023,"UT","housing_score",117.32
