"geoid","geolevel","year","state","level","value"
90001,"zcta",2023,"CA","housing_score",119.83
90001,"zcta",2023,"CA","housing_score",119.83
90002,"zcta",2023,"CA","housing_score",125.2
90002,"zcta",2023,"CA","housing_score",125.2
90003,"zcta",2023,"CA","housing_score",128.72
90003,"zcta",2023,"CA","housing_score",128.72
90004,"zcta",2023,"CA","housing_score",142.41
90004,"zcta",2023,"CA","housing_score",142.41
90005,"zcta",2023,"CA","housing_score",136.8
90005,"zcta",2023,"CA","housing_score",136.8
90006,"zcta",2023,"CA","housing_score",124.73
90006,"zcta",2023,"CA","housing_score",124.73
90007,"zcta",2023,"CA","housing_score",123
90007,"zcta",2023,"CA","housing_score",123
90008,"zcta",2023,"CA","housing_score",134.16
90008,"zcta",2023,"CA","housing_score",134.16
90010,"zcta",2023,"CA","housing_score",137.08
90010,"zcta",2023,"CA","housing_score",137.08
90011,"zcta",2023,"CA","housing_score",125.43
90011,"zcta",2023,"CA","housing_score",125.43
90012,"zcta",2023,"CA","housing_score",132.43
90012,"zcta",2023,"CA","housing_score",132.43
90013,"zcta",2023,"CA","housing_score",112.99
90013,"zcta",2023,"CA","housing_score",112.99
90014,"zcta",2023,"CA","housing_score",112.89
90014,"zcta",2023,"CA","housing_score",112.89
90015,"zcta",2023,"CA","housing_score",141.49
90015,"zcta",2023,"CA","housing_score",141.49
90016,"zcta",2023,"CA","housing_score",133.11
90016,"zcta",2023,"CA","housing_score",133.11
90017,"zcta",2023,"CA","housing_score",123.85
90017,"zcta",2023,"CA","housing_score",123.85
90018,"zcta",2023,"CA","housing_score",129.04
90018,"zcta",2023,"CA","housing_score",129.04
90019,"zcta",2023,"CA","housing_score",137.58
90019,"zcta",2023,"CA","housing_score",137.58
90020,"zcta",2023,"CA","housing_score",129.79
90020,"zcta",2023,"CA","housing_score",129.79
90021,"zcta",2023,"CA","housing_score",116.82
90021,"zcta",2023,"CA","housing_score",116.82
90022,"zcta",2023,"CA","housing_score",120.24
90022,"zcta",2023,"CA","housing_score",120.24
90023,"zcta",2023,"CA","housing_score",117.58
90023,"zcta",2023,"CA","housing_score",117.58
90024,"zcta",2023,"CA","housing_score",143.43
90024,"zcta",2023,"CA","housing_score",143.43
90025,"zcta",2023,"CA","housing_score",141.05
90025,"zcta",2023,"CA","housing_score",141.05
90026,"zcta",2023,"CA","housing_score",138.43
90026,"zcta",2023,"CA","housing_score",138.43
90027,"zcta",2023,"CA","housing_score",144.92
90027,"zcta",2023,"CA","housing_score",144.92
90028,"zcta",2023,"CA","housing_score",125.23
90028,"zcta",2023,"CA","housing_score",125.23
90029,"zcta",2023,"CA","housing_score",131.58
90029,"zcta",2023,"CA","housing_score",131.58
90031,"zcta",2023,"CA","housing_score",118.9
90031,"zcta",2023,"CA","housing_score",118.9
90032,"zcta",2023,"CA","housing_score",125.35
90032,"zcta",2023,"CA","housing_score",125.35
90033,"zcta",2023,"CA","housing_score",123.03
90033,"zcta",2023,"CA","housing_score",123.03
90034,"zcta",2023,"CA","housing_score",141.62
90034,"zcta",2023,"CA","housing_score",141.62
90035,"zcta",2023,"CA","housing_score",146.42
90035,"zcta",2023,"CA","housing_score",146.42
90036,"zcta",2023,"CA","housing_score",155.09
90036,"zcta",2023,"CA","housing_score",155.09
90037,"zcta",2023,"CA","housing_score",124.75
90037,"zcta",2023,"CA","housing_score",124.75
90038,"zcta",2023,"CA","housing_score",133.06
90038,"zcta",2023,"CA","housing_score",133.06
90039,"zcta",2023,"CA","housing_score",139.9
90039,"zcta",2023,"CA","housing_score",139.9
90040,"zcta",2023,"CA","housing_score",118.07
90040,"zcta",2023,"CA","housing_score",118.07
90041,"zcta",2023,"CA","housing_score",137.49
90041,"zcta",2023,"CA","housing_score",137.49
90042,"zcta",2023,"CA","housing_score",134.58
90042,"zcta",2023,"CA","housing_score",134.58
90043,"zcta",2023,"CA","housing_score",132.27
90043,"zcta",2023,"CA","housing_score",132.27
90044,"zcta",2023,"CA","housing_score",129.28
90044,"zcta",2023,"CA","housing_score",129.28
90045,"zcta",2023,"CA","housing_score",148.15
90045,"zcta",2023,"CA","housing_score",148.15
90046,"zcta",2023,"CA","housing_score",147.03
90046,"zcta",2023,"CA","housing_score",147.03
90047,"zcta",2023,"CA","housing_score",129.83
90047,"zcta",2023,"CA","housing_score",129.83
90048,"zcta",2023,"CA","housing_score",145.65
90048,"zcta",2023,"CA","housing_score",145.65
90049,"zcta",2023,"CA","housing_score",155.39
90049,"zcta",2023,"CA","housing_score",155.39
90052,"zcta",2023,"CA","housing_score",NA
90052,"zcta",2023,"CA","housing_score",NA
90056,"zcta",2023,"CA","housing_score",143.74
90056,"zcta",2023,"CA","housing_score",143.74
90057,"zcta",2023,"CA","housing_score",126.09
90057,"zcta",2023,"CA","housing_score",126.09
90058,"zcta",2023,"CA","housing_score",125.84
90058,"zcta",2023,"CA","housing_score",125.84
90059,"zcta",2023,"CA","housing_score",123.8
90059,"zcta",2023,"CA","housing_score",123.8
90061,"zcta",2023,"CA","housing_score",120.79
90061,"zcta",2023,"CA","housing_score",120.79
90062,"zcta",2023,"CA","housing_score",126.59
90062,"zcta",2023,"CA","housing_score",126.59
90063,"zcta",2023,"CA","housing_score",119.66
90063,"zcta",2023,"CA","housing_score",119.66
90064,"zcta",2023,"CA","housing_score",150.8
90064,"zcta",2023,"CA","housing_score",150.8
90065,"zcta",2023,"CA","housing_score",135.38
90065,"zcta",2023,"CA","housing_score",135.38
90066,"zcta",2023,"CA","housing_score",146.56
90066,"zcta",2023,"CA","housing_score",146.56
90067,"zcta",2023,"CA","housing_score",141.05
90067,"zcta",2023,"CA","housing_score",141.05
90068,"zcta",2023,"CA","housing_score",145.48
90068,"zcta",2023,"CA","housing_score",145.48
90069,"zcta",2023,"CA","housing_score",138.63
90069,"zcta",2023,"CA","housing_score",138.63
90071,"zcta",2023,"CA","housing_score",NA
90071,"zcta",2023,"CA","housing_score",NA
90073,"zcta",2023,"CA","housing_score",NA
90073,"zcta",2023,"CA","housing_score",NA
90077,"zcta",2023,"CA","housing_score",147.82
90077,"zcta",2023,"CA","housing_score",147.82
90079,"zcta",2023,"CA","housing_score",NA
90079,"zcta",2023,"CA","housing_score",NA
90089,"zcta",2023,"CA","housing_score",NA
90089,"zcta",2023,"CA","housing_score",NA
90094,"zcta",2023,"CA","housing_score",147.47
90094,"zcta",2023,"CA","housing_score",147.47
90095,"zcta",2023,"CA","housing_score",NA
