"geoid","geolevel","year","level","value"
"19701","zcta",2023,"housing_score",128.74
"19702","zcta",2023,"housing_score",126.85
"19703","zcta",2023,"housing_score",118.61
"19706","zcta",2023,"housing_score",113.52
"19707","zcta",2023,"housing_score",130.93
"19709","zcta",2023,"housing_score",132.62
"19710","zcta",2023,"housing_score",NA
"19711","zcta",2023,"housing_score",124.03
"19713","zcta",2023,"housing_score",116.66
"19716","zcta",2023,"housing_score",NA
"19717","zcta",2023,"housing_score",NA
"19720","zcta",2023,"housing_score",122.77
"19730","zcta",2023,"housing_score",112.87
"19731","zcta",2023,"housing_score",101.18
"19732","zcta",2023,"housing_score",126.84
"19733","zcta",2023,"housing_score",88.48
"19734","zcta",2023,"housing_score",123.79
"19735","zcta",2023,"housing_score",NA
"19736","zcta",2023,"housing_score",NA
"19801","zcta",2023,"housing_score",109.92
"19802","zcta",2023,"housing_score",115.21
"19803","zcta",2023,"housing_score",123.72
"19804","zcta",2023,"housing_score",111.78
"19805","zcta",2023,"housing_score",119.29
"19806","zcta",2023,"housing_score",115
"19807","zcta",2023,"housing_score",127.44
"19808","zcta",2023,"housing_score",119.11
"19809","zcta",2023,"housing_score",119.82
"19810","zcta",2023,"housing_score",125.44
"19901","zcta",2023,"housing_score",112.89
"19902","zcta",2023,"housing_score",NA
"19904","zcta",2023,"housing_score",120.11
"19930","zcta",2023,"housing_score",83.09
"19931","zcta",2023,"housing_score",102.12
"19933","zcta",2023,"housing_score",101.1
"19934","zcta",2023,"housing_score",112.85
"19936","zcta",2023,"housing_score",101.37
"19938","zcta",2023,"housing_score",121.04
"19939","zcta",2023,"housing_score",104.85
"19940","zcta",2023,"housing_score",105.01
"19941","zcta",2023,"housing_score",106.5
"19943","zcta",2023,"housing_score",108.51
"19944","zcta",2023,"housing_score",86.4
"19945","zcta",2023,"housing_score",99.69
"19946","zcta",2023,"housing_score",104.62
"19947","zcta",2023,"housing_score",109.01
"19950","zcta",2023,"housing_score",103.18
"19951","zcta",2023,"housing_score",110.61
"19952","zcta",2023,"housing_score",114.89
"19953","zcta",2023,"housing_score",104.64
"19954","zcta",2023,"housing_score",108.29
"19955","zcta",2023,"housing_score",110.71
"19956","zcta",2023,"housing_score",105.42
"19958","zcta",2023,"housing_score",113.69
"19960","zcta",2023,"housing_score",104.24
"19962","zcta",2023,"housing_score",118.49
"19963","zcta",2023,"housing_score",111.46
"19964","zcta",2023,"housing_score",112.16
"19966","zcta",2023,"housing_score",106.72
"19967","zcta",2023,"housing_score",102.78
"19968","zcta",2023,"housing_score",110.97
"19970","zcta",2023,"housing_score",101.47
"19971","zcta",2023,"housing_score",98.68
"19973","zcta",2023,"housing_score",110.53
"19975","zcta",2023,"housing_score",99.88
"19977","zcta",2023,"housing_score",118.3
"19979","zcta",2023,"housing_score",115.2
"19980","zcta",2023,"housing_score",89.41
"19701","zcta",2023,"housing_rnk",91.8951
"19702","zcta",2023,"housing_rnk",90.1853
"19703","zcta",2023,"housing_rnk",81.3277
"19706","zcta",2023,"housing_rnk",74.5271
"19707","zcta",2023,"housing_rnk",93.6602
"19709","zcta",2023,"housing_rnk",94.8185
"19710","zcta",2023,"housing_rnk",NA
"19711","zcta",2023,"housing_rnk",87.4566
"19713","zcta",2023,"housing_rnk",78.8813
"19716","zcta",2023,"housing_rnk",NA
"19717","zcta",2023,"housing_rnk",NA
"19720","zcta",2023,"housing_rnk",86.2853
"19730","zcta",2023,"housing_rnk",73.6576
"19731","zcta",2023,"housing_rnk",53.7036
"19732","zcta",2023,"housing_rnk",90.1755
"19733","zcta",2023,"housing_rnk",28.1594
"19734","zcta",2023,"housing_rnk",87.2295
"19735","zcta",2023,"housing_rnk",NA
"19736","zcta",2023,"housing_rnk",NA
"19801","zcta",2023,"housing_rnk",69.2742
"19802","zcta",2023,"housing_rnk",76.9118
"19803","zcta",2023,"housing_rnk",87.1419
"19804","zcta",2023,"housing_rnk",71.9801
"19805","zcta",2023,"housing_rnk",82.1356
"19806","zcta",2023,"housing_rnk",76.6036
"19807","zcta",2023,"housing_rnk",90.7368
"19808","zcta",2023,"housing_rnk",81.9539
"19809","zcta",2023,"housing_rnk",82.7261
"19810","zcta",2023,"housing_rnk",88.8161
"19901","zcta",2023,"housing_rnk",73.6868
"19902","zcta",2023,"housing_rnk",NA
"19904","zcta",2023,"housing_rnk",83.057
"19930","zcta",2023,"housing_rnk",19.2336
"19931","zcta",2023,"housing_rnk",55.6374
"19933","zcta",2023,"housing_rnk",53.5512
"19934","zcta",2023,"housing_rnk",73.6251
"19936","zcta",2023,"housing_rnk",54.0541
"19938","zcta",2023,"housing_rnk",84.2607
"19939","zcta",2023,"housing_rnk",60.8579
"19940","zcta",2023,"housing_rnk",61.1466
"19941","zcta",2023,"housing_rnk",63.5703
"19943","zcta",2023,"housing_rnk",67.0225
"19944","zcta",2023,"housing_rnk",24.6131
"19945","zcta",2023,"housing_rnk",50.7252
"19946","zcta",2023,"housing_rnk",60.5139
"19947","zcta",2023,"housing_rnk",67.8369
"19950","zcta",2023,"housing_rnk",57.7496
"19951","zcta",2023,"housing_rnk",70.3027
"19952","zcta",2023,"housing_rnk",76.4349
"19953","zcta",2023,"housing_rnk",60.5594
"19954","zcta",2023,"housing_rnk",66.6331
"19955","zcta",2023,"housing_rnk",70.439
"19956","zcta",2023,"housing_rnk",61.8702
"19958","zcta",2023,"housing_rnk",74.7704
"19960","zcta",2023,"housing_rnk",59.7709
"19962","zcta",2023,"housing_rnk",81.1849
"19963","zcta",2023,"housing_rnk",71.5356
"19964","zcta",2023,"housing_rnk",72.5285
"19966","zcta",2023,"housing_rnk",64.018
"19967","zcta",2023,"housing_rnk",56.8865
"19968","zcta",2023,"housing_rnk",70.8218
"19970","zcta",2023,"housing_rnk",54.2682
"19971","zcta",2023,"housing_rnk",48.7752
"19973","zcta",2023,"housing_rnk",70.1762
"19975","zcta",2023,"housing_rnk",51.1275
"19977","zcta",2023,"housing_rnk",80.9805
"19979","zcta",2023,"housing_rnk",76.9054
"19980","zcta",2023,"housing_rnk",29.9082
"19701","zcta",2023,"housing_state_rnk",96.7213
"19702","zcta",2023,"housing_state_rnk",93.4426
"19703","zcta",2023,"housing_state_rnk",73.7705
"19706","zcta",2023,"housing_state_rnk",59.0164
"19707","zcta",2023,"housing_state_rnk",98.3607
"19709","zcta",2023,"housing_state_rnk",100
"19710","zcta",2023,"housing_state_rnk",NA
"19711","zcta",2023,"housing_state_rnk",88.5246
"19713","zcta",2023,"housing_state_rnk",68.8525
"19716","zcta",2023,"housing_state_rnk",NA
"19717","zcta",2023,"housing_state_rnk",NA
"19720","zcta",2023,"housing_state_rnk",83.6066
"19730","zcta",2023,"housing_state_rnk",55.7377
"19731","zcta",2023,"housing_state_rnk",13.1148
"19732","zcta",2023,"housing_state_rnk",91.8033
"19733","zcta",2023,"housing_state_rnk",3.2787
"19734","zcta",2023,"housing_state_rnk",86.8852
"19735","zcta",2023,"housing_state_rnk",NA
"19736","zcta",2023,"housing_state_rnk",NA
"19801","zcta",2023,"housing_state_rnk",40.9836
"19802","zcta",2023,"housing_state_rnk",67.2131
"19803","zcta",2023,"housing_state_rnk",85.2459
"19804","zcta",2023,"housing_state_rnk",50.8197
"19805","zcta",2023,"housing_state_rnk",77.0492
"19806","zcta",2023,"housing_state_rnk",63.9344
"19807","zcta",2023,"housing_state_rnk",95.082
"19808","zcta",2023,"housing_state_rnk",75.4098
"19809","zcta",2023,"housing_state_rnk",78.6885
"19810","zcta",2023,"housing_state_rnk",90.1639
"19901","zcta",2023,"housing_state_rnk",57.377
"19902","zcta",2023,"housing_state_rnk",NA
"19904","zcta",2023,"housing_state_rnk",80.3279
"19930","zcta",2023,"housing_state_rnk",0
"19931","zcta",2023,"housing_state_rnk",18.0328
"19933","zcta",2023,"housing_state_rnk",11.4754
"19934","zcta",2023,"housing_state_rnk",54.0984
"19936","zcta",2023,"housing_state_rnk",14.7541
"19938","zcta",2023,"housing_state_rnk",81.9672
"19939","zcta",2023,"housing_state_rnk",27.8689
"19940","zcta",2023,"housing_state_rnk",29.5082
"19941","zcta",2023,"housing_state_rnk",32.7869
"19943","zcta",2023,"housing_state_rnk",37.7049
"19944","zcta",2023,"housing_state_rnk",1.6393
"19945","zcta",2023,"housing_state_rnk",8.1967
"19946","zcta",2023,"housing_state_rnk",24.5902
"19947","zcta",2023,"housing_state_rnk",39.3443
"19950","zcta",2023,"housing_state_rnk",21.3115
"19951","zcta",2023,"housing_state_rnk",44.2623
"19952","zcta",2023,"housing_state_rnk",62.2951
"19953","zcta",2023,"housing_state_rnk",26.2295
"19954","zcta",2023,"housing_state_rnk",36.0656
"19955","zcta",2023,"housing_state_rnk",45.9016
