"geoid","geolevel","year","level","value"
"41095","zcta",2023,"housing_score",97.21
"46001","zcta",2023,"housing_score",99.6
"46011","zcta",2023,"housing_score",108.37
"46012","zcta",2023,"housing_score",103.75
"46013","zcta",2023,"housing_score",105.89
"46016","zcta",2023,"housing_score",91.85
"46017","zcta",2023,"housing_score",103.69
"46030","zcta",2023,"housing_score",107.81
"46031","zcta",2023,"housing_score",101.07
"46032","zcta",2023,"housing_score",132.92
"46033","zcta",2023,"housing_score",134.62
"46034","zcta",2023,"housing_score",106.21
"46035","zcta",2023,"housing_score",106.74
"46036","zcta",2023,"housing_score",99.92
"46037","zcta",2023,"housing_score",134.62
"46038","zcta",2023,"housing_score",128.42
"46039","zcta",2023,"housing_score",105.24
"46040","zcta",2023,"housing_score",125.98
"46041","zcta",2023,"housing_score",105.2
"46044","zcta",2023,"housing_score",101.94
"46045","zcta",2023,"housing_score",114.13
"46047","zcta",2023,"housing_score",NA
"46048","zcta",2023,"housing_score",108.55
"46049","zcta",2023,"housing_score",87.09
"46050","zcta",2023,"housing_score",98.84
"46051","zcta",2023,"housing_score",109.92
"46052","zcta",2023,"housing_score",113.75
"46055","zcta",2023,"housing_score",122.25
"46056","zcta",2023,"housing_score",108.38
"46057","zcta",2023,"housing_score",99.17
"46058","zcta",2023,"housing_score",97.7
"46060","zcta",2023,"housing_score",125.5
"46062","zcta",2023,"housing_score",127.2
"46063","zcta",2023,"housing_score",79.64
"46064","zcta",2023,"housing_score",116.6
"46065","zcta",2023,"housing_score",111.22
"46068","zcta",2023,"housing_score",104.75
"46069","zcta",2023,"housing_score",107.37
"46070","zcta",2023,"housing_score",97.14
"46071","zcta",2023,"housing_score",106.31
"46072","zcta",2023,"housing_score",103.51
"46074","zcta",2023,"housing_score",132.78
"46075","zcta",2023,"housing_score",132.17
"46076","zcta",2023,"housing_score",99.81
"46077","zcta",2023,"housing_score",138.17
"46102","zcta",2023,"housing_score",101.13
"46103","zcta",2023,"housing_score",111.29
"46104","zcta",2023,"housing_score",94.36
"46105","zcta",2023,"housing_score",97.47
"46106","zcta",2023,"housing_score",126.29
"46107","zcta",2023,"housing_score",113.17
"46110","zcta",2023,"housing_score",103.58
"46111","zcta",2023,"housing_score",108.13
"46112","zcta",2023,"housing_score",126.1
"46113","zcta",2023,"housing_score",119.43
"46115","zcta",2023,"housing_score",98.44
"46117","zcta",2023,"housing_score",88.81
"46118","zcta",2023,"housing_score",106.15
"46120","zcta",2023,"housing_score",102.48
"46121","zcta",2023,"housing_score",110.58
"46122","zcta",2023,"housing_score",115.65
"46123","zcta",2023,"housing_score",127.47
"46124","zcta",2023,"housing_score",105.63
"46125","zcta",2023,"housing_score",NA
"46126","zcta",2023,"housing_score",105.23
"46127","zcta",2023,"housing_score",98.82
"46128","zcta",2023,"housing_score",105.6
