"geoid","geolevel","year","level","value"
"48001","zcta",2023,"housing_score",106.2
"48002","zcta",2023,"housing_score",101.08
"48003","zcta",2023,"housing_score",106.16
"48005","zcta",2023,"housing_score",110.45
"48006","zcta",2023,"housing_score",103.64
"48009","zcta",2023,"housing_score",138.69
"48014","zcta",2023,"housing_score",106.02
"48015","zcta",2023,"housing_score",106.94
"48017","zcta",2023,"housing_score",117.18
"48021","zcta",2023,"housing_score",114.03
"48022","zcta",2023,"housing_score",101.05
"48023","zcta",2023,"housing_score",103.85
"48025","zcta",2023,"housing_score",128.74
"48026","zcta",2023,"housing_score",112.41
"48027","zcta",2023,"housing_score",108.79
"48028","zcta",2023,"housing_score",69.77
"48030","zcta",2023,"housing_score",110.5
"48032","zcta",2023,"housing_score",94.58
"48033","zcta",2023,"housing_score",114.03
"48034","zcta",2023,"housing_score",118.24
"48035","zcta",2023,"housing_score",114.31
"48036","zcta",2023,"housing_score",107.17
"48038","zcta",2023,"housing_score",121.57
"48039","zcta",2023,"housing_score",101.82
"48040","zcta",2023,"housing_score",104.06
"48041","zcta",2023,"housing_score",102.54
"48042","zcta",2023,"housing_score",127.83
"48043","zcta",2023,"housing_score",111
"48044","zcta",2023,"housing_score",129.01
"48045","zcta",2023,"housing_score",114.37
"48047","zcta",2023,"housing_score",123.25
"48048","zcta",2023,"housing_score",113.85
"48049","zcta",2023,"housing_score",104.66
"48050","zcta",2023,"housing_score",107.15
"48051","zcta",2023,"housing_score",116.19
"48054","zcta",2023,"housing_score",105.38
"48059","zcta",2023,"housing_score",104.85
"48060","zcta",2023,"housing_score",109.12
"48062","zcta",2023,"housing_score",110.4
"48063","zcta",2023,"housing_score",113.06
"48064","zcta",2023,"housing_score",106.02
"48065","zcta",2023,"housing_score",114.14
"48066","zcta",2023,"housing_score",116.1
"48067","zcta",2023,"housing_score",124.13
"48069","zcta",2023,"housing_score",125.29
"48070","zcta",2023,"housing_score",131
"48071","zcta",2023,"housing_score",112.32
"48072","zcta",2023,"housing_score",121.57
"48073","zcta",2023,"housing_score",122.22
"48074","zcta",2023,"housing_score",107.74
"48075","zcta",2023,"housing_score",116.74
"48076","zcta",2023,"housing_score",122.47
"48079","zcta",2023,"housing_score",112.4
"48080","zcta",2023,"housing_score",112.39
"48081","zcta",2023,"housing_score",112.54
"48082","zcta",2023,"housing_score",111.87
"48083","zcta",2023,"housing_score",118.89
"48084","zcta",2023,"housing_score",122.59
"48085","zcta",2023,"housing_score",127.09
"48088","zcta",2023,"housing_score",115.07
"48089","zcta",2023,"housing_score",107.53
"48091","zcta",2023,"housing_score",106.82
"48092","zcta",2023,"housing_score",113.16
"48093","zcta",2023,"housing_score",110.73
"48094","zcta",2023,"housing_score",116.49
"48095","zcta",2023,"housing_score",114.52
"48096","zcta",2023,"housing_score",108.27
"48097","zcta",2023,"housing_score",102.34
"48098","zcta",2023,"housing_score",123.06
"48101","zcta",2023,"housing_score",112.24
"48103","zcta",2023,"housing_score",136.31
"48104","zcta",2023,"housing_score",129.5
"48105","zcta",2023,"housing_score",125.64
"48108","zcta",2023,"housing_score",122.21
"48109","zcta",2023,"housing_score",NA
"48111","zcta",2023,"housing_score",118.86
"48114","zcta",2023,"housing_score",121.16
"48116","zcta",2023,"housing_score",122.74
"48117","zcta",2023,"housing_score",103.64
"48118","zcta",2023,"housing_score",123.52
"48120","zcta",2023,"housing_score",102.46
"48122","zcta",2023,"housing_score",97.24
"48124","zcta",2023,"housing_score",114.2
"48125","zcta",2023,"housing_score",104.7
"48126","zcta",2023,"housing_score",105.65
"48127","zcta",2023,"housing_score",110.49
"48128","zcta",2023,"housing_score",115.07
"48130","zcta",2023,"housing_score",128.49
"48131","zcta",2023,"housing_score",113.51
"48133","zcta",2023,"housing_score",103.18
"48134","zcta",2023,"housing_score",118.61
"48135","zcta",2023,"housing_score",112.52
"48137","zcta",2023,"housing_score",105.12
"48138","zcta",2023,"housing_score",112.6
"48139","zcta",2023,"housing_score",NA
"48140","zcta",2023,"housing_score",112.95
"48141","zcta",2023,"housing_score",93.34
"48143","zcta",2023,"housing_score",109.01
"48144","zcta",2023,"housing_score",107.35
"48145","zcta",2023,"housing_score",103.31
"48146","zcta",2023,"housing_score",105.51
"48150","zcta",2023,"housing_score",116.82
"48152","zcta",2023,"housing_score",118.62
"48154","zcta",2023,"housing_score",124.23
"48157","zcta",2023,"housing_score",90.34
"48158","zcta",2023,"housing_score",108.4
"48159","zcta",2023,"housing_score",104.91
"48160","zcta",2023,"housing_score",114.04
