"geoid","geolevel","year","state","level","value"
57001,"zcta",2023,"SD","housing_score",103.62
57001,"zcta",2023,"SD","housing_score",103.62
57002,"zcta",2023,"SD","housing_score",111.5
57002,"zcta",2023,"SD","housing_score",111.5
57003,"zcta",2023,"SD","housing_score",113
57003,"zcta",2023,"SD","housing_score",113
57004,"zcta",2023,"SD","housing_score",105.17
57004,"zcta",2023,"SD","housing_score",105.17
57005,"zcta",2023,"SD","housing_score",116.04
57005,"zcta",2023,"SD","housing_score",116.04
57006,"zcta",2023,"SD","housing_score",112.51
57006,"zcta",2023,"SD","housing_score",112.51
57007,"zcta",2023,"SD","housing_score",NA
57007,"zcta",2023,"SD","housing_score",NA
57010,"zcta",2023,"SD","housing_score",95.51
57010,"zcta",2023,"SD","housing_score",95.51
57012,"zcta",2023,"SD","housing_score",101.88
57012,"zcta",2023,"SD","housing_score",101.88
57013,"zcta",2023,"SD","housing_score",102.46
57013,"zcta",2023,"SD","housing_score",102.46
57014,"zcta",2023,"SD","housing_score",103.77
57014,"zcta",2023,"SD","housing_score",103.77
57015,"zcta",2023,"SD","housing_score",113.32
57015,"zcta",2023,"SD","housing_score",113.32
57016,"zcta",2023,"SD","housing_score",91.88
57016,"zcta",2023,"SD","housing_score",91.88
57017,"zcta",2023,"SD","housing_score",95.84
57017,"zcta",2023,"SD","housing_score",95.84
57018,"zcta",2023,"SD","housing_score",99.47
57018,"zcta",2023,"SD","housing_score",99.47
57020,"zcta",2023,"SD","housing_score",109.93
57020,"zcta",2023,"SD","housing_score",109.93
57021,"zcta",2023,"SD","housing_score",78.62
57021,"zcta",2023,"SD","housing_score",78.62
57022,"zcta",2023,"SD","housing_score",112.62
57022,"zcta",2023,"SD","housing_score",112.62
57024,"zcta",2023,"SD","housing_score",91.54
57024,"zcta",2023,"SD","housing_score",91.54
57025,"zcta",2023,"SD","housing_score",105.33
57025,"zcta",2023,"SD","housing_score",105.33
57026,"zcta",2023,"SD","housing_score",103.58
57026,"zcta",2023,"SD","housing_score",103.58
57026,"zcta",2023,"SD","housing_score",103.58
57026,"zcta",2023,"SD","housing_score",103.58
57026,"zcta",2023,"SD","housing_score",103.58
57026,"zcta",2023,"SD","housing_score",103.58
57026,"zcta",2023,"SD","housing_score",103.58
57026,"zcta",2023,"SD","housing_score",103.58
57027,"zcta",2023,"SD","housing_score",92.06
57027,"zcta",2023,"SD","housing_score",92.06
57028,"zcta",2023,"SD","housing_score",91.39
57028,"zcta",2023,"SD","housing_score",91.39
57029,"zcta",2023,"SD","housing_score",97.58
57029,"zcta",2023,"SD","housing_score",97.58
57030,"zcta",2023,"SD","housing_score",103.79
57030,"zcta",2023,"SD","housing_score",103.79
