"GEOID","B01001_001","B25001_001","B26001_001","housingvalue","mortgage","mortgagecost","mortgagetax","mortgageval","rentgross","occupyown","occupy","units","unitsownpop","vehicle","fuelheat","kitchen","plumbing","rooms","multigeneration","unitsperperson","ownervsrenter","pcthouseholdswithmorethanoneperroom","housing_score","housing_rnk","financial_score","ownership_score","building_quality_score","crowding_score","housing_state_rnk","NAME"
"01001",55221,22582,472,141300,64.1241626318233,85.701164368076,455,71.9352792346698,883,73.9213571288488,90.3197236737224,36.9352239184368,73.4022539224461,1.99514610707982,98.6565993332026,97.5422903197237,96.3953591355947,6,4.25573641890567,0.408938628420347,36149.5145985401,2.43675230437341,115.18,79.1773778920308,114.45,104.83,113.6,99.45,90.9090909090909,"Autauga County, Alabama"
"01003",195121,106422,2781,169300,60.048682000868,84.4533941657297,573,63.8343035627108,879,71.517057108928,69.6322189021067,37.9784851451151,71.5659769158781,1.90880384324733,99.086419086689,98.0896807051174,98.896844637387,5.4,3.34259958976573,0.545415408900118,133410.27027027,1.07686494656159,109.38,70.6298200514139,111.42,97.34,108.1,94.24,83.3333333333333,"Baldwin County, Alabama"
"01005",26932,11810,2872,92200,45.8901773533424,70.9810015539626,301,46.5863431921525,579,63.5870743873346,78.0863674851821,34.2417941482252,63.0465502909393,1.81739319019735,97.5710258078508,95.9356477561389,95.2921253175275,5.5,4.71698113207547,0.438511807515224,14146.6377358491,2.00607243548037,92.92,37.146529562982,84.56,81.42,100.4,105.43,53.030303030303,"Barbour County, Alabama"
"01007",22604,8971,1864,102700,49.3558165971959,74.7781336974216,266,54.3948191114353,651,75.1102888857265,78.3301750083603,31.0874181560786,72.3866923818708,2.04354632133201,96.5703714245055,95.7083937130755,91.0489354587003,5.5,6.00540771310659,0.396876658998407,9954.99694189602,0.227693183435321,92.93,37.1786632390746,91.8,105.77,91.15,104.41,54.5454545454545,"Bibb County, Alabama"
"01009",57710,23860,579,119800,53.8817512025817,78.8363508525224,419,56.7749328467235,601,78.8960415065334,87.2422464375524,36.0700051984058,80.4571948679351,2.17505764796311,97.761337432744,94.8281642917016,98.2145850796312,5.8,5.7696003074558,0.413446543060128,41871.968503937,1.72463489623367,99.33,51.1568123393316,96.08,118.57,109.14,105.44,68.1818181818182,"Blount County, Alabama"
"01011",10678,4465,629,68600,33.192794174013,57.4220109010785,270,38.4130741190463,570,70.838989953842,82.4860022396416,34.4914778048324,68.3550602049955,1.41922345913657,99.4026608742873,93.2586786114222,90.1007838745801,5.7,7.27667662231876,0.418149466192171,5532.30743243243,2.44366005973391,78.75,12.2107969151671,70.47,96.26,88.06,116.18,12.1212121212121,"Bullock County, Alabama"
"01013",20354,9919,289,78900,41.6017009213324,66.4735502734312,311,42.9487300960034,575,70.0595829195631,81.2178647041032,39.5794438439619,69.693496137553,1.7672542204568,97.5173783515392,91.269281177538,91.8640992035487,5.5,5.08937437934459,0.487324358848384,13982.3333333333,1.72542204568024,81.17,14.8136246786632,79.32,96.63,85.5,104.63,19.6969696969697,"Butler County, Alabama"
"01015",116648,53296,2798,105900,53.2762436255172,78.4111603468203,442,58.0100454549497,637,69.050360986845,84.7230561392975,38.7096221109663,68.5586297760211,1.9623732116756,98.259290428312,93.6468027619334,97.4200690483338,5.7,5.74035522877265,0.456895960496537,80581.0546875,1.47495238517075,100.04,52.7956298200514,96.25,92.4,103.91,104.49,71.2121212121212,"Calhoun County, Alabama"
"01017",34079,16936,455,80800,52.0176003434213,73.6220719027934,344,56.2129940949654,658,67.585406542395,81.4064714218233,40.455999295754,66.2027123483226,1.78798868499311,98.5566113005005,90.5644780349551,95.0696740670761,5.5,3.99651845941829,0.496962939053376,22974.1692913386,3.45978095307173,92.14,35.6362467866324,92.2,89.5,91.01,107.09,51.5151515151515,"Chambers County, Alabama"
"01019",26008,16242,344,105100,45.4057755963931,72.0776430873101,432,54.5735688595274,621,77.6822131583614,69.4372614210073,43.3635804367887,77.6145573566085,2.09700301471892,96.0187976591594,96.6999138037188,97.5926610023396,5.5,4.16740556836318,0.624500153798831,24086.5219298246,2.18123780812201,87.45,25.1285347043702,89.38,114.38,100.72,99.24,34.8484848484849,"Cherokee County, Alabama"
"01021",43819,19247,385,100100,50.8380338436745,76.689544776774,387,55.1374529823661,661,76.4303750692862,84.3611991479192,37.0547022980899,74.9758253902473,2.07279669889758,97.7582065652522,96.6540240037408,96.8410661401777,5.7,4.32961754018599,0.439238686414569,27407.9647887324,3.03011640081296,97.95,48.0719794344473,93.79,109.81,108.67,105.49,63.6363636363636,"Chilton County, Alabama"
"01023",13395,7232,193,61100,35.319991202991,61.9421303183576,199,44.4977693967615,497,81.5605381165919,77.0879424778761,41.6200074654722,83.5252234509923,1.84735426008969,94.7264573991031,94.2754424778761,94.2339601769911,5.4,5.00448430493274,0.539902948861515,13249.2594339623,1.43497757847534,74.44,8.67609254498715,73.02,125.96,92.6,103.05,6.06060606060606,"Choctaw County, Alabama"
"01025",25070,12600,325,86900,38.4180790960452,63.3909414566289,284,39.8841368441142,545,66.2232384119726,76.3650793650794,38.3805345033905,71.0608203677511,1.73009769278736,96.8509665350239,94.3095238095238,92.5952380952381,5.7,5.25878195801289,0.502592740327084,18901.2545454545,1.03928497193931,81.15,14.7172236503856,75.62,93.51,90.25,99.44,18.1818181818182,"Clarke County, Alabama"
